cycle,rows,system_failure_count,protective_stop_count,grip_lost_count,first_timestamp,last_timestamp,system_failure_rate
1,39,8,8,0,2022-10-26T08:17:21.847Z,2022-10-26T08:18:00.071Z,0.2051
2,46,21,0,21,2022-10-26T08:18:01.086Z,2022-10-26T08:18:46.310Z,0.4565
3,26,0,0,0,2022-10-26T08:18:47.317Z,2022-10-26T08:19:12.433Z,0.0
4,24,0,0,0,2022-10-26T08:19:13.438Z,2022-10-26T08:19:36.558Z,0.0
5,27,2,0,2,2022-10-26T08:19:37.564Z,2022-10-26T08:20:03.669Z,0.0741
6,39,13,0,13,2022-10-26T08:20:04.671Z,"""2022-10-26T08:20:42.870Z""",0.3333
7,25,0,0,0,"""2022-10-26T08:20:43.876Z""",2022-10-26T08:21:08.022Z,0.0
8,24,0,0,0,2022-10-26T08:21:09.028Z,2022-10-26T08:21:32.134Z,0.0
9,24,0,0,0,2022-10-26T08:21:33.139Z,2022-10-26T08:21:56.242Z,0.0
10,24,0,0,0,2022-10-26T08:21:57.244Z,2022-10-26T08:22:20.364Z,0.0
11,25,0,0,0,2022-10-26T08:22:21.369Z,2022-10-26T08:22:45.502Z,0.0
12,24,0,0,0,2022-10-26T08:22:46.505Z,2022-10-26T08:23:09.659Z,0.0
13,24,0,0,0,2022-10-26T08:23:10.662Z,2022-10-26T08:23:33.748Z,0.0
14,28,12,0,12,2022-10-26T08:23:35.750Z,2022-10-26T08:24:02.825Z,0.4286
15,23,17,0,17,2022-10-26T08:24:03.828Z,2022-10-26T08:24:25.936Z,0.7391
16,25,0,0,0,2022-10-26T08:24:26.941Z,2022-10-26T08:24:51.062Z,0.0
17,24,0,0,0,2022-10-26T08:24:52.076Z,2022-10-26T08:25:15.228Z,0.0
18,25,0,0,0,2022-10-26T08:25:16.230Z,2022-10-26T08:25:40.312Z,0.0
19,24,0,0,0,2022-10-26T08:25:41.317Z,2022-10-26T08:26:04.455Z,0.0
20,24,0,0,0,2022-10-26T08:26:05.459Z,2022-10-26T08:26:28.548Z,0.0
21,25,0,0,0,2022-10-26T08:26:29.554Z,2022-10-26T08:26:53.674Z,0.0
22,36,2,2,0,2022-10-26T08:26:54.680Z,2022-10-26T08:27:29.834Z,0.0556
23,24,0,0,0,2022-10-26T08:27:30.835Z,2022-10-26T08:27:53.949Z,0.0
24,24,0,0,0,2022-10-26T08:27:54.955Z,2022-10-26T08:28:18.078Z,0.0
25,25,0,0,0,2022-10-26T08:28:19.084Z,2022-10-26T08:28:43.205Z,0.0
26,24,0,0,0,2022-10-26T08:28:44.216Z,2022-10-26T08:29:07.327Z,0.0
27,24,0,0,0,2022-10-26T08:29:08.329Z,2022-10-26T08:29:31.429Z,0.0
28,25,0,0,0,2022-10-26T08:29:32.433Z,2022-10-26T08:29:56.530Z,0.0
29,24,0,0,0,2022-10-26T08:29:57.533Z,2022-10-26T08:30:20.619Z,0.0
30,24,0,0,0,2022-10-26T08:30:21.634Z,2022-10-26T08:30:45.749Z,0.0
31,24,0,0,0,2022-10-26T08:30:46.758Z,2022-10-26T08:31:09.875Z,0.0
32,24,0,0,0,2022-10-26T08:31:10.881Z,2022-10-26T08:31:34.012Z,0.0
33,25,0,0,0,2022-10-26T08:31:35.013Z,2022-10-26T08:31:59.146Z,0.0
34,24,0,0,0,2022-10-26T08:32:00.154Z,2022-10-26T08:32:23.261Z,0.0
35,29,3,3,0,2022-10-26T08:32:24.271Z,2022-10-26T08:32:52.423Z,0.1034
36,34,6,0,6,2022-10-26T08:32:53.426Z,2022-10-26T08:33:26.608Z,0.1765
37,25,0,0,0,2022-10-26T08:33:27.610Z,2022-10-26T08:33:51.729Z,0.0
38,24,0,0,0,2022-10-26T08:33:52.736Z,2022-10-26T08:34:15.858Z,0.0
39,24,6,0,6,2022-10-26T08:34:16.865Z,2022-10-26T08:34:40.018Z,0.25
40,30,8,0,8,2022-10-26T08:34:41.025Z,2022-10-26T08:35:10.180Z,0.2667
41,24,0,0,0,2022-10-26T08:35:11.184Z,2022-10-26T08:35:34.287Z,0.0
42,80,7,7,0,2022-10-26T08:35:35.296Z,2022-10-26T08:37:03.755Z,0.0875
43,24,0,0,0,2022-10-26T08:37:34.905Z,2022-10-26T08:37:58.028Z,0.0
44,24,0,0,0,2022-10-26T08:37:59.029Z,2022-10-26T08:38:22.200Z,0.0
45,24,0,0,0,2022-10-26T08:38:23.208Z,2022-10-26T08:38:46.362Z,0.0
46,25,0,0,0,2022-10-26T08:38:47.364Z,"""2022-10-26T08:39:11.525Z""",0.0
47,23,0,0,0,"""2022-10-26T08:39:12.525Z""",2022-10-26T08:39:35.658Z,0.0
48,24,0,0,0,2022-10-26T08:39:36.662Z,2022-10-26T08:39:59.765Z,0.0
49,25,0,0,0,2022-10-26T08:40:00.765Z,2022-10-26T08:40:24.873Z,0.0
50,24,0,0,0,2022-10-26T08:40:25.876Z,2022-10-26T08:40:49.000Z,0.0
51,24,0,0,0,2022-10-26T08:40:50.010Z,2022-10-26T08:41:13.165Z,0.0
52,24,0,0,0,2022-10-26T08:41:14.167Z,2022-10-26T08:41:37.317Z,0.0
53,52,10,10,0,2022-10-26T08:41:38.329Z,2022-10-26T08:42:30.596Z,0.1923
54,24,0,0,0,2022-10-26T08:42:31.603Z,2022-10-26T08:42:54.721Z,0.0
55,24,0,0,0,2022-10-26T08:42:55.731Z,2022-10-26T08:43:18.893Z,0.0
56,24,0,0,0,2022-10-26T08:43:19.893Z,2022-10-26T08:43:44.063Z,0.0
57,49,0,0,0,2022-10-26T08:43:45.072Z,2022-10-26T08:44:33.378Z,0.0
58,24,0,0,0,2022-10-26T08:44:34.382Z,2022-10-26T08:44:57.555Z,0.0
59,24,0,0,0,2022-10-26T08:44:58.562Z,2022-10-26T08:45:21.692Z,0.0
