column,missing_count,missing_ratio_percent
Num,0,0.0
Timestamp,0,0.0
Current_J0,46,0.621
Temperature_J0,54,0.729
Current_J1,54,0.729
Temperature_J1,54,0.729
Current_J2,54,0.729
Temperature_J2,54,0.729
Current_J3,54,0.729
Temperature_J3,54,0.729
Current_J4,54,0.729
Temperature_J4,54,0.729
Current_J5,54,0.729
Temperature_J5,54,0.729
Speed_J0,54,0.729
Speed_J1,54,0.729
Speed_J2,54,0.729
Speed_J3,54,0.729
Speed_J4,54,0.729
Speed_J5,54,0.729
Tool_current,54,0.729
cycle,0,0.0
Robot_ProtectiveStop,54,0.729
grip_lost,0,0.0
ProtectiveStop,54,0.729
GripLost,0,0.0
System_Failure,54,0.729
Power_J0,54,0.729
Power_J1,54,0.729
Power_J2,54,0.729
Power_J3,54,0.729
Power_J4,54,0.729
Power_J5,54,0.729
Abs_Current_Sum,0,0.0
