target,split,model,train_rows,train_positive_count,train_positive_rate,test_cycles,train_cycles,test_rows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
System_Failure,random_stratified,rf_plain,5884,414,0.07036029911624746,237,240,1471,104,0.07070020394289599,0.9449354180829368,0.6899410593699988,0.9313637543133576,0.8484848484848485,0.2692307692307692,0.40875912408759124,1362,5,76,28,0.9446394406617522,0.7038719597570529
System_Failure,random_stratified,rf_smote,5884,414,0.07036029911624746,237,240,1471,104,0.07070020394289599,0.9510537049626104,0.801332553009499,0.9494122827798825,0.6777777777777778,0.5865384615384616,0.6288659793814433,1338,29,43,61,0.9441787181362894,0.6600800286544708
System_Failure,cycle_group,rf_plain,5919,424,0.07163372191248522,48,192,1436,94,0.06545961002785515,0.9463788300835655,0.6729867771576952,0.9328445700377305,0.7931034482758621,0.24468085106382978,0.37398373983739835,1336,6,71,23,0.9165464375178363,0.5741433231873285
System_Failure,cycle_group,rf_smote,5919,424,0.07163372191248522,48,192,1436,94,0.06545961002785515,0.9519498607242339,0.7900651517559193,0.9502809461987873,0.654320987654321,0.5638297872340425,0.6057142857142858,1314,28,41,53,0.9196459713986745,0.6430020011244917
ProtectiveStop,random_stratified,rf_plain,5884,222,0.03772943575798776,240,240,1471,56,0.038069340584636305,0.9680489462950373,0.708647812656713,0.9626291819755046,0.6666666666666666,0.32142857142857145,0.43373493975903615,1406,9,38,18,0.9767478546188795,0.5491940488109586
ProtectiveStop,random_stratified,rf_smote,5884,222,0.03772943575798776,240,240,1471,56,0.038069340584636305,0.9666893269884432,0.7921219829438451,0.9681138379561662,0.5522388059701493,0.6607142857142857,0.6016260162601627,1385,30,19,37,0.974741292276628,0.6160220699347172
ProtectiveStop,cycle_group,rf_plain,5919,233,0.039364757560398714,48,192,1436,45,0.031337047353760444,0.9756267409470752,0.7159922471421225,0.9705210371359072,0.7777777777777778,0.3111111111111111,0.4444444444444444,1387,4,31,14,0.9801821231727773,0.6250522356039596
ProtectiveStop,cycle_group,rf_smote,5919,233,0.039364757560398714,48,192,1436,45,0.031337047353760444,0.9805013927576601,0.8427901157335002,0.9807063202532318,0.6808510638297872,0.7111111111111111,0.6956521739130435,1376,15,13,32,0.9855819154884575,0.7409239684776714
GripLost,random_stratified,rf_plain,5884,194,0.032970768184908225,238,240,1471,49,0.03331067301155676,0.9789259007477906,0.7699672614093231,0.9746036464390777,0.95,0.3877551020408163,0.5507246376811594,1421,1,30,19,0.9558397198541864,0.7078672628255416
GripLost,random_stratified,rf_smote,5884,194,0.032970768184908225,238,240,1471,49,0.03331067301155676,0.9748470428280082,0.7987650897528331,0.974463143221013,0.6304347826086957,0.5918367346938775,0.6105263157894737,1405,17,20,29,0.9449324033410832,0.694295294533102
GripLost,cycle_group,rf_plain,5919,194,0.032775806724108805,48,192,1436,49,0.034122562674094706,0.9700557103064067,0.6510761893460363,0.9619244042367688,0.7142857142857143,0.20408163265306123,0.31746031746031744,1383,4,39,10,0.9175580830746141,0.48470394189694954
GripLost,cycle_group,rf_smote,5919,194,0.032775806724108805,48,192,1436,49,0.034122562674094706,0.9714484679665738,0.7622967697133882,0.9700510178668866,0.6,0.4897959183673469,0.5393258426966292,1371,16,25,24,0.9199711607786589,0.5604205684649003
