target,window_size,split,split_seed,model,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,train_cycle_ids,test_cycle_ids,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
System_Failure,5,cycle_run_group,42,rf_plain,4371,714,0.1633493479752917,179,45,177,45,1229,261,0.21236777868185516,0.8763222131814483,0.7613689782737547,0.8566467474176461,0.9739130434782609,0.42911877394636017,0.5957446808510638,965,3,149,112,0.9450896108419621,0.8707028926753617
System_Failure,5,cycle_run_group,42,rf_smote,4371,714,0.1633493479752917,179,45,177,45,1229,261,0.21236777868185516,0.8966639544344996,0.8166096226399576,0.8863121011852053,0.9294871794871795,0.5555555555555556,0.6954436450839329,957,11,116,145,0.9424436369969285,0.861331111901753
System_Failure,10,cycle_run_group,42,rf_plain,3497,893,0.2553617386331141,176,44,172,44,985,206,0.20913705583756345,0.9025380710659898,0.8375525686484704,0.8973225411769434,0.8525641025641025,0.6456310679611651,0.7348066298342542,756,23,73,133,0.9474026945174919,0.8351361884278674
System_Failure,10,cycle_run_group,42,rf_smote,3497,893,0.2553617386331141,176,44,172,44,985,206,0.20913705583756345,0.9116751269035533,0.8716612377850164,0.9133484349939648,0.759825327510917,0.8446601941747572,0.8,724,55,32,174,0.9490540523698543,0.8336135183256612
System_Failure,20,cycle_run_group,42,rf_plain,1804,805,0.44623059866962306,171,43,170,43,503,202,0.40159045725646125,0.7296222664015904,0.7173036233800582,0.7289183439432172,0.6683673469387755,0.6485148514851485,0.6582914572864321,236,65,71,131,0.8073583105818887,0.6716107998649934
System_Failure,20,cycle_run_group,42,rf_smote,1804,805,0.44623059866962306,171,43,170,43,503,202,0.40159045725646125,0.7495029821073559,0.7424914675767917,0.7508545993662598,0.6743119266055045,0.7277227722772277,0.7,230,71,55,147,0.8009933883753824,0.6688670714944639
ProtectiveStop,5,cycle_run_group,42,rf_plain,4371,390,0.08922443376801648,179,45,177,45,1229,175,0.14239218877135884,0.9186330349877949,0.7878166348995884,0.906974785860763,0.9213483146067416,0.4685714285714286,0.6212121212121212,1047,7,93,82,0.9817891027378693,0.9036067477782457
ProtectiveStop,5,cycle_run_group,42,rf_smote,4371,390,0.08922443376801648,179,45,177,45,1229,175,0.14239218877135884,0.9397884458909682,0.8641688770999116,0.9366548105430291,0.8686131386861314,0.68,0.7628205128205128,1036,18,56,119,0.9804635402548116,0.9039274261183227
ProtectiveStop,10,cycle_run_group,42,rf_plain,3497,509,0.14555333142693738,176,44,172,44,985,144,0.14619289340101524,0.9390862944162437,0.8712418300653595,0.9373783218871306,0.8333333333333334,0.7291666666666666,0.7777777777777778,820,21,39,105,0.968093539437178,0.8546090465643053
ProtectiveStop,10,cycle_run_group,42,rf_smote,3497,509,0.14555333142693738,176,44,172,44,985,144,0.14619289340101524,0.9401015228426396,0.8861697689313885,0.9416128846779106,0.7607361963190185,0.8611111111111112,0.8078175895765473,802,39,20,124,0.9649598692033293,0.8292374337971813
ProtectiveStop,20,cycle_run_group,42,rf_plain,1804,559,0.3098669623059867,171,43,170,43,503,155,0.3081510934393638,0.8011928429423459,0.7557303807303808,0.7961647365225895,0.7099236641221374,0.6,0.6503496503496503,310,38,62,93,0.8701612903225807,0.7053511427366912
ProtectiveStop,20,cycle_run_group,42,rf_smote,1804,559,0.3098669623059867,171,43,170,43,503,155,0.3081510934393638,0.8151093439363817,0.7858231881801907,0.8162115110884965,0.691358024691358,0.7225806451612903,0.7066246056782335,298,50,43,112,0.8617445309603263,0.6940049213693581
GripLost,5,cycle_run_group,42,rf_plain,4371,333,0.07618393960192175,179,45,177,45,1229,89,0.07241659886086249,0.9536208299430431,0.7522676879661359,0.9432624101843033,1.0,0.3595505617977528,0.5289256198347108,1140,0,57,32,0.8980386359156318,0.6620756219455658
GripLost,5,cycle_run_group,42,rf_smote,4371,333,0.07618393960192175,179,45,177,45,1229,89,0.07241659886086249,0.9552481692432873,0.7646454623004475,0.9457697344495657,1.0,0.38202247191011235,0.5528455284552846,1140,0,55,34,0.8881923910900847,0.670010973698047
GripLost,10,cycle_run_group,42,rf_plain,3497,410,0.11724335144409494,176,44,172,44,985,62,0.06294416243654823,0.949238578680203,0.6489765081537233,0.9327587723944468,1.0,0.1935483870967742,0.32432432432432434,923,0,50,12,0.9820186628455597,0.8331890517235212
GripLost,10,cycle_run_group,42,rf_smote,3497,410,0.11724335144409494,176,44,172,44,985,62,0.06294416243654823,0.9685279187817258,0.841212474194102,0.9654965986724967,0.8780487804878049,0.5806451612903226,0.6990291262135923,918,5,26,36,0.9742512144829273,0.8492560222722033
GripLost,20,cycle_run_group,42,rf_plain,1804,289,0.16019955654101994,171,43,170,43,503,68,0.13518886679920478,0.9085487077534792,0.7193352741387676,0.8874740880288381,1.0,0.3235294117647059,0.4888888888888889,435,0,46,22,0.8917342799188641,0.7547390541948903
GripLost,20,cycle_run_group,42,rf_smote,1804,289,0.16019955654101994,171,43,170,43,503,68,0.13518886679920478,0.9184890656063618,0.7743777692686395,0.9059420621938736,0.9090909090909091,0.4411764705882353,0.594059405940594,432,3,38,30,0.9059837728194725,0.7608929768724656
