target,window_size,prediction_horizon,cycle_runs_with_event,cycle_runs_without_event,cycle_runs_with_pre_event_window,skipped_short_cycle,skipped_post_trigger_windows,windows,cycle_runs,cycle_ids,positive_windows,positive_rate
System_Failure,5,3,98,126,40,2,2855,2745,166,165,78,0.02841530054644809
System_Failure,5,5,98,126,40,2,2855,2745,166,165,114,0.041530054644808745
System_Failure,5,10,98,126,40,2,2855,2745,166,165,201,0.073224043715847
System_Failure,10,3,98,122,18,6,2479,2003,140,139,53,0.026460309535696454
System_Failure,10,5,98,122,18,6,2479,2003,140,139,87,0.04343484772840739
System_Failure,10,10,98,122,18,6,2479,2003,140,139,161,0.08037943085371942
System_Failure,20,3,96,118,4,12,1667,640,122,122,4,0.00625
System_Failure,20,5,96,118,4,12,1667,640,122,122,4,0.00625
System_Failure,20,10,96,118,4,12,1667,640,122,122,4,0.00625
ProtectiveStop,5,3,71,153,27,2,2441,3159,180,179,41,0.012978790756568534
ProtectiveStop,5,5,71,153,27,2,2441,3159,180,179,53,0.016777461221905668
ProtectiveStop,5,10,71,153,27,2,2441,3159,180,179,83,0.026274137385248496
ProtectiveStop,10,3,71,149,6,6,2139,2343,155,154,18,0.0076824583866837385
ProtectiveStop,10,5,71,149,6,6,2139,2343,155,154,30,0.012804097311139564
ProtectiveStop,10,10,71,149,6,6,2139,2343,155,154,57,0.024327784891165175
ProtectiveStop,20,3,70,144,3,12,1490,817,147,147,3,0.0036719706242350062
ProtectiveStop,20,5,70,144,3,12,1490,817,147,147,3,0.0036719706242350062
ProtectiveStop,20,10,70,144,3,12,1490,817,147,147,3,0.0036719706242350062
GripLost,5,3,42,182,28,2,658,4942,210,204,82,0.01659247268312424
GripLost,5,5,42,182,28,2,658,4942,210,204,135,0.027316875758802105
GripLost,5,10,42,182,28,2,658,4942,210,204,259,0.05240793201133145
GripLost,10,3,42,178,26,6,583,3899,204,200,76,0.019492177481405488
GripLost,10,5,42,178,26,6,583,3899,204,200,124,0.031803026417030006
GripLost,10,10,42,178,26,6,583,3899,204,200,232,0.059502436522185176
GripLost,20,3,41,173,12,12,398,1909,185,182,30,0.01571503404924044
GripLost,20,5,41,173,12,12,398,1909,185,182,47,0.02462022001047669
GripLost,20,10,41,173,12,12,398,1909,185,182,69,0.03614457831325301
