target,window_size,prediction_horizon,model,threshold,valid_splits,test_positive_count_mean,runs_with_tp_rate,positive_recall_mean,positive_recall_std,positive_recall_median,positive_precision_mean,positive_precision_std,positive_precision_median,positive_f1_mean,positive_f1_std,positive_f1_median,macro_f1_mean,macro_f1_std,macro_f1_median,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_median
System_Failure,5,10,rf_smote,0.05,30,43.1,1.0,0.9487061345254674,0.08538681703852402,0.9831382385730212,0.11857388581977299,0.05712961743270382,0.10164110842076944,0.20498776786528783,0.0854296442154462,0.18426171529619806,0.38131055871186464,0.06805221116542128,0.3712815915165145,0.6077636244142987,0.0627812643342192,0.6088864266681169
System_Failure,5,10,rf_smote,0.1,30,43.1,1.0,0.8116165374046354,0.12979668938446962,0.8397435897435898,0.1584255318646606,0.08015332395993502,0.13822072868765475,0.2546370896616347,0.10483172342799918,0.23642141522936225,0.5065588715383013,0.07009094366365655,0.49886386940795746,0.37490553758383205,0.06455111225391282,0.3707572228925241
System_Failure,5,10,rf_smote,0.15,30,43.1,1.0,0.6406675990396248,0.15114344099092689,0.6404040404040404,0.17633528852730418,0.08631285514126322,0.1573464455371281,0.26202576451470866,0.09684595405492498,0.2535885167464115,0.5488163199823654,0.05939046642973624,0.5445777452011829,0.25543837085295884,0.05808806096287883,0.24628492661279544
System_Failure,5,10,rf_smote,0.2,30,43.1,1.0,0.4677231834735251,0.1643843021200423,0.4747596153846154,0.18784504274135477,0.10191134356305287,0.16434174064158566,0.24867703030597565,0.10186309624600692,0.23739406779661015,0.5640411133281427,0.05918446637654447,0.5548571680013239,0.17473304944321244,0.05638499098390718,0.16374657950744909
System_Failure,5,10,rf_smote,0.3,30,43.1,1.0,0.22108967202460802,0.15237851300830804,0.20759493670886076,0.2014590398234629,0.15134120547100208,0.152089072543618,0.18560645637412135,0.10900513485305045,0.16464237516869096,0.5537253726020251,0.059240175235005466,0.5464985683824126,0.08461387144595765,0.044172521437656015,0.07341385446356866
System_Failure,5,10,rf_smote,0.4,30,43.1,0.9333333333333333,0.12034198336394562,0.09425231962881195,0.08383534136546184,0.23345299061672048,0.17710749963852757,0.18452380952380953,0.13345811043468114,0.08294191259938014,0.11714285714285713,0.5374691750720042,0.045711239940085954,0.528719557322445,0.040460020606409935,0.02805567744544304,0.035865145270895765
System_Failure,5,10,rf_smote,0.5,30,43.1,0.8333333333333334,0.06589064257238274,0.06966842872671987,0.052102169981916815,0.31883097151673,0.3019395434438276,0.225,0.09397822433039847,0.07255230330248177,0.08759590792838876,0.522396932574517,0.04053878173652142,0.5150576232062176,0.01895064017710529,0.017943129816596844,0.014218488365379063
ProtectiveStop,10,3,rf_smote,0.05,30,5.7,0.8666666666666667,0.5462962962962963,0.3100123896811705,0.5,0.18030458679711597,0.20225120120533222,0.125,0.22913297208779548,0.1874593414794332,0.2111111111111111,0.6000123476587355,0.0990236273214248,0.5867528466365676,0.05053684629975363,0.03537277752325604,0.042067755269233634
ProtectiveStop,10,3,rf_smote,0.1,30,5.7,0.7,0.40740740740740744,0.3549570580106135,0.3333333333333333,0.308651448732497,0.32147132670259115,0.2554347826086957,0.28250663938744436,0.24779760832618417,0.3078947368421052,0.6336898362161553,0.12696287041076895,0.6467183630607192,0.022081437823751573,0.026020089310981202,0.014020305753296767
ProtectiveStop,10,3,rf_smote,0.15,30,5.7,0.5666666666666667,0.34814814814814815,0.3745871069402564,0.2777777777777778,0.3182010582010582,0.36491825556191404,0.24375,0.28677590849067924,0.3010332769202851,0.23313782991202345,0.6382899481897604,0.1522484607929982,0.605198845364783,0.01167961242400364,0.015053543923238656,0.006704320728710973
ProtectiveStop,10,3,rf_smote,0.2,30,5.7,0.5333333333333333,0.32962962962962966,0.36933187740201207,0.2222222222222222,0.3818980556480556,0.41920376730102643,0.2091346153846154,0.3231375836638994,0.3572777987959081,0.2578947368421053,0.658026128543223,0.1798834452118859,0.6231101485300814,0.005291579196598375,0.008088304416595261,0.0
ProtectiveStop,10,3,rf_smote,0.3,30,5.7,0.4666666666666667,0.22592592592592592,0.2900735444326114,0.0,0.38166666666666665,0.4406718355723074,0.0,0.26392977392977396,0.3136798857567312,0.0,0.6291979243482937,0.15747261783389283,0.4984567754227197,0.0012198165527564106,0.002797465182305053,0.0
ProtectiveStop,10,3,rf_smote,0.4,30,5.7,0.26666666666666666,0.1222222222222222,0.24695678634325405,0.0,0.25,0.4232808366400098,0.0,0.1480952380952381,0.2721415031420718,0.0,0.571137437075007,0.13675848228862467,0.4983215407279832,0.0004227659874647044,0.001268676591393556,0.0
ProtectiveStop,10,3,rf_smote,0.5,30,5.7,0.13333333333333333,0.06666666666666667,0.18053418676968802,0.0,0.13333333333333333,0.33993463423951903,0.0,0.08666666666666667,0.2276449477195183,0.0,0.5403843509715636,0.11433936610929184,0.4968576430019216,7.183908045977011e-05,0.00038686528786885795,0.0
GripLost,5,3,rf_smote,0.05,30,17.666666666666668,1.0,0.8067595294568979,0.13405867909265134,0.8047619047619048,0.09383331120884034,0.036464069830411755,0.08732752360203341,0.16549292131728832,0.055681855178241375,0.15687382297551788,0.5426685583521216,0.031646925124128596,0.5375969722461675,0.14488897418109697,0.0237780622011521,0.14525198407455364
GripLost,5,3,rf_smote,0.1,30,17.666666666666668,1.0,0.7216629179787076,0.11266769050493619,0.7416666666666667,0.16863272515846528,0.06056805110500244,0.15384615384615385,0.26801800522682334,0.07748056355035923,0.25,0.615583050043964,0.040433560124862884,0.6046071615949633,0.06610673534107654,0.012981970538014441,0.0660934608800911
GripLost,5,3,rf_smote,0.15,30,17.666666666666668,1.0,0.632145953461743,0.13478542424880469,0.6055555555555556,0.22793671581404798,0.07541351564603398,0.21568627450980393,0.3269275647377542,0.08198676036581196,0.32049486461251164,0.6517299235253652,0.041820971145826495,0.6479863232709533,0.03914105175063136,0.008915079818040265,0.038071077134520515
GripLost,5,3,rf_smote,0.2,30,17.666666666666668,1.0,0.5469573920231815,0.1406513592730037,0.5393939393939393,0.2864065105994659,0.11351920046415148,0.27263513513513515,0.3644775058929378,0.10878740916893485,0.35679845708775315,0.6736869851910245,0.05539709644990199,0.6674388892569031,0.02541343128717531,0.007226317723299685,0.02471787990080673
GripLost,5,3,rf_smote,0.3,30,17.666666666666668,1.0,0.43958455043981365,0.13303418279644508,0.4356060606060606,0.4125496350120643,0.14925873224785202,0.40032679738562094,0.4101109121043412,0.1148989637332734,0.4336075205640423,0.6994579950036168,0.05840954564030802,0.710533728152535,0.011754068497271895,0.004625954535652017,0.01082381096522759
GripLost,5,3,rf_smote,0.4,30,17.666666666666668,1.0,0.3431081735029104,0.14781093240715887,0.3333333333333333,0.5164691935744568,0.20571730884604558,0.5,0.39344531525923215,0.14384205557451635,0.38149688149688155,0.6921520759895342,0.072806409781174,0.6854949416839085,0.00597584689588816,0.003266969697751661,0.005712975333506152
GripLost,5,3,rf_smote,0.5,30,17.666666666666668,0.9666666666666667,0.2270016168042484,0.1392140338812201,0.17424242424242425,0.5658363858363857,0.2648973774806179,0.6,0.305693709079722,0.15310456312382636,0.2857142857142857,0.6484725485125079,0.07744352737634005,0.6398216769454428,0.003064760173009473,0.002391265883243388,0.00300472450422798
