parameter_proxy,cycle_run,cycle,cycle_occurrence,scenario_block_25,speed_proxy,cluster_level,workload_proxy,gripping_force_proxy
movement_speed,1,1,1,1,0.6732248010666666,3,,
movement_speed,3,3,1,1,0.29689022808333326,1,,
movement_speed,4,4,1,1,0.6271021103166664,2,,
movement_speed,5,5,1,1,0.3909616282333339,2,,
movement_speed,6,6,1,1,0.1754244492000002,1,,
movement_speed,7,7,1,1,0.26759194810000003,1,,
movement_speed,8,8,1,1,0.6729353877166666,3,,
movement_speed,9,9,1,1,0.6981852148833333,3,,
movement_speed,10,10,1,1,0.4443334810833333,2,,
movement_speed,11,11,1,1,0.29041637973333345,1,,
movement_speed,12,12,1,1,0.6706126823333333,3,,
movement_speed,13,13,1,1,0.7205337994166667,2,,
movement_speed,15,15,1,1,0.4472814226333333,3,,
movement_speed,16,16,1,1,0.6870598751333334,3,,
movement_speed,17,17,1,1,0.3080065265,2,,
movement_speed,18,18,1,1,0.22378780753333338,1,,
movement_speed,19,19,1,1,0.5794966979333331,3,,
movement_speed,20,20,1,1,0.7033625040333332,3,,
movement_speed,21,21,1,1,0.27448683056666673,1,,
movement_speed,22,22,1,1,0.4665269629666667,3,,
movement_speed,23,23,1,1,0.7452745145333334,2,,
movement_speed,24,24,1,1,0.2400470720833333,1,,
movement_speed,25,25,1,1,0.2729020200333334,1,,
movement_speed,26,26,1,2,0.6928462992333334,3,,
movement_speed,27,27,1,2,0.5983592700166663,2,,
movement_speed,28,28,1,2,0.23717854976666672,1,,
movement_speed,29,29,1,2,0.6696418612833334,3,,
movement_speed,30,30,1,2,0.7091932757333331,3,,
movement_speed,31,31,1,2,0.3692679986333333,1,,
movement_speed,32,32,1,2,0.3769444547666665,2,,
movement_speed,33,33,1,2,0.24558125973333336,1,,
movement_speed,34,34,1,2,0.5917330557666665,3,,
movement_speed,37,37,1,2,0.3155659506499999,2,,
movement_speed,38,38,1,2,0.7002512531333333,3,,
movement_speed,40,40,1,2,0.6494264360333334,3,,
movement_speed,41,41,1,2,0.5537762104499998,2,,
movement_speed,42,42,1,2,0.25952312036666664,2,,
movement_speed,43,43,1,2,0.2918967262333333,1,,
movement_speed,44,44,1,2,0.6551741324833332,3,,
movement_speed,45,45,1,2,0.3001672841833333,2,,
movement_speed,46,46,1,2,0.22840989420000005,1,,
movement_speed,47,47,1,2,0.5944431134333338,3,,
movement_speed,48,48,1,2,0.6974146567333334,3,,
movement_speed,49,49,1,2,0.34082220579999994,2,,
movement_speed,50,50,1,2,0.26400533921666663,1,,
movement_speed,51,51,1,3,0.2970800973833333,2,,
movement_speed,52,52,1,3,0.32050406159999995,2,,
movement_speed,53,53,1,3,0.5703077896333334,2,,
movement_speed,54,54,1,3,0.5960456390166663,2,,
movement_speed,55,55,1,3,0.7109765643666667,3,,
movement_speed,56,56,1,3,0.6396759143833332,2,,
movement_speed,57,57,1,3,0.2835531621000003,1,,
movement_speed,58,58,1,3,0.7045227039999999,3,,
movement_speed,59,59,1,3,0.41416217726666665,2,,
movement_speed,60,60,1,3,0.27511642426666677,1,,
movement_speed,61,61,1,3,0.4688155205166671,2,,
movement_speed,62,62,1,3,0.3256913132000001,2,,
movement_speed,63,63,1,3,0.2368968089,1,,
movement_speed,66,66,1,3,0.2744605273333333,1,,
movement_speed,67,67,1,3,0.6624734765833332,3,,
movement_speed,68,68,1,3,0.2604000545,1,,
movement_speed,70,70,1,3,0.6154667038666664,2,,
movement_speed,71,71,1,3,0.6222394010166664,2,,
movement_speed,72,72,1,3,0.35622815931666657,2,,
movement_speed,73,73,1,3,0.2591174825666667,1,,
movement_speed,74,75,1,3,0.2377549718333333,1,,
movement_speed,75,76,1,4,0.6101182840333331,3,,
movement_speed,76,77,1,4,0.6525651855833333,3,,
movement_speed,77,78,1,4,0.6913201454166668,3,,
movement_speed,81,82,1,4,0.6770758438333333,3,,
movement_speed,82,83,1,4,0.6603087032666666,3,,
