cycle_run,cycle,cycle_occurrence,scenario_block_25,source_rows,first_failure_position,healthy_prefix_rows,fault_in_run,included
1,1,1,1,39,19,19,True,True
2,2,1,1,46,4,4,True,False
3,3,1,1,26,26,26,False,True
4,4,1,1,24,24,24,False,True
5,5,1,1,27,20,20,True,True
6,6,1,1,39,14,14,True,True
7,7,1,1,25,25,25,False,True
8,8,1,1,24,24,24,False,True
9,9,1,1,24,24,24,False,True
10,10,1,1,24,24,24,False,True
11,11,1,1,25,25,25,False,True
12,12,1,1,24,24,24,False,True
13,13,1,1,24,24,24,False,True
14,14,1,1,28,4,4,True,False
15,15,1,1,23,5,5,True,True
16,16,1,1,25,25,25,False,True
17,17,1,1,24,24,24,False,True
18,18,1,1,25,25,25,False,True
19,19,1,1,24,24,24,False,True
20,20,1,1,24,24,24,False,True
21,21,1,1,25,25,25,False,True
22,22,1,1,36,5,5,True,True
23,23,1,1,24,24,24,False,True
24,24,1,1,24,24,24,False,True
25,25,1,1,25,25,25,False,True
26,26,1,2,24,24,24,False,True
27,27,1,2,24,24,24,False,True
28,28,1,2,25,25,25,False,True
29,29,1,2,24,24,24,False,True
30,30,1,2,24,24,24,False,True
31,31,1,2,24,24,23,False,True
32,32,1,2,24,24,24,False,True
33,33,1,2,25,25,25,False,True
34,34,1,2,24,24,24,False,True
35,35,1,2,29,3,3,True,False
36,36,1,2,34,3,3,True,False
37,37,1,2,25,25,24,False,True
38,38,1,2,24,24,24,False,True
39,39,1,2,24,3,3,True,False
40,40,1,2,30,19,18,True,True
41,41,1,2,24,24,24,False,True
42,42,1,2,80,5,5,True,True
43,43,1,2,24,24,24,False,True
44,44,1,2,24,24,24,False,True
45,45,1,2,24,24,24,False,True
46,46,1,2,25,25,25,False,True
47,47,1,2,23,23,23,False,True
48,48,1,2,24,24,24,False,True
49,49,1,2,25,25,24,False,True
50,50,1,2,24,24,24,False,True
51,51,1,3,24,24,24,False,True
52,52,1,3,24,24,24,False,True
53,53,1,3,52,5,5,True,True
54,54,1,3,24,24,24,False,True
55,55,1,3,24,24,24,False,True
56,56,1,3,24,24,24,False,True
57,57,1,3,49,49,49,False,True
58,58,1,3,24,24,24,False,True
59,59,1,3,24,24,24,False,True
60,60,1,3,25,25,25,False,True
61,61,1,3,22,22,22,False,True
62,62,1,3,25,25,25,False,True
63,63,1,3,40,5,5,True,True
64,64,1,3,25,4,4,True,False
65,65,1,3,22,3,3,True,False
66,66,1,3,26,26,26,False,True
67,67,1,3,24,18,18,True,True
68,68,1,3,24,24,24,False,True
69,69,1,3,33,4,4,True,False
70,70,1,3,24,24,24,False,True
71,71,1,3,24,24,24,False,True
72,72,1,3,24,24,24,False,True
73,73,1,3,25,25,25,False,True
74,75,1,3,24,24,24,False,True
75,76,1,4,24,19,19,True,True
76,77,1,4,24,24,24,False,True
77,78,1,4,24,24,24,False,True
78,79,1,4,42,4,3,True,False
79,80,1,4,24,4,4,True,False
80,81,1,4,24,3,3,True,False
81,82,1,4,24,24,24,False,True
82,83,1,4,24,24,24,False,True
83,84,1,4,25,25,24,False,True
84,85,1,4,41,5,5,True,True
85,86,1,4,30,4,4,True,False
86,87,1,4,29,4,4,True,False
87,88,1,4,24,24,24,False,True
88,89,1,4,25,25,24,False,True
89,90,1,4,24,24,24,False,True
90,91,1,4,24,19,19,True,True
91,92,1,4,24,19,19,True,True
92,93,1,4,24,24,24,False,True
93,94,1,4,24,24,24,False,True
94,95,1,4,24,3,3,True,False
95,96,1,4,24,19,19,True,True
96,97,1,4,24,19,19,True,True
97,98,1,4,24,24,24,False,True
98,99,1,4,102,5,5,True,True
99,100,1,4,24,24,24,False,True
100,101,1,5,24,24,24,False,True
101,102,1,5,24,24,24,False,True
102,103,1,5,66,4,4,True,False
103,104,1,5,11,11,11,False,True
104,105,1,5,23,3,3,True,False
105,106,1,5,24,24,24,False,True
106,107,1,5,24,24,24,False,True
107,108,1,5,56,6,6,True,True
108,109,1,5,24,24,24,False,True
109,110,1,5,24,24,24,False,True
110,111,1,5,25,25,25,False,True
111,112,1,5,24,24,24,False,True
112,113,1,5,24,24,24,False,True
113,114,1,5,25,25,25,False,True
114,115,1,5,52,5,5,True,True
115,116,1,5,24,24,24,False,True
116,117,1,5,28,4,4,True,False
117,118,1,5,39,5,5,True,True
118,119,1,5,25,25,25,False,True
119,120,1,5,24,24,24,False,True
120,121,1,5,25,25,25,False,True
121,122,1,5,24,24,24,False,True
122,123,1,5,24,24,23,False,True
123,124,1,5,25,25,25,False,True
124,125,1,5,24,24,23,False,True
125,126,1,6,24,24,24,False,True
126,127,1,6,25,25,24,False,True
127,128,1,6,28,3,3,True,False
128,150,1,6,78,6,6,True,True
129,151,1,7,24,24,24,False,True
130,152,1,7,30,3,3,True,False
131,153,1,7,24,24,24,False,True
132,154,1,7,25,25,25,False,True
133,155,1,7,24,24,24,False,True
134,156,1,7,24,24,24,False,True
135,157,1,7,25,25,25,False,True
