cycle_run,cycle,cycle_occurrence,scenario_block_25,source_rows,first_failure_position,healthy_prefix_rows,fault_in_run,included,Current_J0__mean,Current_J0__std,Current_J0__q10,Current_J0__q50,Current_J0__q90,Current_J0__abs_mean,Current_J0__abs_q90,Current_J1__mean,Current_J1__std,Current_J1__q10,Current_J1__q50,Current_J1__q90,Current_J1__abs_mean,Current_J1__abs_q90,Current_J2__mean,Current_J2__std,Current_J2__q10,Current_J2__q50,Current_J2__q90,Current_J2__abs_mean,Current_J2__abs_q90,Current_J3__mean,Current_J3__std,Current_J3__q10,Current_J3__q50,Current_J3__q90,Current_J3__abs_mean,Current_J3__abs_q90,Current_J4__mean,Current_J4__std,Current_J4__q10,Current_J4__q50,Current_J4__q90,Current_J4__abs_mean,Current_J4__abs_q90,Current_J5__mean,Current_J5__std,Current_J5__q10,Current_J5__q50,Current_J5__q90,Current_J5__abs_mean,Current_J5__abs_q90,Temperature_J0__mean,Temperature_J0__std,Temperature_J0__q10,Temperature_J0__q50,Temperature_J0__q90,Temperature_J0__abs_mean,Temperature_J0__abs_q90,Temperature_J1__mean,Temperature_J1__std,Temperature_J1__q10,Temperature_J1__q50,Temperature_J1__q90,Temperature_J1__abs_mean,Temperature_J1__abs_q90,Temperature_J2__mean,Temperature_J2__std,Temperature_J2__q10,Temperature_J2__q50,Temperature_J2__q90,Temperature_J2__abs_mean,Temperature_J2__abs_q90,Temperature_J3__mean,Temperature_J3__std,Temperature_J3__q10,Temperature_J3__q50,Temperature_J3__q90,Temperature_J3__abs_mean,Temperature_J3__abs_q90,Temperature_J4__mean,Temperature_J4__std,Temperature_J4__q10,Temperature_J4__q50,Temperature_J4__q90,Temperature_J4__abs_mean,Temperature_J4__abs_q90,Temperature_J5__mean,Temperature_J5__std,Temperature_J5__q10,Temperature_J5__q50,Temperature_J5__q90,Temperature_J5__abs_mean,Temperature_J5__abs_q90,Speed_J0__mean,Speed_J0__std,Speed_J0__q10,Speed_J0__q50,Speed_J0__q90,Speed_J0__abs_mean,Speed_J0__abs_q90,Speed_J1__mean,Speed_J1__std,Speed_J1__q10,Speed_J1__q50,Speed_J1__q90,Speed_J1__abs_mean,Speed_J1__abs_q90,Speed_J2__mean,Speed_J2__std,Speed_J2__q10,Speed_J2__q50,Speed_J2__q90,Speed_J2__abs_mean,Speed_J2__abs_q90,Speed_J3__mean,Speed_J3__std,Speed_J3__q10,Speed_J3__q50,Speed_J3__q90,Speed_J3__abs_mean,Speed_J3__abs_q90,Speed_J4__mean,Speed_J4__std,Speed_J4__q10,Speed_J4__q50,Speed_J4__q90,Speed_J4__abs_mean,Speed_J4__abs_q90,Speed_J5__mean,Speed_J5__std,Speed_J5__q10,Speed_J5__q50,Speed_J5__q90,Speed_J5__abs_mean,Speed_J5__abs_q90,Tool_current__mean,Tool_current__std,Tool_current__q10,Tool_current__q50,Tool_current__q90,Tool_current__abs_mean,Tool_current__abs_q90,speed_proxy,workload_proxy,gripping_force_proxy
1,1,1,1,39,19,19,True,True,0.08821656715789473,0.4323834918622428,-0.2639525886,0.06505318,0.6533122065999998,0.31316674105263165,0.8849620342,-2.372122331684211,0.773048754343135,-3.2772353647999997,-2.024668694,-1.7143820286,2.372122331684211,3.2772353647999997,-1.3645454801052632,0.6975644819431067,-2.044387531,-1.211779475,-0.75993762,1.3645454801052632,2.0443875309999995,-0.6673665102631579,0.5003606218477926,-1.1412604574,-0.512540758,-0.20178753120000004,0.6673665102631579,1.1412604573999998,-0.15059610315789476,0.4433173363625366,-0.8490894076000001,-0.062539838,0.13580972539999986,0.3040610741052631,0.8950406787999999,-0.00228138505263158,0.1341672384182992,-0.18072977939999998,0.031410072,0.1801032158,0.11002469505263157,0.2094724986,27.87171052631579,0.013956054891839756,27.875,27.875,27.875,27.87171052631579,27.875,29.37828947368421,0.03779317530617124,29.3125,29.375,29.4375,29.37828947368421,29.4375,29.45394736842105,0.03418521330728048,29.4375,29.4375,29.5,29.45394736842105,29.5,32.19407894736842,0.04001817454143565,32.125,32.1875,32.25,32.19407894736842,32.25,32.328947368421055,0.04901205403207678,32.25,32.3125,32.375,32.328947368421055,32.375,32.07236842105263,0.046520182972799175,32.0,32.0625,32.125,32.07236842105263,32.125,0.008199127052631578,0.1363919251241658,-0.1804149122,0.0,0.14590224939999996,0.09129069336842105,0.24944008619999997,0.004666978736842106,0.03507161082669203,-0.011964455199999998,0.0,0.00726021,0.013796168526315789,0.031495832999999994,0.0006064875789473701,1.1739417277642252,-0.5539437237999998,0.0,0.5404556585999982,0.5475913927368421,2.5442574498,0.022597481052631572,0.3780982641563608,-0.4286728146,0.0,0.4138830003999999,0.2741686881052632,0.5452641483999999,0.0022922248947368413,0.018543516864808544,-0.0114589836,0.0,0.016493861399999997,0.009745555421052633,0.021773268999999987,-0.025865148894736848,0.36231497708445726,-0.5152218938,0.0,0.46896929699999984,0.2509893202631579,0.64711802,0.11710702736842106,0.09628642198449042,0.08200062520000001,0.085785329,0.1760193826,0.11710702736842106,0.1760193826,0.6732248010666666,1.4087264274666664,0.1760193826
3,3,1,1,26,26,26,False,True,0.03529705569230769,1.868009915677712,-0.6299318075,-0.023908492500000003,0.465274498,0.8664402372307694,3.795342684,-2.314275947846154,0.8565953799298784,-3.3370827435,-2.3604459760000003,-1.5182408095,2.314275947846154,3.3370827435,-1.2036026796538464,0.47000202531912566,-1.8112909199999998,-1.1085465550000002,-0.6830064355000001,1.2036026796538464,1.8112909199999998,-0.7370306911923077,0.5358611329348932,-1.2989249825,-0.622110635,-0.257535815,0.7619806659615385,1.2989249825,-0.08454226657692307,0.9533132628563052,-0.4914321895,0.0058761765,0.761782408,0.46502636650000007,1.1896694895,-0.013411825384615385,0.134684795929271,-0.169932857,0.005574984999999998,0.1328531725,0.10899745507692307,0.191582531,28.127403846153847,0.027302443970193623,28.125,28.125,28.15625,28.127403846153847,28.15625,29.713942307692307,0.030877962929483485,29.6875,29.6875,29.75,29.713942307692307,29.75,29.822115384615383,0.04807692307692308,29.75,29.8125,29.875,29.822115384615383,29.875,32.63701923076923,0.03475200070865615,32.625,32.625,32.6875,32.63701923076923,32.6875,32.875,0.04902903378454601,32.8125,32.875,32.9375,32.875,32.9375,32.61298076923077,0.04252837983883205,32.5625,32.625,32.65625,32.61298076923077,32.65625,0.04180184761538462,0.17318596137909875,-0.0551791955,0.0,0.130646579,0.0799583246923077,0.1912954225,-0.009244456731423076,0.03935892604678175,-0.074021388,0.0,0.0089946975,0.01995604157626923,0.0842492995,-0.04138565015692308,0.5221698084345383,-0.022872471999999998,0.0,0.06814376250000001,0.17861256184923077,0.4070490745,-0.10225254015384591,0.3647621802985609,-0.4959845695,0.0,0.14219255749999998,0.2168098310769233,0.602399111,-0.00810165908767073,0.04337094993302022,-0.025122071500000002,0.0,0.009513045500000001,0.016191424856944657,0.0348661,0.04905166523076923,0.2923640473756558,-0.1326425,0.0,0.338696405,0.16341101576923078,0.46148236099999995,0.09572534607692308,0.03126704891735655,0.081032872,0.08459839250000001,0.132251978,0.09572534607692308,0.132251978,0.29689022808333326,1.9373155584166664,0.132251978
4,4,1,1,24,24,24,False,True,0.08007888829166666,0.6961761035044206,-0.2809437413,-0.0010228939999999964,0.7605584618999998,0.4054275915416667,1.0547383725999997,-2.241054594625,0.8562002356170682,-2.7269813777,-2.3508460524999997,-1.6765661718,2.2693375747083335,2.7269813777,-1.2437984049166666,0.8751374663693411,-1.9462824347,-1.2898943425,-0.6029320120000001,1.3746994585,1.9462824347,-0.46806408529166665,0.6495641737801617,-1.2177457334,-0.5217189195,0.1822630763999997,0.6702714668749999,1.2491418124999998,-0.04180184600000001,0.5306856549431976,-0.5259345706,-0.029200958,0.4459622650999997,0.33281033008333333,1.0243261518999995,0.03192995995833333,0.14019862895019528,-0.1795779032,0.033730464,0.2033341689,0.11310496579166666,0.2179705874,28.208333333333332,0.03897559777889523,28.1875,28.1875,28.25,28.208333333333332,28.25,29.8046875,0.03283729222114191,29.75,29.8125,29.8125,29.8046875,29.8125,29.9375,0.03125,29.89375,29.9375,29.98125,29.9375,29.98125,32.778645833333336,0.047664076087820646,32.70625,32.8125,32.8125,32.778645833333336,32.8125,33.044270833333336,0.05253708594227088,33.0,33.0625,33.125,33.044270833333336,33.125,32.755208333333336,0.04745017489137656,32.6875,32.75,32.8125,32.755208333333336,32.8125,-0.045516069125,0.18303852345368485,-0.26349596229999994,0.0,0.09446983959999997,0.09418111895833332,0.27307529289999993,-0.008245395458332992,0.05657778173591755,-0.09859944779999999,0.0,0.04521033009999996,0.031281129958333674,0.1191949054,0.08457365320830225,0.913572850251257,-0.0760552959,0.0,0.04817847119999997,0.36209846220836434,1.8899537382999987,0.09102621229166667,0.4217414220865791,-0.48686356839999995,0.0,0.7294936834999998,0.277127863875,0.7607322634999999,0.01078264879194789,0.056782534644638005,-0.016276481099999997,0.0,0.025720255199999986,0.02406229970878711,0.07593190139999996,-0.025594203833325422,0.34929506917547065,-0.4102735701,0.0,0.4341933338999997,0.20624527275000792,0.6437245603999999,0.11879673104166666,0.08734118849199354,0.082645774,0.087058365,0.17752978819999998,0.11879673104166666,0.17752978819999998,0.6271021103166664,1.3699067894666666,0.17752978819999998
5,5,1,1,27,20,20,True,True,-0.039222997950000005,0.9010832143394982,-0.2591980457,-0.0438380725,0.6592171430000003,0.44432088115,0.9322100993000006,-2.0954006612,0.7039049137347804,-2.9418114424999997,-1.749164939,-1.5237673277999997,2.0954006612,2.941811442500001,-1.18945227865,0.46843847214269313,-1.8959013225,-0.997061819,-0.7275657955999998,1.18945227865,1.8959013225,-0.71070768605,0.47519984330377346,-1.2030633927,-0.6706297695,-0.1129435315,0.74488807095,1.2030633927000005,-0.07566320475,0.2997070837505375,-0.3129660515,-0.1149319595,0.1191795765000001,0.21792529415,0.42523074150000045,-0.006111392550000002,0.1688188036403445,-0.1875036657,0.004970560000000001,0.2207328705,0.14252040535,0.23356824250000002,28.28125,0.0369754986443726,28.25,28.3125,28.3125,28.28125,28.3125,29.903125,0.03684320663297374,29.875,29.90625,29.9375,29.903125,29.9375,30.05,0.03186887195995491,30.0,30.0625,30.0625,30.05,30.0625,32.90625,0.0369754986443726,32.875,32.875,32.9375,32.90625,32.9375,33.196875,0.045393247019793595,33.125,33.1875,33.25,33.196875,33.25,32.878125,0.03684320663297374,32.8125,32.875,32.9375,32.878125,32.9375,0.06125378080000001,0.2059260658193071,-0.0680830638,0.0,0.25644884410000024,0.1069624009,0.25644884410000024,-0.007241314,0.03626996113172508,-0.04471213649999999,-0.000884228,0.011286146200000001,0.0185856179,0.087800262,0.03052594030000002,0.7343646972159853,-0.037049036199999996,0.0,0.05113797050000003,0.24432683460000004,0.26529911340000273,-0.1130836312,0.4918543266121373,-0.6419587974,-8.230950000000001e-05,0.3389731047000005,0.33196632,1.0097534774,-0.0158504380225,0.05468861616637406,-0.04549433249999999,0.0,0.013440049100000014,0.0258314511775,0.059036497500000076,0.04235370494999806,0.40828232373057544,-0.42143163079999996,0.0,0.5377552751000002,0.2612213596500019,0.6674315750000002,0.11480678910000001,0.0902600503041976,0.0800316808,0.0840863585,0.17809078050000005,0.11480678910000001,0.17809078050000005,0.3909616282333339,1.2719642068333337,0.17809078050000005
6,6,1,1,39,14,14,True,True,-0.053355673428571455,0.16553950211473345,-0.1213703785,-0.1010623725,0.16040696650000005,0.1453159567142857,0.2947479530000002,-2.1822163122142855,0.34177834848486055,-2.3407164814,-2.2849378585,-1.9063645482999996,2.1822163122142855,2.3407164814,-1.146245011285714,0.14078315227471122,-1.2848846081,-1.1509544250000001,-1.0625342488999998,1.146245011285714,1.2848846081,-0.5553190937142857,0.18891202387136075,-0.7886556269,-0.539601207,-0.4700385182,0.5553190937142857,0.7886556269,-0.03566039421428572,0.16384771492237482,-0.19991206209999998,-0.0086859425,0.02327311620000001,0.09088714035714285,0.29958748790000006,0.05059114471428571,0.08490494012349258,-0.06329465449999999,0.050828777000000006,0.13542862160000008,0.08073836628571428,0.14104585790000004,28.375,0.03340765523905305,28.33125,28.375,28.41875,28.375,28.41875,29.995535714285715,0.016096211051178526,30.0,30.0,30.0,29.995535714285715,30.0,30.151785714285715,0.03092947870658709,30.125,30.125,30.1875,30.151785714285715,30.1875,33.017857142857146,0.0282346219657891,33.0,33.0,33.0625,33.017857142857146,33.0625,33.34375,0.03125,33.3125,33.34375,33.375,33.34375,33.375,33.00892857142857,0.03219242210235705,33.0,33.0,33.0625,33.00892857142857,33.0625,0.0009138753571428565,0.12420427924656427,-0.0032896632,0.0,0.07867573560000013,0.05344988950000001,0.22142488460000015,-0.01041678007142857,0.022873831201886827,-0.0359893332,0.0,0.0,0.01041678007142857,0.03598933320000002,-0.002068527357142856,0.02512869139803796,0.0,0.0,0.009954380300000003,0.0101362325,0.029629069800000032,-0.008950273285713937,0.2795823102803762,-0.1832010394,0.0,3.4440000000000055e-15,0.12217282128571463,0.5196366874000005,0.012298226928571429,0.040091088771241935,0.0,0.0,0.020482728700000032,0.013849200785714286,0.02373977380000002,0.01704040928571429,0.16261401268097322,-0.0060226672999999994,0.0,0.017546722200000028,0.06207647342857143,0.2221269464000003,0.09062322114285713,0.0226723682039162,0.0822303772,0.084172428,0.0900553645,0.09062322114285713,0.0900553645,0.1754244492000002,0.8582730025333335,0.0900553645
7,7,1,1,25,25,25,False,True,0.11970114752000001,0.4401330021937867,-0.2406242608,-0.072007038,0.8170458556000001,0.31624390144,0.8170458556000001,-2.2232539082,0.5647179208990828,-2.6741811754,-2.226368904,-1.5200570584,2.2232539082,2.6741811754,-1.11671061032,0.4733380089101687,-1.8161904333999999,-0.974183679,-0.5131789681999999,1.11671061032,1.8161904334,-0.44689255244000003,0.49560030994561893,-0.8462673424,-0.469702333,-0.15938647419999993,0.5608287764400001,0.9754441024000002,-0.30824265632,0.49760748211598343,-1.2223657129999999,-0.091802903,0.07200767220000003,0.3577892817599999,1.2223657130000003,0.020959711479999997,0.13772323411193071,-0.1601268294,0.029825339,0.21500078120000005,0.1170661874,0.22107464360000004,28.5275,0.031024184114977142,28.5,28.5,28.5625,28.5275,28.5625,30.1825,0.04650268809434569,30.125,30.1875,30.25,30.1825,30.25,30.355,0.04227883631321941,30.3125,30.375,30.375,30.355,30.375,33.2275,0.03905124837953328,33.1875,33.25,33.25,33.2275,33.25,33.58,0.04847679857416329,33.5,33.5625,33.625,33.58,33.625,33.2425,0.04444097208657795,33.1875,33.25,33.3125,33.2425,33.3125,-0.033138061280000006,0.17275005178041344,-0.14833812379999997,0.0,0.10450595900000001,0.08745920391999999,0.20965882800000007,-0.02242176836,0.04650513470906242,-0.09194471859999997,-3.56e-28,0.001451597200000001,0.02723835556,0.09194471860000007,-0.00041695500000000216,0.7212779748349171,-0.05735469919999999,-0.000217339,0.007880997400000015,0.21719340907999996,0.08079303240000002,0.08378935416000001,0.34706846140964653,-0.17044637799999995,0.0,0.6094885112000002,0.21745548416,0.6615198492000001,0.011803005600000933,0.04992644490371802,-0.0182986306,0.0,0.02116072440000002,0.020280378400000933,0.03079528060000001,-0.03931223915998628,0.3128573567258127,-0.41593751339999996,0.0,0.17277756340000028,0.1746229060400137,0.5308399798000002,0.1123090052,0.08440970390285013,0.0825940612,0.085191905,0.16792162640000002,0.1123090052,0.16792162640000002,0.26759194810000003,1.2877169872333334,0.16792162640000002
8,8,1,1,24,24,24,False,True,-0.007536575833333318,0.38558203284810516,-0.31723770469999996,-0.09772899,0.5177802027,0.28347391075,0.5606441557,-2.376302530291667,0.7926821395204099,-3.3111501928,-2.1600093845,-1.6211884494,2.376302530291667,3.3111501928,-1.1257785409583334,0.7218372182295172,-1.8546753402999998,-0.917059928,-0.7092190687000001,1.1747171083749999,1.8546753402999998,-0.5000749,0.751177035068267,-1.0525575874,-0.6154389385000001,-0.05966276720000014,0.7432801393333333,1.5715212699999996,-0.06309618266666665,0.5443924065861749,-0.8367865327999999,-0.0032179609999999992,0.2679067019,0.3252578773333334,0.9704497933999999,-0.008626588958333339,0.12488983790827275,-0.1797519653,0.005469620999999999,0.16895763909999997,0.09960528712500001,0.2012126295,28.614583333333332,0.03454817489953542,28.5625,28.625,28.625,28.614583333333332,28.625,30.28125,0.03125,30.25,30.28125,30.3125,30.28125,30.3125,30.463541666666668,0.04388619673529353,30.4375,30.4375,30.5,30.463541666666668,30.5,33.356770833333336,0.04223248630267411,33.3125,33.375,33.41875,33.356770833333336,33.41875,33.736979166666664,0.04411738110962869,33.6875,33.75,33.8125,33.736979166666664,33.8125,33.385416666666664,0.0429490169335173,33.3125,33.375,33.4375,33.385416666666664,33.4375,0.004875406083333334,0.10615503103069296,-0.12961304219999997,0.0,0.11571081429999999,0.06459677058333334,0.1987234905,0.009680940375,0.05014267085584964,-0.0201069439,0.0,0.08155738449999997,0.027393708791666666,0.0996348239,-0.0008916109166666927,1.0570570480888701,-0.05814094859999999,0.0,0.029697057799999992,0.44018543941666666,2.5738757371,0.02192585141666666,0.3674812151951937,-0.46208346170000003,0.0,0.3951923164,0.24066198491666668,0.5050428151,-0.00200828488763,0.02426055323248138,-0.0161573176,0.0,0.017299966299999997,0.011501802779296666,0.03512959679999998,-0.014128142537921329,0.3567573880962582,-0.49626569189999997,0.0,0.4232062024999998,0.2146174450379215,0.6252058629,0.11706024404166666,0.08713246266201109,0.0790304896,0.083239198,0.186950445,0.11706024404166666,0.186950445,0.6729353877166666,1.41160889695,0.186950445
9,9,1,1,24,24,24,False,True,-0.07887905591666665,0.663404687497546,-0.5456973731,-0.16864042699999998,0.3886651691999998,0.40294981116666667,0.6294499455999999,-2.3593957175833333,0.7660202835891408,-3.2309327126,-2.1145583390000002,-1.7419970033999999,2.3593957175833333,3.2309327125999996,-1.2225874339166667,0.4598782854742017,-1.8441809296,-1.0450998545,-0.764365977,1.2225874339166667,1.8441809295999998,-0.6290422406249999,0.6838363119254536,-1.0564206717,-0.641925037,-0.11633131390000002,0.7520158826249999,1.3095879431999997,0.078997289375,0.5713503619305612,-0.1530019043,0.0441240895,0.7182457091,0.3305968762916667,1.0715322013999997,-0.019195298833333336,0.13159257968168597,-0.1833984269,-0.0036026684999999996,0.1691618515,0.10606792916666667,0.20844763789999998,28.708333333333332,0.03897559777889523,28.6875,28.6875,28.75,28.708333333333332,28.75,30.393229166666668,0.03818457890264371,30.375,30.375,30.4375,30.393229166666668,30.4375,30.572916666666668,0.03454817489953542,30.5625,30.5625,30.625,30.572916666666668,30.625,33.4921875,0.03746743377588062,33.4375,33.5,33.54375,33.4921875,33.54375,33.901041666666664,0.059612099699268735,33.8125,33.90625,33.98125,33.901041666666664,33.98125,33.505208333333336,0.04000596743681567,33.4375,33.5,33.5625,33.505208333333336,33.5625,0.03922274108333334,0.18789690098769418,-0.11239923229999996,0.0,0.20943844919999993,0.10541170316666666,0.3116368327,0.013016934167179167,0.061894420469110645,-0.011920594699999997,0.0,0.02620677069999998,0.024402255417179167,0.05705143229999999,-0.003138343416666652,1.0594916886355346,-0.037530993799999995,0.0,0.07261666279999998,0.44495478949999995,2.5451363799999998,-0.026698145749999996,0.3904196196468679,-0.5527519372,0.0,0.43914969299999995,0.26865840783333333,0.6093974169,-0.00562232685250003,0.024924469586062144,-0.0204309621,-2e-27,0.0135653991,0.012014691019166697,0.02940021169999999,-0.009587133416666655,0.3540638744166364,-0.505131185,0.0,0.43375880739999995,0.2331231680833333,0.6364890157,0.11440802870833333,0.0863716641075648,0.0805992484,0.0854454935,0.18299633869999998,0.11440802870833333,0.18299633869999998,0.6981852148833333,1.382355228383333,0.18299633869999998
10,10,1,1,24,24,24,False,True,-0.133013458875,1.6793257450221917,-0.6331865012999999,-0.0934456625,0.3455313265,0.7593592116250001,2.028949540699999,-2.4327290952916667,0.7817211834527249,-3.3846394061,-2.463742733,-1.5541952846,2.4327290952916667,3.3846394061,-1.1894102121666668,0.5119670219333861,-1.9115487577999999,-1.0147110225,-0.5857690334,1.1894102121666668,1.9115487577999999,-0.6368194097500001,0.5521324925650767,-1.1589004876,-0.49880984399999995,-0.05838222890000001,0.6453938054999999,1.1589004876,0.2424296707916667,1.084556136196326,-0.712396181,0.0082407295,1.4810994863999998,0.635208314625,1.5173394204,-0.02857059291666667,0.13955113826389656,-0.183089605,-0.026571743999999998,0.1411719386,0.12153656750000001,0.2192487108,28.796875,0.03252603124165832,28.75,28.8125,28.8125,28.796875,28.8125,30.502604166666668,0.04223248630267411,30.4375,30.5,30.5625,30.502604166666668,30.5625,30.6875,0.040343576522993925,30.625,30.6875,30.75,30.6875,30.75,33.619791666666664,0.05076455387921336,33.5625,33.625,33.6875,33.619791666666664,33.6875,34.067708333333336,0.05076455387921336,34.0,34.0625,34.125,34.067708333333336,34.125,33.619791666666664,0.04388619673529354,33.5625,33.625,33.6875,33.619791666666664,33.6875,0.029677195583333333,0.22073766795466512,-0.0697724384,0.0,0.1402620211,0.11360148441666668,0.4136957289999999,0.005611208875000002,0.046474410134156804,-0.03560052799999999,0.0,0.05209460629999997,0.024636866458333333,0.08199951619999998,-0.007094561458333352,0.7631447030595836,-0.06316906649999998,-8.7349e-05,0.06067839869999996,0.282618240875,0.7310368480999999,-0.08928980815000002,0.438033401562118,-0.5392290353,-3.425e-28,0.32470452759999985,0.2896483821833334,0.7904340981999999,-0.012503711958333335,0.04886443865142948,-0.0286324295,-1.15e-25,0.009204475099999998,0.02050567204166667,0.048785628199999986,0.04448120579166667,0.3411309852442176,-0.40579753039999994,8.4759e-05,0.3994056762999999,0.21774525520833335,0.6000490667999999,0.10088615608333333,0.041499336369493225,0.0796584308,0.08362215749999999,0.1663030328,0.10088615608333333,0.1663030328,0.4443334810833333,1.7034377205666666,0.1663030328
11,11,1,1,25,25,25,False,True,0.08750441524000001,0.8422918473794923,-0.33863795999999996,-0.083683401,0.9761522292000009,0.48278592316,1.4496380092000005,-2.1672558784800002,0.6166922866284895,-2.7869447708,-2.053927898,-1.5562498095999997,2.1672558784800002,2.7869447708000004,-1.24464872604,0.6500908478394712,-1.9013339522,-0.955101073,-0.6747314571999999,1.24464872604,1.9013339522000001,-0.6123379344,0.365832812604339,-1.0498840334,-0.500005543,-0.23501238199999994,0.6123379344,1.0498840334000001,-0.18715899088000001,0.6156779300165276,-0.8733029604,0.00162562,0.3125949620000001,0.34156549904,0.8733029604000002,0.029595809399999996,0.14986257882630105,-0.1692295432,0.007227445,0.24520431160000017,0.1170771938,0.24734233000000014,28.905,0.04,28.875,28.9375,28.9375,28.905,28.9375,30.61,0.0406201920231798,30.5625,30.625,30.6625,30.61,30.6625,30.795,0.04847679857416329,30.75,30.8125,30.875,30.795,30.875,33.7275,0.03905124837953328,33.6875,33.75,33.75,33.7275,33.75,34.2375,0.05590169943749474,34.1875,34.25,34.3125,34.2375,34.3125,33.75,0.04677071733467427,33.6875,33.75,33.8125,33.75,33.8125,-0.02639002788,0.17015958485771498,-0.15015426599999998,0.0,0.10370893920000002,0.08682785171999999,0.22804700760000013,-0.001601865019200801,0.06586345175959178,-0.06863837579999998,0.0,0.03674101820000003,0.0319204924592008,0.10253717640000005,-0.0029804189999999985,0.6200486080036419,-0.06715027579999999,0.0,0.007255732200000009,0.19409830420000002,0.11079603740000005,0.09471483892,0.3670355818289456,-0.14729228919999998,1.85e-37,0.7254762052000004,0.22486118244,0.7653072712000003,0.01196182464,0.0517805194245912,-0.015330603399999997,0.0,0.021178311200000036,0.02076673552,0.03553059600000001,-0.06642184148000002,0.3259689423916108,-0.3772350192,0.0,0.034985273000000004,0.16500600780000002,0.5002801898000002,0.11243803972000001,0.08599122813332316,0.0799292444,0.085699201,0.1679407474,0.11243803972000001,0.1679407474,0.29041637973333345,1.3847410093333334,0.1679407474
