target,window_size,model,test_block,train_blocks,train_cycle_runs,test_cycle_runs,train_windows,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc,false_positive_rate,feature_set
System_Failure,5,rf_smote,1,8,181,25,4509,554,110,0.19855595667870035,0.8393501805054152,0.6383785488496263,0.8009076650070923,0.8387096774193549,0.23636363636363636,0.36879432624113473,439,5,84,26,0.8452600327600327,0.6654253788350788,0.01126126126126126,all_sensors
System_Failure,5,rf_smote,2,8,182,24,4524,539,62,0.1150278293135436,0.9313543599257885,0.7978961662798829,0.9243462812640172,0.8205128205128205,0.5161290322580645,0.6336633663366337,470,7,30,32,0.9573273821600053,0.7922268281045125,0.014675052410901468,all_sensors
System_Failure,5,rf_smote,3,8,182,24,4517,546,80,0.14652014652014653,0.9285714285714286,0.8351793800069662,0.9228906470285781,0.8727272727272727,0.6,0.7111111111111111,459,7,32,48,0.9354479613733906,0.8215480755270692,0.015021459227467811,all_sensors
System_Failure,5,rf_smote,4,8,189,17,4639,424,80,0.18867924528301888,0.8915094339622641,0.8292717086834733,0.8934543628772263,0.6931818181818182,0.7625,0.7261904761904762,317,27,19,61,0.9501998546511629,0.8505373844560093,0.07848837209302326,all_sensors
System_Failure,5,rf_smote,5,8,181,25,4468,595,67,0.11260504201680673,0.9428571428571428,0.8531930333817126,0.9420858386896124,0.7619047619047619,0.7164179104477612,0.7384615384615385,513,15,19,48,0.9522557666214383,0.6959112220393957,0.028409090909090908,all_sensors
System_Failure,5,rf_smote,7,8,181,25,4463,600,92,0.15333333333333332,0.92,0.8231653404067196,0.9138933097553787,0.84375,0.5869565217391305,0.6923076923076923,498,10,38,54,0.9557300581992468,0.8265885278719451,0.01968503937007874,all_sensors
System_Failure,5,rf_smote,8,8,194,12,4814,249,35,0.14056224899598393,0.9558232931726908,0.9026825368626754,0.9543792508816579,0.9,0.7714285714285715,0.8307692307692308,211,3,8,27,0.9871829105473966,0.9340477049508835,0.014018691588785047,all_sensors
System_Failure,5,rf_smote,9,8,180,26,4372,691,162,0.23444283646888567,0.8929088277858177,0.8351579626047712,0.8869784210924094,0.8666666666666667,0.6419753086419753,0.7375886524822695,513,16,58,104,0.9071331886391747,0.8313278745058348,0.030245746691871456,all_sensors
System_Failure,5,rf_smote,10,8,178,28,4198,865,178,0.20578034682080926,0.9248554913294798,0.8692834010262038,0.9194362272041602,0.959349593495935,0.6629213483146067,0.7840531561461794,682,5,60,118,0.956438185892089,0.9023781888732166,0.00727802037845706,all_sensors
System_Failure,5,rf_smote,1,8,181,25,4509,554,110,0.19855595667870035,0.8465703971119134,0.6911462808345412,0.8232370056097125,0.7450980392156863,0.34545454545454546,0.4720496894409938,431,13,72,38,0.7478808353808354,0.5840944171624921,0.02927927927927928,no_temperature
System_Failure,5,rf_smote,2,8,182,24,4524,539,62,0.1150278293135436,0.9406307977736549,0.8600454397922752,0.9418129790643353,0.7205882352941176,0.7903225806451613,0.7538461538461538,458,19,13,49,0.9528301886792453,0.8523314720377057,0.039832285115303984,no_temperature
System_Failure,5,rf_smote,3,8,182,24,4517,546,80,0.14652014652014653,0.9212454212454212,0.836580425567458,0.9197373933325823,0.7534246575342466,0.6875,0.7189542483660131,448,18,25,55,0.9363733905579399,0.7959722247958119,0.03862660944206009,no_temperature
System_Failure,5,rf_smote,4,8,189,17,4639,424,80,0.18867924528301888,0.8419811320754716,0.7844858324166446,0.8537952347450938,0.552,0.8625,0.6731707317073171,288,56,11,69,0.951998546511628,0.8440145471760437,0.16279069767441862,no_temperature
System_Failure,5,rf_smote,5,8,181,25,4468,595,67,0.11260504201680673,0.9310924369747899,0.8390034647747897,0.9333435007396788,0.6666666666666666,0.7761194029850746,0.7172413793103448,502,26,15,52,0.9611035730438715,0.7029892440973032,0.04924242424242424,no_temperature
System_Failure,5,rf_smote,7,8,181,25,4463,600,92,0.15333333333333332,0.9283333333333333,0.8561672473867596,0.9268051103368176,0.7951807228915663,0.717391304347826,0.7542857142857143,491,17,26,66,0.9569924683327627,0.8431173741722533,0.03346456692913386,no_temperature
System_Failure,5,rf_smote,8,8,194,12,4814,249,35,0.14056224899598393,0.9598393574297188,0.91484268125855,0.9593421565880484,0.8787878787878788,0.8285714285714286,0.8529411764705882,210,4,6,29,0.9862483311081442,0.9337690231760416,0.018691588785046728,no_temperature
System_Failure,5,rf_smote,9,8,180,26,4372,691,162,0.23444283646888567,0.8914616497829233,0.8342369140718706,0.8859646924116646,0.8536585365853658,0.6481481481481481,0.7368421052631579,511,18,57,105,0.896899577586408,0.8252986364447847,0.034026465028355386,no_temperature
System_Failure,5,rf_smote,10,8,178,28,4198,865,178,0.20578034682080926,0.9202312138728324,0.8667510565479181,0.9164251442821906,0.8920863309352518,0.6966292134831461,0.7823343848580442,672,15,54,124,0.9607518440377476,0.8933475770649564,0.021834061135371178,no_temperature
System_Failure,10,rf_smote,1,8,178,24,3606,429,117,0.2727272727272727,0.8321678321678322,0.7469026548672566,0.8136765888978278,0.8571428571428571,0.46153846153846156,0.6,303,9,63,54,0.9331580100810869,0.7892392977154885,0.028846153846153848,all_sensors
System_Failure,10,rf_smote,2,8,179,23,3614,421,77,0.1828978622327791,0.8527315914489311,0.7827006327006327,0.8609360552353427,0.5714285714285714,0.7792207792207793,0.6593406593406593,299,45,17,60,0.9175098157656297,0.6324857706524255,0.1308139534883721,all_sensors
System_Failure,10,rf_smote,3,8,178,24,3609,426,87,0.20422535211267606,0.903755868544601,0.852576492930998,0.9039597704394757,0.7613636363636364,0.7701149425287356,0.7657142857142857,318,21,20,67,0.940579120469264,0.8370377745794841,0.061946902654867256,all_sensors
System_Failure,10,rf_smote,4,8,185,17,3696,339,86,0.2536873156342183,0.8259587020648967,0.7876413441630833,0.8320788356186586,0.6238532110091743,0.7906976744186046,0.6974358974358974,212,41,18,68,0.8936712933174005,0.7441469494720291,0.16205533596837945,all_sensors
System_Failure,10,rf_smote,5,8,177,25,3565,470,81,0.1723404255319149,0.9319148936170213,0.8829426232060023,0.9325592655961136,0.788235294117647,0.8271604938271605,0.8072289156626506,371,18,14,67,0.9530768986638738,0.8436081940459127,0.04627249357326478,all_sensors
System_Failure,10,rf_smote,7,8,178,24,3560,475,100,0.21052631578947367,0.9347368421052632,0.8933040598801527,0.9317973541771304,0.9367088607594937,0.74,0.8268156424581006,370,5,26,74,0.96248,0.9196894225989866,0.013333333333333334,all_sensors
System_Failure,10,rf_smote,8,8,190,12,3846,189,36,0.19047619047619047,0.9576719576719577,0.9313725490196079,0.9576719576719577,0.8888888888888888,0.8888888888888888,0.8888888888888888,149,4,4,32,0.9919208424110385,0.9683698622204647,0.026143790849673203,all_sensors
System_Failure,10,rf_smote,9,8,176,26,3474,561,184,0.32798573975044565,0.8556149732620321,0.8198365718952824,0.8474574977504132,0.905511811023622,0.625,0.7395498392282959,365,12,69,115,0.862652808211279,0.8416510542133959,0.03183023872679045,all_sensors
System_Failure,10,rf_smote,10,8,175,27,3310,725,206,0.28413793103448276,0.8496551724137931,0.8091501657936238,0.8471084504406687,0.7621621621621621,0.6844660194174758,0.7212276214833759,475,44,65,141,0.8996436388125035,0.8425011366935224,0.08477842003853564,all_sensors
System_Failure,10,rf_smote,1,8,178,24,3606,429,117,0.2727272727272727,0.8298368298368298,0.7504164109757167,0.8144122030332251,0.8142857142857143,0.48717948717948717,0.6096256684491979,299,13,60,57,0.8576457374534299,0.7309180481828147,0.041666666666666664,no_temperature
System_Failure,10,rf_smote,2,8,179,23,3614,421,77,0.1828978622327791,0.9619952494061758,0.9322334004024144,0.9607151698791323,0.9692307692307692,0.8181818181818182,0.8873239436619719,342,2,14,63,0.9886929930534583,0.9621092902774439,0.005813953488372093,no_temperature
System_Failure,10,rf_smote,3,8,178,24,3609,426,87,0.20422535211267606,0.892018779342723,0.8418095514869708,0.8945292407355107,0.7070707070707071,0.8045977011494253,0.7526881720430108,310,29,17,70,0.9346285559285255,0.8384990926067387,0.0855457227138643,no_temperature
System_Failure,10,rf_smote,4,8,185,17,3696,339,86,0.2536873156342183,0.8613569321533924,0.8347627689914441,0.8674188369917776,0.6666666666666666,0.9069767441860465,0.7684729064039408,214,39,8,78,0.9308989796856327,0.8169993156802859,0.1541501976284585,no_temperature
System_Failure,10,rf_smote,5,8,177,25,3565,470,81,0.1723404255319149,0.9297872340425531,0.8841456582633054,0.9317985577209608,0.7553191489361702,0.8765432098765432,0.8114285714285714,366,23,10,71,0.9604398743216225,0.8815801437886543,0.05912596401028278,no_temperature
System_Failure,10,rf_smote,7,8,178,24,3560,475,100,0.21052631578947367,0.9410526315789474,0.9078947368421053,0.9398891966759002,0.9,0.81,0.8526315789473684,366,9,19,81,0.9706799999999999,0.9353091284709771,0.024,no_temperature
System_Failure,10,rf_smote,8,8,190,12,3846,189,36,0.19047619047619047,0.9523809523809523,0.9251485148514851,0.9530975954738332,0.8461538461538461,0.9166666666666666,0.88,147,6,3,33,0.9941902687000727,0.9794331945022405,0.0392156862745098,no_temperature
System_Failure,10,rf_smote,9,8,176,26,3474,561,184,0.32798573975044565,0.8502673796791443,0.8177387914230019,0.8442283168805356,0.8571428571428571,0.6521739130434783,0.7407407407407407,357,20,64,120,0.8559061815246223,0.8364534535526968,0.05305039787798409,no_temperature
System_Failure,10,rf_smote,10,8,175,27,3310,725,206,0.28413793103448276,0.8606896551724138,0.8275033509932839,0.860167857936893,0.7611940298507462,0.7427184466019418,0.7518427518427518,471,48,53,153,0.9242942926090129,0.8649782518278415,0.09248554913294797,no_temperature
System_Failure,20,rf_smote,1,8,172,24,1851,189,86,0.455026455026455,0.8994708994708994,0.8968725768932541,0.898344959687253,0.958904109589041,0.813953488372093,0.8805031446540881,100,3,16,70,0.9720591555655904,0.9351981328423121,0.02912621359223301,all_sensors
System_Failure,20,rf_smote,2,8,173,23,1849,191,64,0.33507853403141363,0.8691099476439791,0.8617744970328557,0.8722775285896913,0.7349397590361446,0.953125,0.8299319727891157,105,22,3,61,0.9723179133858268,0.9636034619504039,0.1732283464566929,all_sensors
System_Failure,20,rf_smote,3,8,173,23,1853,187,64,0.3422459893048128,0.9037433155080213,0.8972527472527473,0.9054004818710701,0.8026315789473685,0.953125,0.8714285714285714,108,15,3,61,0.9613821138211383,0.8497993657896432,0.12195121951219512,all_sensors
