target,window_size,feature_set,model,valid_test_blocks,blocks_with_tp_rate,test_positive_count_mean,macro_f1_mean,macro_f1_std,macro_f1_min,positive_recall_mean,positive_recall_std,positive_recall_min,positive_precision_mean,positive_precision_std,positive_precision_min,positive_f1_mean,positive_f1_std,positive_f1_min,pr_auc_mean,pr_auc_std,pr_auc_min,roc_auc_mean,roc_auc_std,roc_auc_min,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min
System_Failure,5,all_sensors,rf_smote,9,1.0,96.22222222222223,0.820467564233559,0.070234652566034,0.6383785488496263,0.6105213699104161,0.15402299289934418,0.23636363636363636,0.8396447345454033,0.07278224551458544,0.6931818181818182,0.6914377277829185,0.1253281141144622,0.36879432624113473,0.8133323539071049,0.08203134407419899,0.6654253788350788,0.9385528156493262,0.03852288700876959,0.8452600327600327,0.024342525992326332,0.020423544482698265,0.00727802037845706
System_Failure,5,no_temperature,rf_smote,9,1.0,96.22222222222223,0.8314732602945341,0.05926498886068892,0.6911462808345412,0.705848513737259,0.1435434552328473,0.34545454545454546,0.7619434519900866,0.10291672606028422,0.552,0.7179628426164809,0.09877435066793365,0.4720496894409938,0.8083260573474881,0.09955542027284227,0.5840944171624921,0.9278976394709537,0.06755623068996017,0.7478808353808354,0.047531997514599265,0.04167558820981567,0.018691588785046728
System_Failure,10,all_sensors,rf_smote,9,1.0,108.22222222222223,0.8340474549396266,0.05668984383884956,0.7469026548672566,0.7296763622044562,0.11910356852668473,0.46153846153846156,0.788366143655117,0.1183713291805153,0.5714285714285714,0.7451335278013504,0.08361211205079085,0.6,0.8243032735768566,0.09157214987779755,0.6324857706524255,0.9282991586368973,0.03719389433188108,0.862652808211279,0.06511340249770778,0.048406736056468336,0.013333333333333334
System_Failure,10,no_temperature,rf_smote,9,1.0,108.22222222222223,0.8579614649144143,0.05589665692658762,0.7504164109757167,0.7794486652094897,0.12933801563046352,0.48717948717948717,0.8085626377041641,0.0903663301834304,0.6666666666666666,0.7838615926130614,0.0815731886194404,0.6096256684491979,0.8718088798766327,0.07388086261602501,0.7309180481828147,0.9352640981418195,0.047931814824193605,0.8559061815246223,0.061672681977009564,0.04162833054174012,0.005813953488372093
System_Failure,20,all_sensors,rf_smote,9,1.0,97.88888888888889,0.7796472908594617,0.13649224511623764,0.5367514094245294,0.7926561706323727,0.16899407980260198,0.5053763440860215,0.765803621909659,0.1264227830749423,0.5161290322580645,0.764788049228335,0.11579352414110092,0.6114649681528662,0.86082467423539,0.09824820010493646,0.6301295384369103,0.8788538224377231,0.10492904374200315,0.7179347826086957,0.2087321108532391,0.19361972556009524,0.02912621359223301
System_Failure,20,no_temperature,rf_smote,9,1.0,97.88888888888889,0.8075873797539656,0.09095660379876025,0.6370886566008518,0.7971396575002144,0.11603950280566265,0.5754189944134078,0.7808288039675338,0.09302169699293839,0.6622807017543859,0.7831106210752935,0.08051107192666784,0.653968253968254,0.8622160354926676,0.0839251089832518,0.6922995887116152,0.8826950194144383,0.09314737325406745,0.7203956406264309,0.16671073195900907,0.10071522978489421,0.038834951456310676
ProtectiveStop,5,all_sensors,rf_smote,9,1.0,54.111111111111114,0.8274568002621245,0.1075095661275612,0.6061424712071662,0.6215560958929641,0.23103239963825142,0.13636363636363635,0.8077684344039484,0.1316328848259769,0.6153846153846154,0.6783414142441503,0.2123646430507143,0.23076923076923078,0.7837989706468487,0.14726773108184527,0.5699697634736038,0.9784870817081056,0.011978107652977556,0.9607165304839723,0.014805530673785233,0.012709250205704709,0.0
ProtectiveStop,5,no_temperature,rf_smote,9,1.0,54.111111111111114,0.8525784128166571,0.07919327329673782,0.6902143522833177,0.7280074519033743,0.19371027714709885,0.3181818181818182,0.755014979876091,0.15755708920561876,0.5384615384615384,0.7281887844619286,0.1549892133406588,0.4,0.8036904834995441,0.1548597487989141,0.5594058398688786,0.981200350660436,0.011460361511072345,0.9641319541515236,0.02149572743833714,0.018046864284566085,0.0
ProtectiveStop,10,all_sensors,rf_smote,9,1.0,62.55555555555556,0.8650454005603643,0.08884466506577177,0.6642246642246642,0.7594405650216058,0.19716081800779522,0.25925925925925924,0.7961556290797316,0.1632995493817014,0.5737704918032787,0.76199854253703,0.16927655467147226,0.358974358974359,0.7949965578104742,0.20282689839381865,0.3802884564928475,0.963272133910339,0.026914811875783946,0.9260180578588539,0.029513963532195337,0.027587153330935518,0.0
ProtectiveStop,10,no_temperature,rf_smote,9,1.0,62.55555555555556,0.8605700808098486,0.10139455933739455,0.6324694795459413,0.7719035788445239,0.2163657921946389,0.25925925925925924,0.7552125456524253,0.19756172897200486,0.3684210526315789,0.7542657559644537,0.19255661003335603,0.30434782608695654,0.8067740810208925,0.1961743875641354,0.43460987242770976,0.9665662940244708,0.02655217055292499,0.9120140040538051,0.033691738298741294,0.025227737774545064,0.0025906735751295338
ProtectiveStop,20,all_sensors,rf_smote,9,1.0,68.33333333333333,0.7822107399486669,0.08888234126703984,0.6622807017543859,0.6334185684991845,0.22990735326821218,0.25925925925925924,0.7922680309587103,0.1251906326531029,0.5892857142857143,0.6722212784584989,0.15263619939293083,0.3888888888888889,0.7833767321029698,0.15842408080105033,0.5281056246970043,0.889200873142323,0.07671368544834918,0.7850941252839987,0.0797396116376622,0.077662754367068,0.0
ProtectiveStop,20,no_temperature,rf_smote,9,1.0,68.33333333333333,0.8124134810415353,0.07723059337203676,0.7191958951289801,0.6810408293265283,0.18642966078037448,0.45569620253164556,0.8118089615444423,0.12853869771257784,0.6,0.721009613019588,0.11754607968129333,0.5396825396825397,0.817011551519673,0.15874525860012262,0.499446394208386,0.905534913800735,0.07835992985472277,0.7804504504504505,0.06701905397611259,0.06662531258288669,0.0
GripLost,5,all_sensors,rf_smote,9,1.0,43.44444444444444,0.8507818325526312,0.09075174885093926,0.6403077333570507,0.6261999671105667,0.2006634147965624,0.22727272727272727,0.9087021763909541,0.06693116954994596,0.8,0.7230356581635746,0.16300909027031096,0.35398230088495575,0.8037913921412576,0.11098742587572386,0.6371615399812355,0.9391015781829134,0.06070127476863319,0.8002415458937198,0.006437833673611426,0.006895543409406591,0.0
GripLost,5,no_temperature,rf_smote,9,1.0,43.44444444444444,0.8441199671863712,0.06892181527495624,0.6996811224489796,0.6809462899342349,0.1820300367663282,0.3409090909090909,0.7795443382984183,0.07923673133220552,0.6,0.7121339016833299,0.12245930614737707,0.46875,0.7757901998201241,0.13690908283318126,0.5270180740294097,0.9153855547531706,0.08714378705571986,0.755120952009364,0.016382948409553306,0.010777934428728085,0.003430531732418525
