target,window_size,feature_set,model,test_block,cycle,cycle_run,cycle_occurrence,window_count,positive_window_count,predicted_positive_window_count,negative_alert_window_count,true_event_cycle,event_detected_on_positive_window,normal_cycle_false_alarm,first_positive_window_end_step,first_detected_positive_window_end_step,anomaly_window_detection_delay_steps
System_Failure,10,all_sensors,rf_smote,1,1,1,1,30,20,5,0,1,1.0,,19.0,28.0,9.0
System_Failure,10,all_sensors,rf_smote,1,2,2,1,37,34,15,0,1,1.0,,9.0,9.0,0.0
System_Failure,10,all_sensors,rf_smote,1,3,3,1,17,0,1,1,0,,1.0,,,
System_Failure,10,all_sensors,rf_smote,1,4,4,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,5,5,1,18,7,8,1,1,1.0,,20.0,20.0,0.0
System_Failure,10,all_sensors,rf_smote,1,6,6,1,22,17,11,2,1,1.0,,14.0,14.0,0.0
System_Failure,10,all_sensors,rf_smote,1,8,8,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,9,9,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,10,10,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,11,11,1,16,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,12,12,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,13,13,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,14,14,1,19,18,6,0,1,1.0,,9.0,22.0,13.0
System_Failure,10,all_sensors,rf_smote,1,15,15,1,14,14,5,0,1,1.0,,9.0,18.0,9.0
System_Failure,10,all_sensors,rf_smote,1,16,16,1,16,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,17,17,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,18,18,1,16,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,19,19,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,20,20,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,21,21,1,16,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,22,22,1,27,7,12,5,1,1.0,,9.0,9.0,0.0
System_Failure,10,all_sensors,rf_smote,1,23,23,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,24,24,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,1,25,25,1,16,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,2,26,26,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,2,27,27,1,15,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,2,28,28,1,16,0,0,0,0,,0.0,,,
System_Failure,10,all_sensors,rf_smote,2,29,29,1,15,0,0,0,0,,0.0,,,
