target,model,seed,test_block,cycle,cycle_run,true_event_cycle,event_detected_on_positive_window,normal_cycle_false_alarm,window_count,predicted_positive_window_count
System_Failure,1d_cnn,42,1,1,1,1,1.0,,30,8
System_Failure,1d_cnn,42,1,2,2,1,1.0,,37,30
System_Failure,1d_cnn,42,1,3,3,0,,0.0,17,0
System_Failure,1d_cnn,42,1,4,4,0,,0.0,15,0
System_Failure,1d_cnn,42,1,5,5,1,1.0,,18,8
System_Failure,1d_cnn,42,1,6,6,1,1.0,,22,7
System_Failure,1d_cnn,42,1,8,8,0,,0.0,15,0
System_Failure,1d_cnn,42,1,9,9,0,,1.0,15,1
System_Failure,1d_cnn,42,1,10,10,0,,0.0,15,0
System_Failure,1d_cnn,42,1,11,11,0,,1.0,16,3
System_Failure,1d_cnn,42,1,12,12,0,,0.0,15,0
System_Failure,1d_cnn,42,1,13,13,0,,1.0,15,2
System_Failure,1d_cnn,42,1,14,14,1,1.0,,19,12
System_Failure,1d_cnn,42,1,15,15,1,1.0,,14,8
System_Failure,1d_cnn,42,1,16,16,0,,0.0,16,0
System_Failure,1d_cnn,42,1,17,17,0,,0.0,15,0
System_Failure,1d_cnn,42,1,18,18,0,,0.0,16,0
System_Failure,1d_cnn,42,1,19,19,0,,0.0,15,0
System_Failure,1d_cnn,42,1,20,20,0,,0.0,15,0
System_Failure,1d_cnn,42,1,21,21,0,,1.0,16,1
System_Failure,1d_cnn,42,1,22,22,1,1.0,,27,10
System_Failure,1d_cnn,42,1,23,23,0,,0.0,15,0
System_Failure,1d_cnn,42,1,24,24,0,,0.0,15,0
System_Failure,1d_cnn,42,1,25,25,0,,0.0,16,0
System_Failure,1d_cnn,43,1,1,1,1,1.0,,30,12
System_Failure,1d_cnn,43,1,2,2,1,1.0,,37,31
System_Failure,1d_cnn,43,1,3,3,0,,0.0,17,0
System_Failure,1d_cnn,43,1,4,4,0,,0.0,15,0
System_Failure,1d_cnn,43,1,5,5,1,1.0,,18,6
System_Failure,1d_cnn,43,1,6,6,1,1.0,,22,16
System_Failure,1d_cnn,43,1,8,8,0,,0.0,15,0
System_Failure,1d_cnn,43,1,9,9,0,,0.0,15,0
System_Failure,1d_cnn,43,1,10,10,0,,0.0,15,0
System_Failure,1d_cnn,43,1,11,11,0,,0.0,16,0
System_Failure,1d_cnn,43,1,12,12,0,,0.0,15,0
System_Failure,1d_cnn,43,1,13,13,0,,0.0,15,0
System_Failure,1d_cnn,43,1,14,14,1,1.0,,19,10
System_Failure,1d_cnn,43,1,15,15,1,1.0,,14,8
System_Failure,1d_cnn,43,1,16,16,0,,0.0,16,0
System_Failure,1d_cnn,43,1,17,17,0,,0.0,15,0
System_Failure,1d_cnn,43,1,18,18,0,,1.0,16,4
System_Failure,1d_cnn,43,1,19,19,0,,0.0,15,0
System_Failure,1d_cnn,43,1,20,20,0,,0.0,15,0
System_Failure,1d_cnn,43,1,21,21,0,,0.0,16,0
System_Failure,1d_cnn,43,1,22,22,1,1.0,,27,11
System_Failure,1d_cnn,43,1,23,23,0,,0.0,15,0
System_Failure,1d_cnn,43,1,24,24,0,,0.0,15,0
System_Failure,1d_cnn,43,1,25,25,0,,0.0,16,0
System_Failure,1d_cnn,44,1,1,1,1,1.0,,30,17
System_Failure,1d_cnn,44,1,2,2,1,1.0,,37,32
System_Failure,1d_cnn,44,1,3,3,0,,0.0,17,0
System_Failure,1d_cnn,44,1,4,4,0,,0.0,15,0
System_Failure,1d_cnn,44,1,5,5,1,1.0,,18,6
System_Failure,1d_cnn,44,1,6,6,1,1.0,,22,10
System_Failure,1d_cnn,44,1,8,8,0,,0.0,15,0
System_Failure,1d_cnn,44,1,9,9,0,,0.0,15,0
System_Failure,1d_cnn,44,1,10,10,0,,0.0,15,0
System_Failure,1d_cnn,44,1,11,11,0,,0.0,16,0
System_Failure,1d_cnn,44,1,12,12,0,,0.0,15,0
System_Failure,1d_cnn,44,1,13,13,0,,0.0,15,0
System_Failure,1d_cnn,44,1,14,14,1,1.0,,19,9
System_Failure,1d_cnn,44,1,15,15,1,1.0,,14,5
System_Failure,1d_cnn,44,1,16,16,0,,0.0,16,0
System_Failure,1d_cnn,44,1,17,17,0,,0.0,15,0
System_Failure,1d_cnn,44,1,18,18,0,,1.0,16,2
System_Failure,1d_cnn,44,1,19,19,0,,0.0,15,0
System_Failure,1d_cnn,44,1,20,20,0,,0.0,15,0
System_Failure,1d_cnn,44,1,21,21,0,,0.0,16,0
System_Failure,1d_cnn,44,1,22,22,1,1.0,,27,12
System_Failure,1d_cnn,44,1,23,23,0,,0.0,15,0
System_Failure,1d_cnn,44,1,24,24,0,,0.0,15,0
System_Failure,1d_cnn,44,1,25,25,0,,0.0,16,0
System_Failure,1d_cnn,42,2,26,26,0,,0.0,15,0
System_Failure,1d_cnn,42,2,27,27,0,,0.0,15,0
System_Failure,1d_cnn,42,2,28,28,0,,1.0,16,1
System_Failure,1d_cnn,42,2,29,29,0,,0.0,15,0
System_Failure,1d_cnn,42,2,30,30,0,,0.0,15,0
System_Failure,1d_cnn,42,2,31,31,0,,0.0,14,0
System_Failure,1d_cnn,42,2,32,32,0,,0.0,15,0
System_Failure,1d_cnn,42,2,33,33,0,,0.0,16,0
System_Failure,1d_cnn,42,2,34,34,0,,0.0,15,0
System_Failure,1d_cnn,42,2,35,35,1,1.0,,20,4
System_Failure,1d_cnn,42,2,36,36,1,1.0,,24,21
System_Failure,1d_cnn,42,2,37,37,0,,0.0,15,0
System_Failure,1d_cnn,42,2,38,38,0,,0.0,15,0
System_Failure,1d_cnn,42,2,39,39,1,1.0,,15,10
System_Failure,1d_cnn,42,2,40,40,1,1.0,,20,16
System_Failure,1d_cnn,42,2,41,41,0,,0.0,15,0
System_Failure,1d_cnn,42,2,42,42,1,1.0,,71,67
System_Failure,1d_cnn,42,2,43,43,0,,0.0,15,0
System_Failure,1d_cnn,42,2,44,44,0,,0.0,15,0
System_Failure,1d_cnn,42,2,45,45,0,,0.0,15,0
System_Failure,1d_cnn,42,2,48,48,0,,0.0,15,0
System_Failure,1d_cnn,42,2,49,49,0,,0.0,15,0
System_Failure,1d_cnn,42,2,50,50,0,,0.0,15,0
System_Failure,1d_cnn,43,2,26,26,0,,0.0,15,0
System_Failure,1d_cnn,43,2,27,27,0,,0.0,15,0
System_Failure,1d_cnn,43,2,28,28,0,,1.0,16,7
System_Failure,1d_cnn,43,2,29,29,0,,0.0,15,0
System_Failure,1d_cnn,43,2,30,30,0,,0.0,15,0
System_Failure,1d_cnn,43,2,31,31,0,,0.0,14,0
System_Failure,1d_cnn,43,2,32,32,0,,0.0,15,0
System_Failure,1d_cnn,43,2,33,33,0,,1.0,16,2
System_Failure,1d_cnn,43,2,34,34,0,,0.0,15,0
System_Failure,1d_cnn,43,2,35,35,1,1.0,,20,2
System_Failure,1d_cnn,43,2,36,36,1,1.0,,24,21
System_Failure,1d_cnn,43,2,37,37,0,,0.0,15,0
System_Failure,1d_cnn,43,2,38,38,0,,0.0,15,0
System_Failure,1d_cnn,43,2,39,39,1,1.0,,15,6
System_Failure,1d_cnn,43,2,40,40,1,1.0,,20,10
System_Failure,1d_cnn,43,2,41,41,0,,0.0,15,0
System_Failure,1d_cnn,43,2,42,42,1,1.0,,71,64
System_Failure,1d_cnn,43,2,43,43,0,,0.0,15,0
System_Failure,1d_cnn,43,2,44,44,0,,0.0,15,0
System_Failure,1d_cnn,43,2,45,45,0,,0.0,15,0
System_Failure,1d_cnn,43,2,48,48,0,,0.0,15,0
System_Failure,1d_cnn,43,2,49,49,0,,0.0,15,0
System_Failure,1d_cnn,43,2,50,50,0,,0.0,15,0
System_Failure,1d_cnn,44,2,26,26,0,,0.0,15,0
System_Failure,1d_cnn,44,2,27,27,0,,0.0,15,0
System_Failure,1d_cnn,44,2,28,28,0,,1.0,16,2
System_Failure,1d_cnn,44,2,29,29,0,,0.0,15,0
System_Failure,1d_cnn,44,2,30,30,0,,0.0,15,0
System_Failure,1d_cnn,44,2,31,31,0,,0.0,14,0
System_Failure,1d_cnn,44,2,32,32,0,,0.0,15,0
System_Failure,1d_cnn,44,2,33,33,0,,0.0,16,0
System_Failure,1d_cnn,44,2,34,34,0,,1.0,15,1
System_Failure,1d_cnn,44,2,35,35,1,1.0,,20,3
System_Failure,1d_cnn,44,2,36,36,1,1.0,,24,21
System_Failure,1d_cnn,44,2,37,37,0,,0.0,15,0
System_Failure,1d_cnn,44,2,38,38,0,,0.0,15,0
System_Failure,1d_cnn,44,2,39,39,1,1.0,,15,9
System_Failure,1d_cnn,44,2,40,40,1,1.0,,20,14
System_Failure,1d_cnn,44,2,41,41,0,,0.0,15,0
System_Failure,1d_cnn,44,2,42,42,1,1.0,,71,66
System_Failure,1d_cnn,44,2,43,43,0,,0.0,15,0
System_Failure,1d_cnn,44,2,44,44,0,,0.0,15,0
System_Failure,1d_cnn,44,2,45,45,0,,0.0,15,0
System_Failure,1d_cnn,44,2,48,48,0,,0.0,15,0
System_Failure,1d_cnn,44,2,49,49,0,,0.0,15,0
System_Failure,1d_cnn,44,2,50,50,0,,0.0,15,0
System_Failure,1d_cnn,42,3,51,51,0,,0.0,15,0
System_Failure,1d_cnn,42,3,52,52,0,,0.0,15,0
System_Failure,1d_cnn,42,3,53,53,1,1.0,,43,28
System_Failure,1d_cnn,42,3,54,54,0,,0.0,15,0
System_Failure,1d_cnn,42,3,55,55,0,,0.0,15,0
System_Failure,1d_cnn,42,3,56,56,0,,0.0,15,0
System_Failure,1d_cnn,42,3,57,57,0,,0.0,32,0
System_Failure,1d_cnn,42,3,58,58,0,,1.0,15,4
System_Failure,1d_cnn,42,3,59,59,0,,0.0,15,0
System_Failure,1d_cnn,42,3,60,60,0,,0.0,16,0
System_Failure,1d_cnn,42,3,61,61,0,,0.0,13,0
System_Failure,1d_cnn,42,3,62,62,0,,0.0,16,0
System_Failure,1d_cnn,42,3,63,63,1,1.0,,31,16
System_Failure,1d_cnn,42,3,64,64,1,1.0,,16,7
System_Failure,1d_cnn,42,3,65,65,1,1.0,,13,2
System_Failure,1d_cnn,42,3,66,66,0,,0.0,17,0
System_Failure,1d_cnn,42,3,67,67,1,1.0,,15,6
System_Failure,1d_cnn,42,3,68,68,0,,0.0,15,0
System_Failure,1d_cnn,42,3,69,69,1,1.0,,24,13
System_Failure,1d_cnn,42,3,70,70,0,,0.0,15,0
System_Failure,1d_cnn,42,3,71,71,0,,0.0,9,0
System_Failure,1d_cnn,42,3,72,72,0,,0.0,15,0
System_Failure,1d_cnn,42,3,73,73,0,,1.0,16,2
System_Failure,1d_cnn,42,3,75,74,0,,0.0,15,0
System_Failure,1d_cnn,43,3,51,51,0,,0.0,15,0
System_Failure,1d_cnn,43,3,52,52,0,,0.0,15,0
System_Failure,1d_cnn,43,3,53,53,1,1.0,,43,29
System_Failure,1d_cnn,43,3,54,54,0,,0.0,15,0
System_Failure,1d_cnn,43,3,55,55,0,,0.0,15,0
System_Failure,1d_cnn,43,3,56,56,0,,0.0,15,0
System_Failure,1d_cnn,43,3,57,57,0,,0.0,32,0
System_Failure,1d_cnn,43,3,58,58,0,,1.0,15,3
System_Failure,1d_cnn,43,3,59,59,0,,0.0,15,0
System_Failure,1d_cnn,43,3,60,60,0,,0.0,16,0
System_Failure,1d_cnn,43,3,61,61,0,,0.0,13,0
System_Failure,1d_cnn,43,3,62,62,0,,0.0,16,0
System_Failure,1d_cnn,43,3,63,63,1,1.0,,31,10
System_Failure,1d_cnn,43,3,64,64,1,1.0,,16,6
System_Failure,1d_cnn,43,3,65,65,1,1.0,,13,2
System_Failure,1d_cnn,43,3,66,66,0,,0.0,17,0
System_Failure,1d_cnn,43,3,67,67,1,1.0,,15,6
System_Failure,1d_cnn,43,3,68,68,0,,0.0,15,0
System_Failure,1d_cnn,43,3,69,69,1,1.0,,24,13
System_Failure,1d_cnn,43,3,70,70,0,,0.0,15,0
