target,model,seed,test_blocks,event_cycle_count,event_cycle_recall,event_cycle_recall_min_block,normal_cycle_count,normal_cycle_false_alarm_rate,normal_cycle_false_alarm_rate_max_block,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
System_Failure,1d_cnn,42,9,87,0.9655172413793104,0.8,115,0.14782608695652175,0.5714285714285714,0.8097161908431638,0.7119341563786008,0.7104722792607803,0.71120246659815,0.7272358825155636
System_Failure,1d_cnn,43,9,87,0.9655172413793104,0.9,115,0.13043478260869565,0.6666666666666666,0.8052086641682017,0.6849183477425552,0.7320328542094456,0.7076923076923077,0.7329094780768876
System_Failure,1d_cnn,44,9,87,0.9885057471264368,0.95,115,0.2,0.8571428571428571,0.8057864030467548,0.6765799256505576,0.7474332648870636,0.7102439024390244,0.7194831827807022
System_Failure,lstm,42,9,87,0.9770114942528736,0.6,115,0.21739130434782608,1.0,0.7707802536495434,0.6220400728597449,0.7012320328542094,0.6592664092664092,0.7042864763747095
System_Failure,lstm,43,9,87,0.9425287356321839,0.8,115,0.2,0.5714285714285714,0.7895781367280679,0.6792645556690501,0.6827515400410678,0.6810035842293907,0.7128933395382256
System_Failure,lstm,44,9,87,0.9655172413793104,0.8,115,0.2,0.6666666666666666,0.7876632944572257,0.6457194899817851,0.7279260780287474,0.6843629343629344,0.7200203083743936
ProtectiveStop,1d_cnn,42,9,62,0.9354838709677419,0.3333333333333333,140,0.21428571428571427,0.5555555555555556,0.8212695509498977,0.6255259467040674,0.7921847246891652,0.6990595611285266,0.7774395687142288
ProtectiveStop,1d_cnn,43,9,62,0.9354838709677419,0.5,140,0.20714285714285716,0.7,0.8148765239816579,0.6142061281337048,0.783303730017762,0.6885245901639344,0.7856500162447155
ProtectiveStop,1d_cnn,44,9,62,0.9354838709677419,0.6666666666666666,140,0.18571428571428572,0.875,0.78347846988044,0.5326340326340326,0.8117229129662522,0.6432090077410274,0.7743362488730212
ProtectiveStop,lstm,42,9,62,0.9032258064516129,0.3333333333333333,140,0.2642857142857143,0.625,0.8069415623654332,0.5840821566110398,0.8081705150976909,0.6780923994038748,0.6768551704925858
ProtectiveStop,lstm,43,9,62,0.9032258064516129,0.3333333333333333,140,0.2,0.5,0.8184122343800768,0.6082337317397079,0.8134991119005328,0.6960486322188449,0.7029085185977874
ProtectiveStop,lstm,44,9,62,0.9193548387096774,0.3333333333333333,140,0.17142857142857143,0.4444444444444444,0.8281802842887427,0.6273712737127372,0.822380106571936,0.7117601844734819,0.7335321646145868
GripLost,1d_cnn,42,9,39,0.9487179487179487,0.6666666666666666,163,0.294478527607362,0.7,0.7470940170940171,0.4788273615635179,0.6743119266055045,0.56,0.6354827828328365
GripLost,1d_cnn,43,9,39,0.9487179487179487,0.0,163,0.3006134969325153,0.7619047619047619,0.721810055664967,0.43007518796992483,0.6559633027522935,0.51952770208901,0.5977719167110236
GripLost,1d_cnn,44,9,39,0.9487179487179487,0.0,163,0.3803680981595092,0.8095238095238095,0.7408288024340085,0.44645340751043117,0.7362385321100917,0.5558441558441558,0.6216339622739488
GripLost,lstm,42,9,39,1.0,1.0,163,0.37423312883435583,0.7,0.715043100257555,0.40473061760841,0.7064220183486238,0.5146198830409356,0.6135908762574583
GripLost,lstm,43,9,39,0.9487179487179487,0.6666666666666666,163,0.2822085889570552,0.8,0.7589501010144896,0.5163043478260869,0.6536697247706422,0.5769230769230769,0.6240140701521423
GripLost,lstm,44,9,39,0.8974358974358975,0.5,163,0.4723926380368098,1.0,0.709276593291901,0.4090909090909091,0.6399082568807339,0.4991055456171735,0.6129762203090214
System_Failure,rf_window_features,42,9,87,1.0,1.0,115,0.05217391304347826,0.16666666666666666,0.8264910976270503,0.7730900798175598,0.6960985626283368,0.7325769854132901,0.8114810320820142
ProtectiveStop,rf_window_features,42,9,62,0.9516129032258065,0.5,140,0.04285714285714286,0.14285714285714285,0.8762812274625564,0.8097928436911488,0.7637655417406749,0.7861060329067642,0.8455325785789873
GripLost,rf_window_features,42,9,39,0.9487179487179487,0.6666666666666666,163,0.04294478527607362,0.2,0.7997962888261396,0.905982905982906,0.48623853211009177,0.6328358208955224,0.7441444536103634
