target,model,test_block,normal_cycle_count,consensus_false_alarm_cycle_count,consensus_false_alarm_rate,event_cycle_count,consensus_detected_event_count,consensus_event_recall
System_Failure,rf_window_features,1,17,1,0.058823529411764705,7,7,1.0
System_Failure,rf_window_features,2,18,0,0.0,5,5,1.0
System_Failure,rf_window_features,3,18,3,0.16666666666666666,6,6,1.0
System_Failure,rf_window_features,4,8,1,0.125,9,9,1.0
System_Failure,rf_window_features,5,19,1,0.05263157894736842,6,6,1.0
System_Failure,rf_window_features,7,15,0,0.0,9,9,1.0
System_Failure,rf_window_features,8,7,0,0.0,5,5,1.0
System_Failure,rf_window_features,9,6,0,0.0,20,20,1.0
System_Failure,rf_window_features,10,7,0,0.0,20,20,1.0
ProtectiveStop,rf_window_features,1,22,0,0.0,2,1,0.5
ProtectiveStop,rf_window_features,2,21,0,0.0,2,2,1.0
ProtectiveStop,rf_window_features,3,21,3,0.14285714285714285,3,3,1.0
ProtectiveStop,rf_window_features,4,14,1,0.07142857142857142,3,3,1.0
ProtectiveStop,rf_window_features,5,20,1,0.05,5,5,1.0
ProtectiveStop,rf_window_features,7,16,0,0.0,8,8,1.0
ProtectiveStop,rf_window_features,8,9,0,0.0,3,3,1.0
ProtectiveStop,rf_window_features,9,9,0,0.0,17,16,0.9411764705882353
ProtectiveStop,rf_window_features,10,8,1,0.125,19,18,0.9473684210526315
GripLost,rf_window_features,1,19,0,0.0,5,5,1.0
GripLost,rf_window_features,2,20,0,0.0,3,3,1.0
GripLost,rf_window_features,3,19,1,0.05263157894736842,5,5,1.0
GripLost,rf_window_features,4,10,1,0.1,7,7,1.0
GripLost,rf_window_features,5,24,0,0.0,1,1,1.0
GripLost,rf_window_features,7,20,0,0.0,4,4,1.0
GripLost,rf_window_features,8,10,2,0.2,2,2,1.0
GripLost,rf_window_features,9,20,2,0.1,6,6,1.0
GripLost,rf_window_features,10,21,1,0.047619047619047616,6,4,0.6666666666666666
System_Failure,1d_cnn,1,17,1,0.058823529411764705,7,7,1.0
System_Failure,1d_cnn,2,18,1,0.05555555555555555,5,5,1.0
System_Failure,1d_cnn,3,18,2,0.1111111111111111,6,6,1.0
System_Failure,1d_cnn,4,8,3,0.375,9,9,1.0
System_Failure,1d_cnn,5,19,0,0.0,6,6,1.0
System_Failure,1d_cnn,7,15,1,0.06666666666666667,9,9,1.0
System_Failure,1d_cnn,8,7,0,0.0,5,5,1.0
System_Failure,1d_cnn,9,6,4,0.6666666666666666,20,18,0.9
System_Failure,1d_cnn,10,7,4,0.5714285714285714,20,19,0.95
System_Failure,lstm,1,17,1,0.058823529411764705,7,7,1.0
System_Failure,lstm,2,18,2,0.1111111111111111,5,5,1.0
System_Failure,lstm,3,18,3,0.16666666666666666,6,6,1.0
System_Failure,lstm,4,8,2,0.25,9,9,1.0
System_Failure,lstm,5,19,2,0.10526315789473684,6,6,1.0
System_Failure,lstm,7,15,2,0.13333333333333333,9,9,1.0
System_Failure,lstm,8,7,0,0.0,5,4,0.8
System_Failure,lstm,9,6,3,0.5,20,20,1.0
System_Failure,lstm,10,7,5,0.7142857142857143,20,20,1.0
ProtectiveStop,1d_cnn,1,22,0,0.0,2,2,1.0
ProtectiveStop,1d_cnn,2,21,2,0.09523809523809523,2,2,1.0
ProtectiveStop,1d_cnn,3,21,3,0.14285714285714285,3,2,0.6666666666666666
ProtectiveStop,1d_cnn,4,14,2,0.14285714285714285,3,3,1.0
ProtectiveStop,1d_cnn,5,20,9,0.45,5,5,1.0
ProtectiveStop,1d_cnn,7,16,0,0.0,8,7,0.875
ProtectiveStop,1d_cnn,8,9,4,0.4444444444444444,3,3,1.0
ProtectiveStop,1d_cnn,9,9,2,0.2222222222222222,17,15,0.8823529411764706
ProtectiveStop,1d_cnn,10,8,4,0.5,19,19,1.0
ProtectiveStop,lstm,1,22,0,0.0,2,1,0.5
ProtectiveStop,lstm,2,21,3,0.14285714285714285,2,2,1.0
ProtectiveStop,lstm,3,21,6,0.2857142857142857,3,1,0.3333333333333333
ProtectiveStop,lstm,4,14,4,0.2857142857142857,3,3,1.0
ProtectiveStop,lstm,5,20,6,0.3,5,5,1.0
ProtectiveStop,lstm,7,16,1,0.0625,8,6,0.75
ProtectiveStop,lstm,8,9,4,0.4444444444444444,3,3,1.0
ProtectiveStop,lstm,9,9,2,0.2222222222222222,17,16,0.9411764705882353
ProtectiveStop,lstm,10,8,4,0.5,19,19,1.0
GripLost,1d_cnn,1,19,2,0.10526315789473684,5,5,1.0
GripLost,1d_cnn,2,20,11,0.55,3,3,1.0
GripLost,1d_cnn,3,19,5,0.2631578947368421,5,5,1.0
GripLost,1d_cnn,4,10,0,0.0,7,7,1.0
GripLost,1d_cnn,5,24,5,0.20833333333333334,1,1,1.0
GripLost,1d_cnn,7,20,4,0.2,4,4,1.0
GripLost,1d_cnn,8,10,0,0.0,2,0,0.0
GripLost,1d_cnn,9,20,7,0.35,6,6,1.0
GripLost,1d_cnn,10,21,16,0.7619047619047619,6,6,1.0
GripLost,lstm,1,19,5,0.2631578947368421,5,5,1.0
GripLost,lstm,2,20,9,0.45,3,3,1.0
GripLost,lstm,3,19,2,0.10526315789473684,5,5,1.0
GripLost,lstm,4,10,2,0.2,7,7,1.0
GripLost,lstm,5,24,7,0.2916666666666667,1,1,1.0
GripLost,lstm,7,20,5,0.25,4,4,1.0
GripLost,lstm,8,10,8,0.8,2,2,1.0
GripLost,lstm,9,20,9,0.45,6,6,1.0
GripLost,lstm,10,21,11,0.5238095238095238,6,5,0.8333333333333334
