target,model,test_block,cycle,cycle_run,cycle_occurrence,true_event_cycle,seed_count,seeds_with_cycle_alert,seeds_detecting_event,consensus_required,consensus_false_alarm,consensus_event_detected,consensus_event_miss,window_count,consensus_positive_window_count,mean_window_score,max_window_score
System_Failure,rf_window_features,1,1,1,1,1,1,1,1,1,0,1,0,30,5,0.30144444444444446,0.63
System_Failure,rf_window_features,1,2,2,1,1,1,1,1,1,0,1,0,37,15,0.4271171171171171,0.7266666666666667
System_Failure,rf_window_features,1,3,3,1,0,1,1,0,1,1,0,0,17,1,0.11274509803921565,0.5066666666666667
System_Failure,rf_window_features,1,4,4,1,0,1,0,0,1,0,0,0,15,0,0.06977777777777774,0.1333333333333333
System_Failure,rf_window_features,1,5,5,1,1,1,1,1,1,0,1,0,18,8,0.45333333333333337,0.88
System_Failure,rf_window_features,1,6,6,1,1,1,1,1,1,0,1,0,22,11,0.46303030303030296,0.66
System_Failure,rf_window_features,1,8,8,1,0,1,0,0,1,0,0,0,15,0,0.049111111111111064,0.1066666666666666
System_Failure,rf_window_features,1,9,9,1,0,1,0,0,1,0,0,0,15,0,0.05755555555555553,0.16
System_Failure,rf_window_features,1,10,10,1,0,1,0,0,1,0,0,0,15,0,0.10288888888888885,0.2633333333333333
System_Failure,rf_window_features,1,11,11,1,0,1,0,0,1,0,0,0,16,0,0.1764583333333333,0.28
System_Failure,rf_window_features,1,12,12,1,0,1,0,0,1,0,0,0,15,0,0.05155555555555553,0.1466666666666666
System_Failure,rf_window_features,1,13,13,1,0,1,0,0,1,0,0,0,15,0,0.11044444444444441,0.36
System_Failure,rf_window_features,1,14,14,1,1,1,1,1,1,0,1,0,19,6,0.3650877192982456,0.66
System_Failure,rf_window_features,1,15,15,1,1,1,1,1,1,0,1,0,14,5,0.3969047619047618,0.6533333333333333
System_Failure,rf_window_features,1,16,16,1,0,1,0,0,1,0,0,0,16,0,0.11291666666666664,0.48
System_Failure,rf_window_features,1,17,17,1,0,1,0,0,1,0,0,0,15,0,0.10288888888888884,0.43
System_Failure,rf_window_features,1,18,18,1,0,1,0,0,1,0,0,0,16,0,0.11791666666666664,0.34
System_Failure,rf_window_features,1,19,19,1,0,1,0,0,1,0,0,0,15,0,0.16466666666666663,0.25
System_Failure,rf_window_features,1,20,20,1,0,1,0,0,1,0,0,0,15,0,0.04755555555555553,0.1433333333333333
System_Failure,rf_window_features,1,21,21,1,0,1,0,0,1,0,0,0,16,0,0.11416666666666662,0.31
System_Failure,rf_window_features,1,22,22,1,1,1,1,1,1,0,1,0,27,12,0.39814814814814814,0.78
System_Failure,rf_window_features,1,23,23,1,0,1,0,0,1,0,0,0,15,0,0.10888888888888885,0.38
System_Failure,rf_window_features,1,24,24,1,0,1,0,0,1,0,0,0,15,0,0.08555555555555554,0.19
System_Failure,rf_window_features,1,25,25,1,0,1,0,0,1,0,0,0,16,0,0.08437499999999996,0.18
System_Failure,rf_window_features,2,26,26,1,0,1,0,0,1,0,0,0,15,0,0.07422222222222219,0.1733333333333333
