target,test_block,cycle,cycle_run,cycle_occurrence,true_event_cycle,error_type,rf_error,cnn_error,lstm_error
GripLost,1,1,1,1,0,false_alarm,0,0,1
GripLost,1,3,3,1,0,false_alarm,0,0,0
GripLost,1,4,4,1,0,false_alarm,0,0,0
GripLost,1,8,8,1,0,false_alarm,0,0,0
GripLost,1,9,9,1,0,false_alarm,0,0,0
GripLost,1,10,10,1,0,false_alarm,0,0,0
GripLost,1,11,11,1,0,false_alarm,0,0,1
GripLost,1,12,12,1,0,false_alarm,0,0,0
GripLost,1,13,13,1,0,false_alarm,0,1,1
GripLost,1,16,16,1,0,false_alarm,0,0,0
GripLost,1,17,17,1,0,false_alarm,0,0,0
GripLost,1,18,18,1,0,false_alarm,0,0,0
GripLost,1,19,19,1,0,false_alarm,0,1,1
GripLost,1,20,20,1,0,false_alarm,0,0,0
GripLost,1,21,21,1,0,false_alarm,0,0,0
GripLost,1,22,22,1,0,false_alarm,0,0,0
GripLost,1,23,23,1,0,false_alarm,0,0,1
GripLost,1,24,24,1,0,false_alarm,0,0,0
GripLost,1,25,25,1,0,false_alarm,0,0,0
GripLost,2,26,26,1,0,false_alarm,0,1,1
GripLost,2,27,27,1,0,false_alarm,0,1,0
GripLost,2,28,28,1,0,false_alarm,0,1,1
GripLost,2,29,29,1,0,false_alarm,0,0,0
GripLost,2,30,30,1,0,false_alarm,0,0,0
GripLost,2,31,31,1,0,false_alarm,0,0,0
GripLost,2,32,32,1,0,false_alarm,0,1,0
GripLost,2,33,33,1,0,false_alarm,0,1,1
GripLost,2,34,34,1,0,false_alarm,0,1,1
GripLost,2,35,35,1,0,false_alarm,0,0,1
GripLost,2,37,37,1,0,false_alarm,0,0,1
GripLost,2,38,38,1,0,false_alarm,0,1,1
GripLost,2,41,41,1,0,false_alarm,0,0,0
GripLost,2,42,42,1,0,false_alarm,0,1,1
GripLost,2,43,43,1,0,false_alarm,0,0,0
GripLost,2,44,44,1,0,false_alarm,0,1,0
GripLost,2,45,45,1,0,false_alarm,0,0,0
GripLost,2,48,48,1,0,false_alarm,0,1,0
GripLost,2,49,49,1,0,false_alarm,0,1,1
GripLost,2,50,50,1,0,false_alarm,0,0,0
GripLost,3,51,51,1,0,false_alarm,0,0,0
GripLost,3,52,52,1,0,false_alarm,0,0,0
GripLost,3,53,53,1,0,false_alarm,0,1,1
GripLost,3,54,54,1,0,false_alarm,0,0,0
GripLost,3,55,55,1,0,false_alarm,0,0,0
GripLost,3,56,56,1,0,false_alarm,0,0,0
GripLost,3,57,57,1,0,false_alarm,1,1,0
GripLost,3,58,58,1,0,false_alarm,0,0,0
GripLost,3,59,59,1,0,false_alarm,0,0,0
GripLost,3,60,60,1,0,false_alarm,0,0,0
GripLost,3,61,61,1,0,false_alarm,0,0,0
GripLost,3,62,62,1,0,false_alarm,0,0,0
GripLost,3,66,66,1,0,false_alarm,0,1,0
GripLost,3,68,68,1,0,false_alarm,0,0,0
GripLost,3,70,70,1,0,false_alarm,0,0,0
GripLost,3,71,71,1,0,false_alarm,0,0,0
GripLost,3,72,72,1,0,false_alarm,0,1,0
GripLost,3,73,73,1,0,false_alarm,0,1,1
GripLost,3,75,74,1,0,false_alarm,0,0,0
GripLost,4,85,84,1,0,false_alarm,0,0,0
GripLost,4,87,86,1,0,false_alarm,0,0,0
GripLost,4,88,87,1,0,false_alarm,0,0,0
GripLost,4,89,88,1,0,false_alarm,0,0,1
GripLost,4,90,89,1,0,false_alarm,0,0,0
GripLost,4,93,92,1,0,false_alarm,0,0,0
GripLost,4,94,93,1,0,false_alarm,0,0,0
GripLost,4,98,97,1,0,false_alarm,0,0,0
GripLost,4,99,98,1,0,false_alarm,0,0,1
GripLost,4,100,99,1,0,false_alarm,1,0,0
GripLost,5,101,100,1,0,false_alarm,0,0,0
GripLost,5,102,101,1,0,false_alarm,0,0,0
GripLost,5,103,102,1,0,false_alarm,0,0,0
GripLost,5,104,103,1,0,false_alarm,0,0,0
GripLost,5,106,105,1,0,false_alarm,0,1,1
GripLost,5,107,106,1,0,false_alarm,0,0,1
GripLost,5,108,107,1,0,false_alarm,0,0,0
GripLost,5,109,108,1,0,false_alarm,0,1,1
GripLost,5,110,109,1,0,false_alarm,0,0,0
GripLost,5,111,110,1,0,false_alarm,0,0,0
GripLost,5,112,111,1,0,false_alarm,0,0,0
GripLost,5,113,112,1,0,false_alarm,0,1,1
GripLost,5,114,113,1,0,false_alarm,0,0,0
GripLost,5,115,114,1,0,false_alarm,0,0,1
GripLost,5,116,115,1,0,false_alarm,0,0,0
GripLost,5,117,116,1,0,false_alarm,0,0,0
GripLost,5,118,117,1,0,false_alarm,0,0,0
GripLost,5,119,118,1,0,false_alarm,0,0,0
