target,error_type,rf_error,cnn_error,lstm_error,cycle_count
GripLost,false_alarm,0,0,1,20
GripLost,false_alarm,0,0,0,89
GripLost,false_alarm,0,1,1,34
GripLost,false_alarm,0,1,0,13
GripLost,false_alarm,1,1,0,1
GripLost,false_alarm,1,0,0,2
GripLost,false_alarm,1,0,1,2
GripLost,false_alarm,1,1,1,2
ProtectiveStop,false_alarm,0,0,0,104
ProtectiveStop,false_alarm,0,0,1,7
ProtectiveStop,false_alarm,0,1,1,19
ProtectiveStop,false_alarm,1,0,1,1
ProtectiveStop,false_alarm,0,1,0,4
ProtectiveStop,false_alarm,1,0,0,2
ProtectiveStop,false_alarm,1,1,1,3
System_Failure,false_alarm,1,0,0,5
System_Failure,false_alarm,0,0,0,86
System_Failure,false_alarm,0,1,1,11
System_Failure,false_alarm,0,0,1,8
System_Failure,false_alarm,1,1,1,1
System_Failure,false_alarm,0,1,0,4
GripLost,event_miss,0,0,0,35
GripLost,event_miss,0,1,0,2
GripLost,event_miss,1,0,1,1
GripLost,event_miss,1,0,0,1
ProtectiveStop,event_miss,1,0,1,1
ProtectiveStop,event_miss,0,0,0,54
ProtectiveStop,event_miss,0,0,1,2
ProtectiveStop,event_miss,0,1,1,2
ProtectiveStop,event_miss,0,1,0,1
ProtectiveStop,event_miss,1,1,1,1
ProtectiveStop,event_miss,1,0,0,1
System_Failure,event_miss,0,0,0,83
System_Failure,event_miss,0,0,1,1
System_Failure,event_miss,0,1,0,3
