target,model_variant,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate
System_Failure,rf_19_raw_window,1,7,7,1.0,17,0,0.0
System_Failure,rf_19_raw_window,2,5,5,1.0,18,0,0.0
System_Failure,rf_19_raw_window,3,6,6,1.0,18,3,0.16666666666666666
System_Failure,rf_19_raw_window,4,9,9,1.0,8,1,0.125
System_Failure,rf_19_raw_window,5,6,6,1.0,19,1,0.05263157894736842
System_Failure,rf_19_raw_window,7,9,9,1.0,15,0,0.0
System_Failure,rf_19_raw_window,8,5,5,1.0,7,0,0.0
System_Failure,rf_19_raw_window,9,20,19,0.95,6,0,0.0
System_Failure,rf_19_raw_window,10,20,19,0.95,7,0,0.0
ProtectiveStop,rf_19_raw_window,1,2,1,0.5,22,0,0.0
ProtectiveStop,rf_19_raw_window,2,2,2,1.0,21,0,0.0
ProtectiveStop,rf_19_raw_window,3,3,3,1.0,21,3,0.14285714285714285
ProtectiveStop,rf_19_raw_window,4,3,3,1.0,14,1,0.07142857142857142
ProtectiveStop,rf_19_raw_window,5,5,5,1.0,20,0,0.0
ProtectiveStop,rf_19_raw_window,7,8,8,1.0,16,0,0.0
ProtectiveStop,rf_19_raw_window,8,3,3,1.0,9,0,0.0
ProtectiveStop,rf_19_raw_window,9,17,16,0.9411764705882353,9,0,0.0
ProtectiveStop,rf_19_raw_window,10,19,18,0.9473684210526315,8,0,0.0
GripLost,rf_19_raw_window,1,5,4,0.8,19,0,0.0
GripLost,rf_19_raw_window,2,3,3,1.0,20,0,0.0
GripLost,rf_19_raw_window,3,5,5,1.0,19,1,0.05263157894736842
GripLost,rf_19_raw_window,4,7,7,1.0,10,0,0.0
GripLost,rf_19_raw_window,5,1,1,1.0,24,0,0.0
GripLost,rf_19_raw_window,7,4,4,1.0,20,0,0.0
GripLost,rf_19_raw_window,8,2,2,1.0,10,1,0.1
GripLost,rf_19_raw_window,9,6,6,1.0,20,3,0.15
GripLost,rf_19_raw_window,10,6,4,0.6666666666666666,21,1,0.047619047619047616
System_Failure,1d_cnn_19_raw,1,7,6,0.8571428571428571,17,2,0.11764705882352941
System_Failure,1d_cnn_19_raw,2,5,5,1.0,18,2,0.1111111111111111
System_Failure,1d_cnn_19_raw,3,6,6,1.0,18,2,0.1111111111111111
System_Failure,1d_cnn_19_raw,4,9,9,1.0,8,3,0.375
System_Failure,1d_cnn_19_raw,5,6,6,1.0,19,1,0.05263157894736842
System_Failure,1d_cnn_19_raw,7,9,9,1.0,15,2,0.13333333333333333
System_Failure,1d_cnn_19_raw,8,5,4,0.8,7,0,0.0
System_Failure,1d_cnn_19_raw,9,20,20,1.0,6,5,0.8333333333333334
System_Failure,1d_cnn_19_raw,10,20,20,1.0,7,5,0.7142857142857143
