target,model_variant,test_block,cycle,cycle_run,cycle_occurrence,true_event_cycle,seed_count,seeds_with_cycle_alert,seeds_detecting_event,consensus_required,consensus_cycle_alert,consensus_event_detected
System_Failure,rf_19_raw_window,1,1,1,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,1,2,2,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,1,3,3,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,4,4,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,5,5,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,1,6,6,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,1,8,8,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,9,9,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,10,10,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,11,11,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,12,12,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,13,13,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,14,14,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,1,15,15,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,1,16,16,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,17,17,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,18,18,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,19,19,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,20,20,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,21,21,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,22,22,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,1,23,23,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,24,24,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,1,25,25,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,26,26,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,27,27,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,28,28,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,29,29,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,30,30,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,31,31,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,32,32,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,33,33,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,34,34,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,35,35,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,2,36,36,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,2,37,37,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,38,38,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,39,39,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,2,40,40,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,2,41,41,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,42,42,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,2,43,43,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,44,44,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,45,45,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,48,48,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,49,49,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,2,50,50,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,51,51,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,52,52,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,53,53,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,3,54,54,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,55,55,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,56,56,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,57,57,1,0,1,1,0,1,1,0
System_Failure,rf_19_raw_window,3,58,58,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,59,59,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,60,60,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,61,61,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,62,62,1,0,1,1,0,1,1,0
System_Failure,rf_19_raw_window,3,63,63,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,3,64,64,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,3,65,65,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,3,66,66,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,67,67,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,3,68,68,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,69,69,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,3,70,70,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,71,71,1,0,1,1,0,1,1,0
System_Failure,rf_19_raw_window,3,72,72,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,73,73,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,3,75,74,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,4,76,75,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,85,84,1,0,1,1,0,1,1,0
System_Failure,rf_19_raw_window,4,86,85,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,87,86,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,88,87,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,4,89,88,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,4,90,89,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,4,91,90,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,92,91,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,93,92,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,4,94,93,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,4,95,94,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,96,95,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,97,96,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,98,97,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,4,99,98,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,4,100,99,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,5,101,100,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,5,102,101,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,5,103,102,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,5,104,103,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,5,105,104,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,5,106,105,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,5,107,106,1,0,1,0,0,1,0,0
System_Failure,rf_19_raw_window,5,108,107,1,1,1,1,1,1,1,1
System_Failure,rf_19_raw_window,5,109,108,1,0,1,0,0,1,0,0
