target,model_variant,seed_count,event_cycle_count,detected_event_cycle_count,event_cycle_recall,event_cycle_recall_ci95_low,event_cycle_recall_ci95_high,event_cycle_recall_min_block,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,normal_cycle_false_alarm_rate_ci95_low,normal_cycle_false_alarm_rate_ci95_high,normal_cycle_false_alarm_rate_max_block
System_Failure,rf_19_raw_window,1,87,85,0.9770114942528736,0.9200068198603859,0.9936729148940739,0.95,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0.16666666666666666
ProtectiveStop,rf_19_raw_window,1,62,59,0.9516129032258065,0.8671196207267605,0.9834083141494193,0.5,140,4,0.02857142857142857,0.011165776841333588,0.07115721207839866,0.14285714285714285
GripLost,rf_19_raw_window,1,39,36,0.9230769230769231,0.7967892883204503,0.9734926046962203,0.6666666666666666,163,6,0.03680981595092025,0.016977515813507586,0.07797165888604399,0.15
System_Failure,1d_cnn_19_raw,3,87,85,0.9770114942528736,0.9200068198603859,0.9936729148940739,0.8,115,22,0.19130434782608696,0.12986594771740817,0.27269944735129814,0.8333333333333334
ProtectiveStop,1d_cnn_19_raw,3,62,58,0.9354838709677419,0.8455248427224711,0.9746270944795592,0.5,140,27,0.19285714285714287,0.13606393623984922,0.2660555868442188,0.55
GripLost,1d_cnn_19_raw,3,39,36,0.9230769230769231,0.7967892883204503,0.9734926046962203,0.5,163,40,0.24539877300613497,0.18570158324610508,0.31682014854239016,0.7142857142857143
System_Failure,lstm_autoencoder_19_raw_q90,3,87,7,0.08045977011494253,0.03952027108986881,0.15688188990922067,0.0,115,24,0.20869565217391303,0.1444453928121506,0.29177828985831866,0.4666666666666667
System_Failure,lstm_autoencoder_19_raw_q95,3,87,4,0.04597701149425287,0.018022688467086906,0.11233033507987294,0.0,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,0.4
System_Failure,lstm_autoencoder_19_raw_q97.5,3,87,4,0.04597701149425287,0.018022688467086906,0.11233033507987294,0.0,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,0.4
ProtectiveStop,lstm_autoencoder_19_raw_q90,3,62,7,0.11290322580645161,0.05577863529399969,0.21519742052641772,0.0,140,24,0.17142857142857143,0.11799117385645053,0.242415757814878,0.4375
ProtectiveStop,lstm_autoencoder_19_raw_q95,3,62,4,0.06451612903225806,0.025372905520440803,0.15447515727752878,0.0,140,15,0.10714285714285714,0.0660121170081319,0.1692570404249783,0.375
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,3,62,4,0.06451612903225806,0.025372905520440803,0.15447515727752878,0.0,140,15,0.10714285714285714,0.0660121170081319,0.1692570404249783,0.375
GripLost,lstm_autoencoder_19_raw_q90,3,39,0,0.0,-6.938893903907228e-18,0.08966685370757144,0.0,163,32,0.19631901840490798,0.14263444430709368,0.26398786228400306,0.5
GripLost,lstm_autoencoder_19_raw_q95,3,39,0,0.0,-6.938893903907228e-18,0.08966685370757144,0.0,163,20,0.12269938650306748,0.08085012466302419,0.18192304413197477,0.4
GripLost,lstm_autoencoder_19_raw_q97.5,3,39,0,0.0,-6.938893903907228e-18,0.08966685370757144,0.0,163,20,0.12269938650306748,0.08085012466302419,0.18192304413197477,0.4
