target,model_variant,seeds,test_blocks_per_seed,event_cycle_recall_mean,event_cycle_recall_std,event_cycle_recall_min_block_mean,event_cycle_recall_min_block_std,normal_cycle_false_alarm_rate_mean,normal_cycle_false_alarm_rate_std,normal_cycle_false_alarm_rate_max_block_mean,normal_cycle_false_alarm_rate_max_block_std,window_macro_f1_mean,window_macro_f1_std,window_positive_precision_mean,window_positive_precision_std,window_positive_recall_mean,window_positive_recall_std,window_positive_f1_mean,window_positive_f1_std,window_pr_auc_mean,window_pr_auc_std
System_Failure,rf_19_raw_window,1,9,0.9770114942528736,0.0,0.95,0.0,0.043478260869565216,0.0,0.16666666666666666,0.0,0.8278080208859402,0.0,0.7803468208092486,0.0,0.6930184804928131,0.0,0.734094616639478,0.0,0.8137324214976762,0.0
ProtectiveStop,rf_19_raw_window,1,9,0.9516129032258065,0.0,0.5,0.0,0.02857142857142857,0.0,0.14285714285714285,0.0,0.8755126160505782,0.0,0.8145315487571702,0.0,0.7566607460035524,0.0,0.7845303867403315,0.0,0.8556536325151582,0.0
GripLost,rf_19_raw_window,1,9,0.9230769230769231,0.0,0.6666666666666666,0.0,0.03680981595092025,0.0,0.15,0.0,0.7922832145730376,0.0,0.8677685950413223,0.0,0.481651376146789,0.0,0.6194690265486725,0.0,0.7266515659536292,0.0
System_Failure,1d_cnn_19_raw,3,9,0.9463601532567051,0.03553110534672684,0.6285714285714286,0.17612611437054218,0.19130434782608696,0.024595018476053814,0.7063492063492064,0.10706934573993686,0.7722994123080977,0.014542783644698253,0.6356980676149168,0.004489265866857915,0.6858316221765914,0.05875226210506485,0.65854910159343,0.026955957117876427,0.6879115508107566,0.02697997592503143
ProtectiveStop,1d_cnn_19_raw,3,9,0.935483870967742,0.013169299692382713,0.5555555555555555,0.0785674201318386,0.19999999999999998,0.038243758105259554,0.5666666666666667,0.062360956446232366,0.800124230132751,0.018168258189376563,0.5721616899804218,0.0410359241627274,0.8040260509177027,0.003649741860846024,0.6677585565154479,0.027739028417297126,0.7659464013366039,0.011161922657550996
GripLost,1d_cnn_19_raw,3,9,0.9145299145299145,0.012087295404898257,0.3333333333333333,0.2494438257849294,0.2719836400817996,0.030606604390788897,0.7111111111111111,0.09998740157475318,0.7127249180576559,0.011514633927279387,0.4180763484154173,0.01706005960224923,0.6330275229357798,0.026217780121532513,0.5035082860243616,0.019811599211414045,0.5887646427493451,0.026156389575801315
System_Failure,lstm_autoencoder_19_raw_q90,3,9,0.0842911877394636,0.005418442767713008,0.0,0.0,0.21449275362318843,0.021690767459559085,0.48888888888888893,0.03142696805273544,0.44772183409564886,0.0013830870167003155,0.2137766554433221,0.0165501050097167,0.024640657084188913,0.0008382921775438662,0.04417956522812042,0.0017011109422952594,0.2227721792846986,0.001451702130633122
System_Failure,lstm_autoencoder_19_raw_q95,3,9,0.04597701149425287,0.0,0.0,0.0,0.12753623188405797,0.004099169746008967,0.4000000000000001,5.551115123125783e-17,0.4438945754224135,0.0005213436376994228,0.24184924360980697,0.005921197748954877,0.01676933607118412,0.0009679764287290175,0.031351401644674794,0.001653166840590369,0.2227721792846986,0.001451702130633122
System_Failure,lstm_autoencoder_19_raw_q97.5,3,9,0.04597701149425287,0.0,0.0,0.0,0.12753623188405797,0.004099169746008967,0.4000000000000001,5.551115123125783e-17,0.44392690259784073,0.0005426968350974462,0.24295774647887325,0.00497962521962358,0.01676933607118412,0.0009679764287290175,0.03136176999558858,0.001660449599854392,0.2227721792846986,0.001451702130633122
ProtectiveStop,lstm_autoencoder_19_raw_q90,3,9,0.11827956989247312,0.007603298722435994,0.0,0.0,0.1761904761904762,0.017817416127494965,0.4583333333333333,0.02946278254943948,0.49308857778058207,0.0019463345816139875,0.2137766554433221,0.0165501050097167,0.04262877442273535,0.0014502603568876122,0.07106267064320788,0.002931154492565257,0.1628993280776595,4.567280991045823e-05
ProtectiveStop,lstm_autoencoder_19_raw_q95,3,9,0.06451612903225806,0.0,0.0,0.0,0.10476190476190476,0.0033671751485073636,0.375,0.0,0.48569555725088626,0.0010145113295447026,0.24184924360980697,0.005921197748954877,0.029011249259917115,0.0016746164148882128,0.051775053478964474,0.002560637764979387,0.1628993280776595,4.567280991045823e-05
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,3,9,0.06451612903225806,0.0,0.0,0.0,0.10476190476190476,0.0033671751485073636,0.375,0.0,0.4857338580316437,0.0010405090159123713,0.24295774647887325,0.00497962521962358,0.029011249259917115,0.0016746164148882128,0.05180320453421506,0.0025803114419143403,0.1628993280776595,4.567280991045823e-05
GripLost,lstm_autoencoder_19_raw_q90,3,9,0.0,0.0,0.0,0.0,0.20245398773006137,0.01502754443425263,0.5166666666666667,0.023570226039551608,0.46352570914001445,0.0003745846432261481,0.0,0.0,0.0,0.0,0.0,0.0,0.08344205825030299,0.0008407705846716292
GripLost,lstm_autoencoder_19_raw_q95,3,9,0.0,0.0,0.0,0.0,0.12065439672801637,0.0028920522747916083,0.4000000000000001,5.551115123125783e-17,0.46671632026814924,0.00038298113722295886,0.0,0.0,0.0,0.0,0.0,0.0,0.08344205825030299,0.0008407705846716292
GripLost,lstm_autoencoder_19_raw_q97.5,3,9,0.0,0.0,0.0,0.0,0.12065439672801637,0.0028920522747916083,0.4000000000000001,5.551115123125783e-17,0.4667398377875472,0.00036526710802762543,0.0,0.0,0.0,0.0,0.0,0.0,0.08344205825030299,0.0008407705846716292
