target,model,seed,test_block,train_blocks,train_windows,test_windows,train_positive_count,feature_count,summary_feature_count,decision_threshold,elapsed_seconds
System_Failure,rf_19_raw_window,42,1,8,3606,429,857,19,133,0.5,1.6810473000005004
System_Failure,rf_19_raw_window,42,2,8,3614,421,897,19,133,0.5,1.475380399999267
System_Failure,rf_19_raw_window,42,3,8,3609,426,887,19,133,0.5,1.5119952999993984
System_Failure,rf_19_raw_window,42,4,8,3696,339,888,19,133,0.5,1.506168300002173
System_Failure,rf_19_raw_window,42,5,8,3565,470,893,19,133,0.5,1.4853667999996105
System_Failure,rf_19_raw_window,42,7,8,3560,475,874,19,133,0.5,1.5774146000003384
System_Failure,rf_19_raw_window,42,8,8,3846,189,938,19,133,0.5,1.6714099000018905
System_Failure,rf_19_raw_window,42,9,8,3474,561,790,19,133,0.5,1.7364986000029603
System_Failure,rf_19_raw_window,42,10,8,3310,725,768,19,133,0.5,1.620158800000354
ProtectiveStop,rf_19_raw_window,42,1,8,3606,429,536,19,133,0.5,1.793144699997356
ProtectiveStop,rf_19_raw_window,42,2,8,3614,421,528,19,133,0.5,1.7044028999989678
ProtectiveStop,rf_19_raw_window,42,3,8,3609,426,526,19,133,0.5,1.6861752999975579
ProtectiveStop,rf_19_raw_window,42,4,8,3696,339,520,19,133,0.5,1.7876740000028803
ProtectiveStop,rf_19_raw_window,42,5,8,3565,470,494,19,133,0.5,1.5734451999996963
ProtectiveStop,rf_19_raw_window,42,7,8,3560,475,494,19,133,0.5,1.6571437999991758
ProtectiveStop,rf_19_raw_window,42,8,8,3846,189,546,19,133,0.5,1.8066339999968477
ProtectiveStop,rf_19_raw_window,42,9,8,3474,561,441,19,133,0.5,1.9068667999999889
ProtectiveStop,rf_19_raw_window,42,10,8,3310,725,419,19,133,0.5,1.743833700002142
GripLost,rf_19_raw_window,42,1,8,3606,429,346,19,133,0.5,2.162418500000058
GripLost,rf_19_raw_window,42,2,8,3614,421,394,19,133,0.5,2.0799745000003895
GripLost,rf_19_raw_window,42,3,8,3609,426,386,19,133,0.5,2.2193450999984634
GripLost,rf_19_raw_window,42,4,8,3696,339,393,19,133,0.5,2.2654608999982884
GripLost,rf_19_raw_window,42,5,8,3565,470,424,19,133,0.5,2.115253899999516
GripLost,rf_19_raw_window,42,7,8,3560,475,405,19,133,0.5,2.269515900003171
GripLost,rf_19_raw_window,42,8,8,3846,189,417,19,133,0.5,2.349736300002405
GripLost,rf_19_raw_window,42,9,8,3474,561,356,19,133,0.5,1.9505277999996906
GripLost,rf_19_raw_window,42,10,8,3310,725,367,19,133,0.5,1.9329309999993711
