target,model_variant,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
System_Failure,rf_19_raw_window,42,1,7,7,1.0,17,0,0.0,0.7308094540891027,0.8620689655172413,0.42735042735042733,0.5714285714285714,0.8049577420608847
System_Failure,rf_19_raw_window,42,2,5,5,1.0,18,0,0.0,0.802566950512156,0.5925925925925926,0.8311688311688312,0.6918918918918919,0.6314105096817529
System_Failure,rf_19_raw_window,42,3,6,6,1.0,18,3,0.16666666666666666,0.8411148408096836,0.7471264367816092,0.7471264367816092,0.7471264367816092,0.8339475901475479
System_Failure,rf_19_raw_window,42,4,9,9,1.0,8,1,0.125,0.822541530901127,0.6728971962616822,0.8372093023255814,0.7461139896373057,0.8040295671541786
System_Failure,rf_19_raw_window,42,5,6,6,1.0,19,1,0.05263157894736842,0.881820467689213,0.7951807228915663,0.8148148148148148,0.8048780487804879,0.8491713394530646
System_Failure,rf_19_raw_window,42,7,9,9,1.0,15,0,0.0,0.8824736566338709,0.9230769230769231,0.72,0.8089887640449438,0.9128617576099373
System_Failure,rf_19_raw_window,42,8,5,5,1.0,7,0,0.0,0.9405793846844823,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.9787888065192429
System_Failure,rf_19_raw_window,42,9,20,19,0.95,6,0,0.0,0.8135327635327635,0.890625,0.6195652173913043,0.7307692307692307,0.8456171395963061
System_Failure,rf_19_raw_window,42,10,20,19,0.95,7,0,0.0,0.8108042192549234,0.776536312849162,0.6747572815533981,0.7220779220779221,0.8320311169627296
ProtectiveStop,rf_19_raw_window,42,1,2,1,0.5,22,0,0.0,0.6642246642246642,0.5833333333333334,0.25925925925925924,0.358974358974359,0.3955703495072741
ProtectiveStop,rf_19_raw_window,42,2,2,2,1.0,21,0,0.0,0.9492689588688946,1.0,0.8285714285714286,0.90625,0.9814577652923517
ProtectiveStop,rf_19_raw_window,42,3,3,3,1.0,21,3,0.14285714285714285,0.7399620184481823,0.5128205128205128,0.5405405405405406,0.5263157894736842,0.6304876222872475
ProtectiveStop,rf_19_raw_window,42,4,3,3,1.0,14,1,0.07142857142857142,0.8069217367997856,0.5737704918032787,0.813953488372093,0.6730769230769231,0.6799221594396688
ProtectiveStop,rf_19_raw_window,42,5,5,5,1.0,20,0,0.0,0.920675105485232,0.8024691358024691,0.9420289855072463,0.8666666666666667,0.9022606002015343
ProtectiveStop,rf_19_raw_window,42,7,8,8,1.0,16,0,0.0,0.9058153697986007,0.9,0.782608695652174,0.8372093023255814,0.9211857688985376
ProtectiveStop,rf_19_raw_window,42,8,3,3,1.0,9,0,0.0,0.9842565597667638,0.9444444444444444,1.0,0.9714285714285714,0.9967320261437909
ProtectiveStop,rf_19_raw_window,42,9,17,16,0.9411764705882353,9,0,0.0,0.8705417809799749,0.9139784946236559,0.6967213114754098,0.7906976744186046,0.8801676643947655
ProtectiveStop,rf_19_raw_window,42,10,19,18,0.9473684210526315,8,0,0.0,0.8965005710313323,0.8769230769230769,0.7916666666666666,0.8321167883211679,0.9154916953248398
GripLost,rf_19_raw_window,42,1,5,4,0.8,19,0,0.0,0.5842175066312997,1.0,0.15555555555555556,0.2692307692307692,0.8707104949903214
GripLost,rf_19_raw_window,42,2,3,3,1.0,20,0,0.0,0.8459508907077515,0.96,0.5714285714285714,0.7164179104477612,0.858644095611161
GripLost,rf_19_raw_window,42,3,5,5,1.0,19,1,0.05263157894736842,0.8537757437070939,0.8095238095238095,0.68,0.7391304347826086,0.8171724602086496
GripLost,rf_19_raw_window,42,4,7,7,1.0,10,0,0.0,0.8888443602448266,0.7450980392156863,0.8837209302325582,0.8085106382978723,0.9014187059459269
GripLost,rf_19_raw_window,42,5,1,1,1.0,24,0,0.0,0.8300795372378886,1.0,0.5,0.6666666666666666,0.8737753064389352
GripLost,rf_19_raw_window,42,7,4,4,1.0,20,0,0.0,0.8625578703703703,0.8695652173913043,0.6451612903225806,0.7407407407407407,0.7851252582070397
