target,model_variant,seed,test_blocks,event_cycle_count,event_cycle_recall,event_cycle_recall_min_block,normal_cycle_count,normal_cycle_false_alarm_rate,normal_cycle_false_alarm_rate_max_block,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
System_Failure,rf_19_raw_window,42,9,87,0.9770114942528736,0.95,115,0.043478260869565216,0.16666666666666666,0.8278080208859402,0.7803468208092486,0.6930184804928131,0.734094616639478,0.8137324214976762
ProtectiveStop,rf_19_raw_window,42,9,62,0.9516129032258065,0.5,140,0.02857142857142857,0.14285714285714285,0.8755126160505782,0.8145315487571702,0.7566607460035524,0.7845303867403315,0.8556536325151582
GripLost,rf_19_raw_window,42,9,39,0.9230769230769231,0.6666666666666666,163,0.03680981595092025,0.15,0.7922832145730376,0.8677685950413223,0.481651376146789,0.6194690265486725,0.7266515659536292
System_Failure,1d_cnn_19_raw,42,9,87,0.9655172413793104,0.6,115,0.1565217391304348,0.5714285714285714,0.7765489963254892,0.6418338108882522,0.6899383983572895,0.6650173181593271,0.686513767609946
System_Failure,1d_cnn_19_raw,43,9,87,0.896551724137931,0.42857142857142855,115,0.20869565217391303,0.8333333333333334,0.7527477843569798,0.6340425531914894,0.6119096509240246,0.6227795193312434,0.6555890356730236
System_Failure,1d_cnn_19_raw,44,9,87,0.9770114942528736,0.8571428571428571,115,0.20869565217391303,0.7142857142857143,0.7876014562418244,0.6312178387650086,0.75564681724846,0.6878504672897197,0.7216318491493001
ProtectiveStop,1d_cnn_19_raw,42,9,62,0.9354838709677419,0.5,140,0.15,0.5,0.8256582001641881,0.6300417246175244,0.8046181172291297,0.7067082683307332,0.7809842451925897
ProtectiveStop,1d_cnn_19_raw,43,9,62,0.9516129032258065,0.6666666666666666,140,0.24285714285714285,0.65,0.7898352865369901,0.546875,0.8081705150976909,0.6523297491039427,0.7542705315809413
ProtectiveStop,1d_cnn_19_raw,44,9,62,0.9193548387096774,0.5,140,0.20714285714285716,0.55,0.7848792036970748,0.539568345323741,0.7992895204262878,0.6442376521116678,0.7625844272362807
GripLost,1d_cnn_19_raw,42,9,39,0.8974358974358975,0.4,163,0.2392638036809816,0.7619047619047619,0.6965678678992173,0.39398496240601505,0.6009174311926605,0.47593097184377836,0.5556865840831716
GripLost,1d_cnn_19_raw,43,9,39,0.9230769230769231,0.6,163,0.3128834355828221,0.8,0.7190448956248212,0.43125,0.6330275229357798,0.5130111524163569,0.5909643345935686
GripLost,1d_cnn_19_raw,44,9,39,0.9230769230769231,0.0,163,0.26380368098159507,0.5714285714285714,0.7225619906489296,0.4289940828402367,0.6651376146788991,0.5215827338129496,0.6196430095712951
System_Failure,lstm_autoencoder_19_raw_q90,42,9,87,0.09195402298850575,0.0,115,0.20869565217391303,0.4666666666666667,0.44926449038065785,0.23148148148148148,0.02566735112936345,0.04621072088724584,0.22457314639756515
System_Failure,lstm_autoencoder_19_raw_q95,42,9,87,0.04597701149425287,0.0,115,0.13043478260869565,0.4,0.44421366568378506,0.2361111111111111,0.017453798767967144,0.032504780114722756,0.22457314639756515
System_Failure,lstm_autoencoder_19_raw_q97.5,42,9,87,0.04597701149425287,0.0,115,0.13043478260869565,0.4,0.4443106472100666,0.23943661971830985,0.017453798767967144,0.03253588516746411,0.22457314639756515
ProtectiveStop,lstm_autoencoder_19_raw_q90,42,9,62,0.12903225806451613,0.0,140,0.17142857142857143,0.4375,0.4952926937200399,0.23148148148148148,0.04440497335701599,0.07451564828614009,0.16295933457794282
ProtectiveStop,lstm_autoencoder_19_raw_q95,42,9,62,0.06451612903225806,0.0,140,0.10714285714285714,0.375,0.48635470667040864,0.2361111111111111,0.03019538188277087,0.05354330708661417,0.16295933457794282
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,42,9,62,0.06451612903225806,0.0,140,0.10714285714285714,0.375,0.4864696090126811,0.23943661971830985,0.03019538188277087,0.05362776025236593,0.16295933457794282
GripLost,lstm_autoencoder_19_raw_q90,42,9,39,0.0,0.0,163,0.20245398773006135,0.5,0.4638586234387457,0.0,0.0,0.0,0.084469217053571
GripLost,lstm_autoencoder_19_raw_q95,42,9,39,0.0,0.0,163,0.12269938650306748,0.4,0.4664110023803227,0.0,0.0,0.0,0.084469217053571
