training_scope,model,seed,test_block,validation_block,calibration_blocks,core_train_blocks,final_train_blocks,core_train_windows,validation_windows,final_train_windows,calibration_windows,calibration_normal_cycles,test_windows,train_positive_count,best_epoch,best_validation_loss,threshold_q90,threshold_q95,threshold_q975,model_parameters,device,torch_version,cuda_version,elapsed_seconds
System_Failure,1d_cnn_19_raw,42,1,2,,7,8,3185,421,3606,0,0,429,857,14,0.6790151907542539,,,,8129,cuda,2.7.1+cu128,12.8,5.035700199998246
System_Failure,1d_cnn_19_raw,43,1,2,,7,8,3185,421,3606,0,0,429,857,14,0.6735400356476211,,,,8129,cuda,2.7.1+cu128,12.8,2.868334999999206
System_Failure,1d_cnn_19_raw,44,1,2,,7,8,3185,421,3606,0,0,429,857,12,0.677474490537213,,,,8129,cuda,2.7.1+cu128,12.8,2.4812122999974235
System_Failure,1d_cnn_19_raw,42,2,3,,7,8,3188,426,3614,0,0,421,897,20,0.6586185643370722,,,,8129,cuda,2.7.1+cu128,12.8,3.6667849000004935
System_Failure,1d_cnn_19_raw,43,2,3,,7,8,3188,426,3614,0,0,421,897,20,0.7018246107817816,,,,8129,cuda,2.7.1+cu128,12.8,3.638689199997316
System_Failure,1d_cnn_19_raw,44,2,3,,7,8,3188,426,3614,0,0,421,897,20,0.583502127810823,,,,8129,cuda,2.7.1+cu128,12.8,4.144025300000067
System_Failure,1d_cnn_19_raw,42,3,4,,7,8,3270,339,3609,0,0,426,887,21,0.6655059275725598,,,,8129,cuda,2.7.1+cu128,12.8,3.999257300001773
System_Failure,1d_cnn_19_raw,43,3,4,,7,8,3270,339,3609,0,0,426,887,4,0.9890862963544232,,,,8129,cuda,2.7.1+cu128,12.8,1.2223315999981423
System_Failure,1d_cnn_19_raw,44,3,4,,7,8,3270,339,3609,0,0,426,887,22,0.6163019956389008,,,,8129,cuda,2.7.1+cu128,12.8,4.242629500000476
System_Failure,1d_cnn_19_raw,42,4,5,,7,8,3226,470,3696,0,0,339,888,23,0.37359881927358346,,,,8129,cuda,2.7.1+cu128,12.8,5.38736549999885
System_Failure,1d_cnn_19_raw,43,4,5,,7,8,3226,470,3696,0,0,339,888,30,0.352074903376559,,,,8129,cuda,2.7.1+cu128,12.8,5.472182599998632
