target,model_variant,seed,windows,negative_windows,positive_windows,tn,fp,fn,tp,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc
System_Failure,rf_19_raw_window,42,4035,3061,974,2871,190,299,675,0.8788104089219331,0.8278080208859402,0.7803468208092486,0.6930184804928131,0.734094616639478,0.9144509954001692,0.8137324214976762
System_Failure,1d_cnn_19_raw,42,4035,3061,974,2686,375,302,672,0.8322180916976456,0.7765489963254892,0.6418338108882522,0.6899383983572895,0.6650173181593271,0.8732671812770719,0.686513767609946
System_Failure,1d_cnn_19_raw,43,4035,3061,974,2717,344,378,596,0.8210656753407682,0.7527477843569798,0.6340425531914894,0.6119096509240246,0.6227795193312434,0.8347609557075938,0.6555890356730236
System_Failure,1d_cnn_19_raw,44,4035,3061,974,2631,430,238,736,0.834448574969021,0.7876014562418244,0.6312178387650086,0.75564681724846,0.6878504672897197,0.8821545749768398,0.7216318491493001
System_Failure,lstm_autoencoder_19_raw_q95,42,4035,3061,974,3006,55,957,17,0.7491945477075589,0.44421366568378506,0.2361111111111111,0.017453798767967144,0.032504780114722756,0.4352922807768394,0.22457314639756515
System_Failure,lstm_autoencoder_19_raw_q95,43,4035,3061,974,3016,45,959,15,0.751177199504337,0.44315941337338893,0.25,0.015400410677618069,0.029013539651837523,0.4253983177109922,0.22101814625230803
System_Failure,lstm_autoencoder_19_raw_q95,44,4035,3061,974,3007,54,957,17,0.7494423791821562,0.4443106472100666,0.23943661971830985,0.017453798767967144,0.03253588516746411,0.43111859003814973,0.22272524520422265
ProtectiveStop,rf_19_raw_window,42,4035,3472,563,3375,97,137,426,0.9420074349442379,0.8755126160505782,0.8145315487571702,0.7566607460035524,0.7845303867403315,0.9593776346268753,0.8556536325151582
ProtectiveStop,1d_cnn_19_raw,42,4035,3472,563,3206,266,110,453,0.9068153655514251,0.8256582001641881,0.6300417246175244,0.8046181172291297,0.7067082683307332,0.9204337567835247,0.7809842451925897
ProtectiveStop,1d_cnn_19_raw,43,4035,3472,563,3095,377,108,455,0.8798017348203222,0.7898352865369901,0.546875,0.8081705150976909,0.6523297491039427,0.9131995318037831,0.7542705315809413
ProtectiveStop,1d_cnn_19_raw,44,4035,3472,563,3088,384,113,450,0.8768277571251549,0.7848792036970748,0.539568345323741,0.7992895204262878,0.6442376521116678,0.9060599487603442,0.7625844272362807
ProtectiveStop,lstm_autoencoder_19_raw_q95,42,4035,3472,563,3417,55,546,17,0.8510532837670384,0.48635470667040864,0.2361111111111111,0.03019538188277087,0.05354330708661417,0.46229260626498925,0.16295933457794282
ProtectiveStop,lstm_autoencoder_19_raw_q95,43,4035,3472,563,3427,45,548,15,0.8530359355638166,0.48426235606956897,0.25,0.02664298401420959,0.048154093097913325,0.45774339859704843,0.16289002321611415
ProtectiveStop,lstm_autoencoder_19_raw_q95,44,4035,3472,563,3418,54,546,17,0.8513011152416357,0.4864696090126811,0.23943661971830985,0.03019538188277087,0.05362776025236593,0.46086683828404457,0.16284862643892148
GripLost,rf_19_raw_window,42,4035,3599,436,3567,32,226,210,0.9360594795539033,0.7922832145730376,0.8677685950413223,0.481651376146789,0.6194690265486725,0.9068679245763988,0.7266515659536292
GripLost,1d_cnn_19_raw,42,4035,3599,436,3196,403,174,262,0.857001239157373,0.6965678678992173,0.39398496240601505,0.6009174311926605,0.47593097184377836,0.853653282894586,0.5556865840831716
GripLost,1d_cnn_19_raw,43,4035,3599,436,3235,364,160,276,0.8701363073110285,0.7190448956248212,0.43125,0.6330275229357798,0.5130111524163569,0.8785608132738197,0.5909643345935686
GripLost,1d_cnn_19_raw,44,4035,3599,436,3213,386,146,290,0.8681536555142503,0.7225619906489296,0.4289940828402367,0.6651376146788991,0.5215827338129496,0.8871258835915176,0.6196430095712951
GripLost,lstm_autoencoder_19_raw_q95,42,4035,3599,436,3527,72,436,0,0.8741016109045849,0.4664110023803227,0.0,0.0,0.0,0.4152966165423117,0.084469217053571
GripLost,lstm_autoencoder_19_raw_q95,43,4035,3599,436,3539,60,436,0,0.8770755885997522,0.46725640348560865,0.0,0.0,0.0,0.4021555426966206,0.08240977724010642
GripLost,lstm_autoencoder_19_raw_q95,44,4035,3599,436,3528,71,436,0,0.8743494423791821,0.46648155493851645,0.0,0.0,0.0,0.4091012794073787,0.08344718045723155
