target,variant,test_block,event_cycles,detected_event_cycles,event_cycle_recall,normal_cycles,false_alarm_cycles,normal_cycle_false_alarm_rate
System_Failure,all_19,1,7,7,1.0,17,0,0.0
System_Failure,all_19,2,5,5,1.0,18,0,0.0
System_Failure,all_19,3,6,6,1.0,18,3,0.16666666666666666
System_Failure,all_19,4,9,9,1.0,8,1,0.125
System_Failure,all_19,5,6,6,1.0,19,1,0.05263157894736842
System_Failure,all_19,7,9,9,1.0,15,0,0.0
System_Failure,all_19,8,5,5,1.0,7,0,0.0
System_Failure,all_19,9,20,19,0.95,6,0,0.0
System_Failure,all_19,10,20,19,0.95,7,0,0.0
System_Failure,current_family_only,1,7,6,0.8571428571428571,17,0,0.0
System_Failure,current_family_only,2,5,5,1.0,18,1,0.05555555555555555
System_Failure,current_family_only,3,6,6,1.0,18,4,0.2222222222222222
System_Failure,current_family_only,4,9,9,1.0,8,1,0.125
System_Failure,current_family_only,5,6,6,1.0,19,2,0.10526315789473684
System_Failure,current_family_only,7,9,9,1.0,15,1,0.06666666666666667
System_Failure,current_family_only,8,5,5,1.0,7,0,0.0
System_Failure,current_family_only,9,20,19,0.95,6,0,0.0
System_Failure,current_family_only,10,20,20,1.0,7,1,0.14285714285714285
System_Failure,joint_current_only,1,7,7,1.0,17,0,0.0
System_Failure,joint_current_only,2,5,5,1.0,18,1,0.05555555555555555
System_Failure,joint_current_only,3,6,6,1.0,18,6,0.3333333333333333
System_Failure,joint_current_only,4,9,9,1.0,8,1,0.125
System_Failure,joint_current_only,5,6,6,1.0,19,2,0.10526315789473684
System_Failure,joint_current_only,7,9,9,1.0,15,2,0.13333333333333333
System_Failure,joint_current_only,8,5,5,1.0,7,0,0.0
System_Failure,joint_current_only,9,20,19,0.95,6,0,0.0
System_Failure,joint_current_only,10,20,20,1.0,7,2,0.2857142857142857
System_Failure,tool_current_only,1,7,6,0.8571428571428571,17,16,0.9411764705882353
System_Failure,tool_current_only,2,5,4,0.8,18,17,0.9444444444444444
System_Failure,tool_current_only,3,6,5,0.8333333333333334,18,16,0.8888888888888888
System_Failure,tool_current_only,4,9,8,0.8888888888888888,8,7,0.875
System_Failure,tool_current_only,5,6,5,0.8333333333333334,19,17,0.8947368421052632
System_Failure,tool_current_only,7,9,5,0.5555555555555556,15,13,0.8666666666666667
System_Failure,tool_current_only,8,5,4,0.8,7,5,0.7142857142857143
System_Failure,tool_current_only,9,20,14,0.7,6,5,0.8333333333333334
System_Failure,tool_current_only,10,20,19,0.95,7,4,0.5714285714285714
System_Failure,speed_only,1,7,7,1.0,17,5,0.29411764705882354
System_Failure,speed_only,2,5,5,1.0,18,3,0.16666666666666666
System_Failure,speed_only,3,6,6,1.0,18,7,0.3888888888888889
System_Failure,speed_only,4,9,8,0.8888888888888888,8,2,0.25
System_Failure,speed_only,5,6,6,1.0,19,3,0.15789473684210525
System_Failure,speed_only,7,9,9,1.0,15,4,0.26666666666666666
System_Failure,speed_only,8,5,5,1.0,7,1,0.14285714285714285
System_Failure,speed_only,9,20,19,0.95,6,0,0.0
System_Failure,speed_only,10,20,20,1.0,7,2,0.2857142857142857
System_Failure,temperature_only,1,7,0,0.0,17,0,0.0
System_Failure,temperature_only,2,5,0,0.0,18,0,0.0
System_Failure,temperature_only,3,6,0,0.0,18,0,0.0
System_Failure,temperature_only,4,9,0,0.0,8,0,0.0
System_Failure,temperature_only,5,6,0,0.0,19,0,0.0
System_Failure,temperature_only,7,9,0,0.0,15,0,0.0
System_Failure,temperature_only,8,5,1,0.2,7,3,0.42857142857142855
System_Failure,temperature_only,9,20,17,0.85,6,5,0.8333333333333334
System_Failure,temperature_only,10,20,4,0.2,7,1,0.14285714285714285
System_Failure,drop_current_family,1,7,5,0.7142857142857143,17,2,0.11764705882352941
System_Failure,drop_current_family,2,5,5,1.0,18,0,0.0
System_Failure,drop_current_family,3,6,6,1.0,18,5,0.2777777777777778
System_Failure,drop_current_family,4,9,7,0.7777777777777778,8,2,0.25
System_Failure,drop_current_family,5,6,6,1.0,19,2,0.10526315789473684
System_Failure,drop_current_family,7,9,8,0.8888888888888888,15,0,0.0
System_Failure,drop_current_family,8,5,5,1.0,7,2,0.2857142857142857
System_Failure,drop_current_family,9,20,19,0.95,6,1,0.16666666666666666
System_Failure,drop_current_family,10,20,20,1.0,7,0,0.0
System_Failure,drop_speed,1,7,5,0.7142857142857143,17,0,0.0
System_Failure,drop_speed,2,5,5,1.0,18,0,0.0
System_Failure,drop_speed,3,6,6,1.0,18,2,0.1111111111111111
System_Failure,drop_speed,4,9,9,1.0,8,0,0.0
System_Failure,drop_speed,5,6,6,1.0,19,0,0.0
System_Failure,drop_speed,7,9,8,0.8888888888888888,15,0,0.0
System_Failure,drop_speed,8,5,5,1.0,7,0,0.0
System_Failure,drop_speed,9,20,20,1.0,6,1,0.16666666666666666
System_Failure,drop_speed,10,20,20,1.0,7,1,0.14285714285714285
System_Failure,drop_temperature,1,7,7,1.0,17,3,0.17647058823529413
System_Failure,drop_temperature,2,5,5,1.0,18,0,0.0
System_Failure,drop_temperature,3,6,6,1.0,18,4,0.2222222222222222
System_Failure,drop_temperature,4,9,9,1.0,8,1,0.125
System_Failure,drop_temperature,5,6,6,1.0,19,1,0.05263157894736842
System_Failure,drop_temperature,7,9,9,1.0,15,0,0.0
System_Failure,drop_temperature,8,5,5,1.0,7,1,0.14285714285714285
System_Failure,drop_temperature,9,20,20,1.0,6,0,0.0
System_Failure,drop_temperature,10,20,19,0.95,7,0,0.0
System_Failure,drop_tool_current,1,7,7,1.0,17,1,0.058823529411764705
System_Failure,drop_tool_current,2,5,5,1.0,18,0,0.0
System_Failure,drop_tool_current,3,6,6,1.0,18,3,0.16666666666666666
System_Failure,drop_tool_current,4,9,9,1.0,8,1,0.125
System_Failure,drop_tool_current,5,6,6,1.0,19,0,0.0
System_Failure,drop_tool_current,7,9,9,1.0,15,0,0.0
System_Failure,drop_tool_current,8,5,5,1.0,7,0,0.0
System_Failure,drop_tool_current,9,20,20,1.0,6,0,0.0
System_Failure,drop_tool_current,10,20,20,1.0,7,0,0.0
ProtectiveStop,all_19,1,2,1,0.5,22,0,0.0
ProtectiveStop,all_19,2,2,2,1.0,21,0,0.0
ProtectiveStop,all_19,3,3,3,1.0,21,3,0.14285714285714285
ProtectiveStop,all_19,4,3,3,1.0,14,1,0.07142857142857142
ProtectiveStop,all_19,5,5,5,1.0,20,0,0.0
ProtectiveStop,all_19,7,8,8,1.0,16,0,0.0
ProtectiveStop,all_19,8,3,3,1.0,9,0,0.0
ProtectiveStop,all_19,9,17,16,0.9411764705882353,9,0,0.0
ProtectiveStop,all_19,10,19,18,0.9473684210526315,8,0,0.0
ProtectiveStop,current_family_only,1,2,2,1.0,22,1,0.045454545454545456
ProtectiveStop,current_family_only,2,2,2,1.0,21,3,0.14285714285714285
ProtectiveStop,current_family_only,3,3,2,0.6666666666666666,21,3,0.14285714285714285
ProtectiveStop,current_family_only,4,3,3,1.0,14,1,0.07142857142857142
ProtectiveStop,current_family_only,5,5,5,1.0,20,1,0.05
ProtectiveStop,current_family_only,7,8,8,1.0,16,0,0.0
ProtectiveStop,current_family_only,8,3,3,1.0,9,0,0.0
ProtectiveStop,current_family_only,9,17,15,0.8823529411764706,9,0,0.0
ProtectiveStop,current_family_only,10,19,18,0.9473684210526315,8,1,0.125
ProtectiveStop,joint_current_only,1,2,2,1.0,22,1,0.045454545454545456
ProtectiveStop,joint_current_only,2,2,2,1.0,21,3,0.14285714285714285
ProtectiveStop,joint_current_only,3,3,3,1.0,21,2,0.09523809523809523
ProtectiveStop,joint_current_only,4,3,3,1.0,14,0,0.0
ProtectiveStop,joint_current_only,5,5,5,1.0,20,2,0.1
ProtectiveStop,joint_current_only,7,8,8,1.0,16,0,0.0
ProtectiveStop,joint_current_only,8,3,3,1.0,9,0,0.0
