target,variant,test_block,cycle,cycle_run,cycle_occurrence,true_event_cycle,cycle_alert,event_detected
System_Failure,all_19,1,1,1,1,1,1,1
System_Failure,all_19,1,2,2,1,1,1,1
System_Failure,all_19,1,3,3,1,0,0,0
System_Failure,all_19,1,4,4,1,0,0,0
System_Failure,all_19,1,5,5,1,1,1,1
System_Failure,all_19,1,6,6,1,1,1,1
System_Failure,all_19,1,8,8,1,0,0,0
System_Failure,all_19,1,9,9,1,0,0,0
System_Failure,all_19,1,10,10,1,0,0,0
System_Failure,all_19,1,11,11,1,0,0,0
System_Failure,all_19,1,12,12,1,0,0,0
System_Failure,all_19,1,13,13,1,0,0,0
System_Failure,all_19,1,14,14,1,1,1,1
System_Failure,all_19,1,15,15,1,1,1,1
System_Failure,all_19,1,16,16,1,0,0,0
System_Failure,all_19,1,17,17,1,0,0,0
System_Failure,all_19,1,18,18,1,0,0,0
System_Failure,all_19,1,19,19,1,0,0,0
System_Failure,all_19,1,20,20,1,0,0,0
System_Failure,all_19,1,21,21,1,0,0,0
System_Failure,all_19,1,22,22,1,1,1,1
System_Failure,all_19,1,23,23,1,0,0,0
System_Failure,all_19,1,24,24,1,0,0,0
System_Failure,all_19,1,25,25,1,0,0,0
System_Failure,all_19,2,26,26,1,0,0,0
System_Failure,all_19,2,27,27,1,0,0,0
System_Failure,all_19,2,28,28,1,0,0,0
System_Failure,all_19,2,29,29,1,0,0,0
System_Failure,all_19,2,30,30,1,0,0,0
System_Failure,all_19,2,31,31,1,0,0,0
System_Failure,all_19,2,32,32,1,0,0,0
System_Failure,all_19,2,33,33,1,0,0,0
System_Failure,all_19,2,34,34,1,0,0,0
System_Failure,all_19,2,35,35,1,1,1,1
System_Failure,all_19,2,36,36,1,1,1,1
System_Failure,all_19,2,37,37,1,0,0,0
System_Failure,all_19,2,38,38,1,0,0,0
System_Failure,all_19,2,39,39,1,1,1,1
System_Failure,all_19,2,40,40,1,1,1,1
System_Failure,all_19,2,41,41,1,0,0,0
System_Failure,all_19,2,42,42,1,1,1,1
System_Failure,all_19,2,43,43,1,0,0,0
System_Failure,all_19,2,44,44,1,0,0,0
System_Failure,all_19,2,45,45,1,0,0,0
System_Failure,all_19,2,48,48,1,0,0,0
System_Failure,all_19,2,49,49,1,0,0,0
System_Failure,all_19,2,50,50,1,0,0,0
System_Failure,all_19,3,51,51,1,0,0,0
System_Failure,all_19,3,52,52,1,0,0,0
System_Failure,all_19,3,53,53,1,1,1,1
System_Failure,all_19,3,54,54,1,0,0,0
System_Failure,all_19,3,55,55,1,0,0,0
System_Failure,all_19,3,56,56,1,0,0,0
System_Failure,all_19,3,57,57,1,0,1,0
System_Failure,all_19,3,58,58,1,0,0,0
System_Failure,all_19,3,59,59,1,0,0,0
