target,variant,error_type,eligible_cycles,all_19_error_count,variant_error_count,shared_error_count,new_variant_error_count,corrected_all_19_error_count
System_Failure,current_family_only,event_miss,87,2,2,0,2,2
System_Failure,current_family_only,false_alarm,115,5,10,4,6,1
System_Failure,joint_current_only,event_miss,87,2,1,0,1,2
System_Failure,joint_current_only,false_alarm,115,5,14,4,10,1
System_Failure,tool_current_only,event_miss,87,2,17,0,17,2
System_Failure,tool_current_only,false_alarm,115,5,100,4,96,1
System_Failure,speed_only,event_miss,87,2,2,1,1,1
System_Failure,speed_only,false_alarm,115,5,27,5,22,0
System_Failure,temperature_only,event_miss,87,2,65,1,64,1
System_Failure,temperature_only,false_alarm,115,5,9,0,9,5
System_Failure,drop_current_family,event_miss,87,2,6,1,5,1
System_Failure,drop_current_family,false_alarm,115,5,14,5,9,0
System_Failure,drop_speed,event_miss,87,2,3,0,3,2
System_Failure,drop_speed,false_alarm,115,5,4,2,2,3
System_Failure,drop_temperature,event_miss,87,2,1,1,0,1
System_Failure,drop_temperature,false_alarm,115,5,10,5,5,0
System_Failure,drop_tool_current,event_miss,87,2,0,0,0,2
System_Failure,drop_tool_current,false_alarm,115,5,5,4,1,1
ProtectiveStop,current_family_only,event_miss,62,3,4,1,3,2
ProtectiveStop,current_family_only,false_alarm,140,4,10,3,7,1
ProtectiveStop,joint_current_only,event_miss,62,3,3,1,2,2
ProtectiveStop,joint_current_only,false_alarm,140,4,9,1,8,3
ProtectiveStop,tool_current_only,event_miss,62,3,20,1,19,2
ProtectiveStop,tool_current_only,false_alarm,140,4,86,2,84,2
ProtectiveStop,speed_only,event_miss,62,3,1,0,1,3
ProtectiveStop,speed_only,false_alarm,140,4,17,3,14,1
ProtectiveStop,temperature_only,event_miss,62,3,52,2,50,1
ProtectiveStop,temperature_only,false_alarm,140,4,4,0,4,4
ProtectiveStop,drop_current_family,event_miss,62,3,2,1,1,2
ProtectiveStop,drop_current_family,false_alarm,140,4,11,3,8,1
ProtectiveStop,drop_speed,event_miss,62,3,5,2,3,1
ProtectiveStop,drop_speed,false_alarm,140,4,4,1,3,3
ProtectiveStop,drop_temperature,event_miss,62,3,3,3,0,0
ProtectiveStop,drop_temperature,false_alarm,140,4,12,4,8,0
ProtectiveStop,drop_tool_current,event_miss,62,3,2,2,0,1
ProtectiveStop,drop_tool_current,false_alarm,140,4,4,4,0,0
GripLost,current_family_only,event_miss,39,3,2,1,1,2
GripLost,current_family_only,false_alarm,163,6,20,4,16,2
GripLost,joint_current_only,event_miss,39,3,2,2,0,1
GripLost,joint_current_only,false_alarm,163,6,18,3,15,3
GripLost,tool_current_only,event_miss,39,3,17,3,14,0
GripLost,tool_current_only,false_alarm,163,6,127,6,121,0
GripLost,speed_only,event_miss,39,3,3,2,1,1
GripLost,speed_only,false_alarm,163,6,49,4,45,2
GripLost,temperature_only,event_miss,39,3,38,3,35,0
GripLost,temperature_only,false_alarm,163,6,4,0,4,6
GripLost,drop_current_family,event_miss,39,3,23,3,20,0
GripLost,drop_current_family,false_alarm,163,6,6,0,6,6
GripLost,drop_speed,event_miss,39,3,7,3,4,0
GripLost,drop_speed,false_alarm,163,6,4,1,3,5
GripLost,drop_temperature,event_miss,39,3,2,2,0,1
GripLost,drop_temperature,false_alarm,163,6,12,6,6,0
GripLost,drop_tool_current,event_miss,39,3,3,3,0,0
GripLost,drop_tool_current,false_alarm,163,6,7,5,2,1
