target,variant,feature_columns,feature_count,summary_feature_count,test_block,train_blocks,train_windows,test_windows,train_positive_count,decision_threshold,baseline_12_match,elapsed_seconds
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,1,8,3606,429,857,0.5,True,2.528533400000015
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,2,8,3614,421,897,0.5,True,2.56616109999959
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,3,8,3609,426,887,0.5,True,2.1638725999982853
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,4,8,3696,339,888,0.5,True,1.9579811000003247
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,5,8,3565,470,893,0.5,True,2.2220003999973414
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,7,8,3560,475,874,0.5,True,1.9690699000020686
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,8,8,3846,189,938,0.5,True,2.6738320000004023
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,9,8,3474,561,790,0.5,True,2.1212470999998914
System_Failure,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,10,8,3310,725,768,0.5,True,1.9213510999979917
System_Failure,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,1,8,3606,429,857,0.5,,1.756332899996778
