target,variant,windows,feature_count,summary_feature_count,window_tn,window_fp,window_fn,window_tp,window_accuracy,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_roc_auc,window_pr_auc
System_Failure,all_19,4035,19,133,2871,190,299,675,0.8788104089219331,0.8278080208859402,0.7803468208092486,0.6930184804928131,0.734094616639478,0.9144509954001692,0.8137324214976762
System_Failure,current_family_only,4035,7,49,2878,183,280,694,0.8852540272614622,0.8377078347501501,0.7913340935005702,0.7125256673511293,0.7498649378714208,0.9120395557275842,0.8194224404481877
System_Failure,joint_current_only,4035,6,42,2849,212,267,707,0.8812887236679058,0.8347083796107795,0.7693144722524483,0.7258726899383984,0.7469624933967248,0.9078589890568703,0.8144119845739275
System_Failure,tool_current_only,4035,1,7,2361,700,737,237,0.6438661710037175,0.5073602898388926,0.2529348986125934,0.2433264887063655,0.24803767660910517,0.531734103348277,0.2535407632990635
System_Failure,speed_only,4035,6,42,2738,323,309,665,0.843370508054523,0.7872044283428361,0.6730769230769231,0.6827515400410678,0.6778797145769623,0.8599808681384068,0.7413129557898913
System_Failure,temperature_only,4035,6,42,2850,211,870,104,0.732094175960347,0.500974692098776,0.33015873015873015,0.10677618069815195,0.1613653995345229,0.5502654109761341,0.28003827471657633
System_Failure,drop_current_family,4035,12,84,2857,204,448,526,0.8384138785625774,0.7574758952710925,0.7205479452054795,0.5400410677618069,0.6173708920187794,0.8380530177962537,0.6754382979205256
System_Failure,drop_speed,4035,13,91,2909,152,437,537,0.8540272614622056,0.7769450524883478,0.7793904208998549,0.5513347022587269,0.6458208057727,0.8904561728092778,0.7475814089251474
System_Failure,drop_temperature,4035,13,91,2884,177,249,725,0.8944237918215613,0.8520724368379056,0.8037694013303769,0.74435318275154,0.7729211087420043,0.91964819377651,0.8478420307373694
System_Failure,drop_tool_current,4035,18,126,2879,182,297,677,0.8812887236679058,0.8309400082449727,0.7881257275902211,0.6950718685831622,0.7386797599563557,0.9132881243597837,0.8126289025054904
ProtectiveStop,all_19,4035,19,133,3375,97,137,426,0.9420074349442379,0.8755126160505782,0.8145315487571702,0.7566607460035524,0.7845303867403315,0.9593776346268753,0.8556536325151582
ProtectiveStop,current_family_only,4035,7,49,3353,119,133,430,0.937546468401487,0.8685819955705456,0.7832422586520947,0.7637655417406749,0.7733812949640287,0.9634331694919417,0.8273741647609978
ProtectiveStop,joint_current_only,4035,6,42,3354,118,138,425,0.9365551425030979,0.8658873898624079,0.7826887661141805,0.7548845470692718,0.7685352622061483,0.9615183329104288,0.8236017208565597
ProtectiveStop,tool_current_only,4035,1,7,3002,470,403,160,0.7836431226765799,0.5706432303896719,0.25396825396825395,0.2841918294849023,0.26823134953897737,0.6412679256943137,0.2228080539588862
ProtectiveStop,speed_only,4035,6,42,3222,250,140,423,0.9033457249070632,0.8136992081284042,0.6285289747399703,0.7513321492007105,0.6844660194174758,0.9296009793649884,0.7549874397695733
