target,model,test_block,event_cycles,detected_event_cycles,event_cycle_recall,normal_cycles,false_alarm_cycles,normal_cycle_false_alarm_rate
System_Failure,random_forest,1,7,7,1.0,17,0,0.0
System_Failure,random_forest,2,5,5,1.0,18,0,0.0
System_Failure,random_forest,3,6,6,1.0,18,3,0.16666666666666666
System_Failure,random_forest,4,9,9,1.0,8,1,0.125
System_Failure,random_forest,5,6,6,1.0,19,1,0.05263157894736842
System_Failure,random_forest,7,9,9,1.0,15,0,0.0
System_Failure,random_forest,8,5,5,1.0,7,0,0.0
System_Failure,random_forest,9,20,19,0.95,6,0,0.0
System_Failure,random_forest,10,20,19,0.95,7,0,0.0
System_Failure,logistic_regression,1,7,7,1.0,17,13,0.7647058823529411
System_Failure,logistic_regression,2,5,5,1.0,18,8,0.4444444444444444
System_Failure,logistic_regression,3,6,6,1.0,18,11,0.6111111111111112
System_Failure,logistic_regression,4,9,9,1.0,8,2,0.25
System_Failure,logistic_regression,5,6,6,1.0,19,4,0.21052631578947367
System_Failure,logistic_regression,7,9,9,1.0,15,9,0.6
System_Failure,logistic_regression,8,5,5,1.0,7,6,0.8571428571428571
System_Failure,logistic_regression,9,20,19,0.95,6,2,0.3333333333333333
System_Failure,logistic_regression,10,20,20,1.0,7,6,0.8571428571428571
System_Failure,rbf_svm,1,7,3,0.42857142857142855,17,0,0.0
System_Failure,rbf_svm,2,5,5,1.0,18,1,0.05555555555555555
System_Failure,rbf_svm,3,6,6,1.0,18,1,0.05555555555555555
System_Failure,rbf_svm,4,9,9,1.0,8,1,0.125
System_Failure,rbf_svm,5,6,6,1.0,19,1,0.05263157894736842
System_Failure,rbf_svm,7,9,9,1.0,15,5,0.3333333333333333
System_Failure,rbf_svm,8,5,5,1.0,7,1,0.14285714285714285
System_Failure,rbf_svm,9,20,20,1.0,6,1,0.16666666666666666
System_Failure,rbf_svm,10,20,20,1.0,7,0,0.0
ProtectiveStop,random_forest,1,2,1,0.5,22,0,0.0
ProtectiveStop,random_forest,2,2,2,1.0,21,0,0.0
ProtectiveStop,random_forest,3,3,3,1.0,21,3,0.14285714285714285
ProtectiveStop,random_forest,4,3,3,1.0,14,1,0.07142857142857142
ProtectiveStop,random_forest,5,5,5,1.0,20,0,0.0
ProtectiveStop,random_forest,7,8,8,1.0,16,0,0.0
ProtectiveStop,random_forest,8,3,3,1.0,9,0,0.0
ProtectiveStop,random_forest,9,17,16,0.9411764705882353,9,0,0.0
ProtectiveStop,random_forest,10,19,18,0.9473684210526315,8,0,0.0
ProtectiveStop,logistic_regression,1,2,2,1.0,22,6,0.2727272727272727
ProtectiveStop,logistic_regression,2,2,2,1.0,21,3,0.14285714285714285
ProtectiveStop,logistic_regression,3,3,3,1.0,21,7,0.3333333333333333
ProtectiveStop,logistic_regression,4,3,3,1.0,14,2,0.14285714285714285
ProtectiveStop,logistic_regression,5,5,5,1.0,20,8,0.4
ProtectiveStop,logistic_regression,7,8,7,0.875,16,5,0.3125
ProtectiveStop,logistic_regression,8,3,3,1.0,9,2,0.2222222222222222
ProtectiveStop,logistic_regression,9,17,16,0.9411764705882353,9,2,0.2222222222222222
ProtectiveStop,logistic_regression,10,19,19,1.0,8,3,0.375
ProtectiveStop,rbf_svm,1,2,1,0.5,22,0,0.0
ProtectiveStop,rbf_svm,2,2,2,1.0,21,0,0.0
ProtectiveStop,rbf_svm,3,3,2,0.6666666666666666,21,1,0.047619047619047616
ProtectiveStop,rbf_svm,4,3,3,1.0,14,2,0.14285714285714285
ProtectiveStop,rbf_svm,5,5,5,1.0,20,0,0.0
ProtectiveStop,rbf_svm,7,8,7,0.875,16,0,0.0
ProtectiveStop,rbf_svm,8,3,3,1.0,9,0,0.0
ProtectiveStop,rbf_svm,9,17,15,0.8823529411764706,9,0,0.0
ProtectiveStop,rbf_svm,10,19,18,0.9473684210526315,8,0,0.0
GripLost,random_forest,1,5,4,0.8,19,0,0.0
GripLost,random_forest,2,3,3,1.0,20,0,0.0
GripLost,random_forest,3,5,5,1.0,19,1,0.05263157894736842
GripLost,random_forest,4,7,7,1.0,10,0,0.0
GripLost,random_forest,5,1,1,1.0,24,0,0.0
GripLost,random_forest,7,4,4,1.0,20,0,0.0
GripLost,random_forest,8,2,2,1.0,10,1,0.1
GripLost,random_forest,9,6,6,1.0,20,3,0.15
GripLost,random_forest,10,6,4,0.6666666666666666,21,1,0.047619047619047616
GripLost,logistic_regression,1,5,5,1.0,19,13,0.6842105263157895
GripLost,logistic_regression,2,3,3,1.0,20,7,0.35
GripLost,logistic_regression,3,5,5,1.0,19,10,0.5263157894736842
GripLost,logistic_regression,4,7,7,1.0,10,6,0.6
GripLost,logistic_regression,5,1,1,1.0,24,5,0.20833333333333334
GripLost,logistic_regression,7,4,4,1.0,20,8,0.4
GripLost,logistic_regression,8,2,2,1.0,10,6,0.6
GripLost,logistic_regression,9,6,6,1.0,20,7,0.35
GripLost,logistic_regression,10,6,6,1.0,21,18,0.8571428571428571
GripLost,rbf_svm,1,5,5,1.0,19,2,0.10526315789473684
GripLost,rbf_svm,2,3,3,1.0,20,3,0.15
GripLost,rbf_svm,3,5,5,1.0,19,0,0.0
GripLost,rbf_svm,4,7,7,1.0,10,0,0.0
GripLost,rbf_svm,5,1,1,1.0,24,0,0.0
GripLost,rbf_svm,7,4,4,1.0,20,3,0.15
GripLost,rbf_svm,8,2,2,1.0,10,5,0.5
GripLost,rbf_svm,9,6,6,1.0,20,7,0.35
GripLost,rbf_svm,10,6,4,0.6666666666666666,21,9,0.42857142857142855
