target,model,seed,test_block,train_blocks,train_windows,test_windows,train_positive_count,feature_count,summary_feature_count,decision_threshold,reference_match,fit_status,n_iter,elapsed_seconds
System_Failure,logistic_regression,42,1,8,3606,429,857,19,133,0.5,True,0,3953,26.353536700000404
System_Failure,logistic_regression,42,2,8,3614,421,897,19,133,0.5,True,0,3473,22.55533970000397
System_Failure,logistic_regression,42,3,8,3609,426,887,19,133,0.5,True,0,4349,28.35377399999561
System_Failure,logistic_regression,42,4,8,3696,339,888,19,133,0.5,True,0,4469,29.344688600001973
System_Failure,logistic_regression,42,5,8,3565,470,893,19,133,0.5,True,0,624,3.7884456000028877
System_Failure,logistic_regression,42,7,8,3560,475,874,19,133,0.5,True,0,4757,29.422542400003294
System_Failure,logistic_regression,42,8,8,3846,189,938,19,133,0.5,True,0,4613,33.6418010999987
System_Failure,logistic_regression,42,9,8,3474,561,790,19,133,0.5,True,0,4719,30.540045899993856
System_Failure,logistic_regression,42,10,8,3310,725,768,19,133,0.5,True,0,4101,23.660189000001992
System_Failure,rbf_svm,42,1,8,3606,429,857,19,133,0.5,True,0,3638,6.220592999998189
System_Failure,rbf_svm,42,2,8,3614,421,897,19,133,0.5,True,0,3495,5.514354999999341
System_Failure,rbf_svm,42,3,8,3609,426,887,19,133,0.5,True,0,3247,5.3637727000023006
System_Failure,rbf_svm,42,4,8,3696,339,888,19,133,0.5,True,0,3591,5.551152699998056
System_Failure,rbf_svm,42,5,8,3565,470,893,19,133,0.5,True,0,4111,5.578260599999339
System_Failure,rbf_svm,42,7,8,3560,475,874,19,133,0.5,True,0,3163,5.428029599999718
System_Failure,rbf_svm,42,8,8,3846,189,938,19,133,0.5,True,0,3538,7.328642400003446
System_Failure,rbf_svm,42,9,8,3474,561,790,19,133,0.5,True,0,3127,4.660488400004397
System_Failure,rbf_svm,42,10,8,3310,725,768,19,133,0.5,True,0,3029,6.029432000002998
ProtectiveStop,logistic_regression,42,1,8,3606,429,536,19,133,0.5,True,0,4343,34.50634580000042
ProtectiveStop,logistic_regression,42,2,8,3614,421,528,19,133,0.5,True,0,3755,26.87075580000237
ProtectiveStop,logistic_regression,42,3,8,3609,426,526,19,133,0.5,True,0,3758,25.89967820000311
ProtectiveStop,logistic_regression,42,4,8,3696,339,520,19,133,0.5,True,0,3631,26.15911519999645
ProtectiveStop,logistic_regression,42,5,8,3565,470,494,19,133,0.5,True,0,538,3.8306143000008888
ProtectiveStop,logistic_regression,42,7,8,3560,475,494,19,133,0.5,True,0,3752,26.402465200000734
ProtectiveStop,logistic_regression,42,8,8,3846,189,546,19,133,0.5,True,0,3891,29.948752199998125
ProtectiveStop,logistic_regression,42,9,8,3474,561,441,19,133,0.5,True,0,4059,31.271229400001175
ProtectiveStop,logistic_regression,42,10,8,3310,725,419,19,133,0.5,True,0,3816,28.7062345000013
ProtectiveStop,rbf_svm,42,1,8,3606,429,536,19,133,0.5,True,0,2585,3.685013099995558
ProtectiveStop,rbf_svm,42,2,8,3614,421,528,19,133,0.5,True,0,2565,3.831583099999989
ProtectiveStop,rbf_svm,42,3,8,3609,426,526,19,133,0.5,True,0,2469,3.6376780999999028
ProtectiveStop,rbf_svm,42,4,8,3696,339,520,19,133,0.5,True,0,2596,3.616356899998209
ProtectiveStop,rbf_svm,42,5,8,3565,470,494,19,133,0.5,True,0,3048,3.834342200003448
ProtectiveStop,rbf_svm,42,7,8,3560,475,494,19,133,0.5,True,0,2274,3.5474643999987165
ProtectiveStop,rbf_svm,42,8,8,3846,189,546,19,133,0.5,True,0,2555,4.103790000001027
ProtectiveStop,rbf_svm,42,9,8,3474,561,441,19,133,0.5,True,0,2243,3.35026050000306
ProtectiveStop,rbf_svm,42,10,8,3310,725,419,19,133,0.5,True,0,2199,3.0125651999987895
GripLost,logistic_regression,42,1,8,3606,429,346,19,133,0.5,True,0,3125,24.710148999998637
GripLost,logistic_regression,42,2,8,3614,421,394,19,133,0.5,True,0,3298,25.415724200000113
GripLost,logistic_regression,42,3,8,3609,426,386,19,133,0.5,True,0,2917,21.247862900003383
GripLost,logistic_regression,42,4,8,3696,339,393,19,133,0.5,True,0,3073,22.800841199998104
GripLost,logistic_regression,42,5,8,3565,470,424,19,133,0.5,True,0,692,4.9313108999995166
GripLost,logistic_regression,42,7,8,3560,475,405,19,133,0.5,True,0,3324,24.183368199999677
GripLost,logistic_regression,42,8,8,3846,189,417,19,133,0.5,True,0,3649,27.844770399999106
GripLost,logistic_regression,42,9,8,3474,561,356,19,133,0.5,True,0,3295,22.5309189000036
GripLost,logistic_regression,42,10,8,3310,725,367,19,133,0.5,True,0,2582,16.676210799996625
GripLost,rbf_svm,42,1,8,3606,429,346,19,133,0.5,True,0,2622,4.974183300000732
GripLost,rbf_svm,42,2,8,3614,421,394,19,133,0.5,True,0,2756,4.975681299998541
GripLost,rbf_svm,42,3,8,3609,426,386,19,133,0.5,True,0,2499,4.9016262000004645
GripLost,rbf_svm,42,4,8,3696,339,393,19,133,0.5,True,0,2673,5.180226500000572
GripLost,rbf_svm,42,5,8,3565,470,424,19,133,0.5,True,0,3091,4.1930399000048055
GripLost,rbf_svm,42,7,8,3560,475,405,19,133,0.5,True,0,2629,4.568366899999091
GripLost,rbf_svm,42,8,8,3846,189,417,19,133,0.5,True,0,2690,6.332656300000963
GripLost,rbf_svm,42,9,8,3474,561,356,19,133,0.5,True,0,2196,4.257731799996691
GripLost,rbf_svm,42,10,8,3310,725,367,19,133,0.5,True,0,2295,3.839883299995563
