target,window_size,split,split_seed,model,train_windows,train_positive_count,train_positive_rate,train_cycles,test_cycles,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
System_Failure,5,cycle_group,42,rf_plain,4543,808,0.17785604226282192,174,44,1081,169,0.15633672525439407,0.9130434782608695,0.7888847336491316,0.900163318988723,0.9518072289156626,0.46745562130177515,0.626984126984127,908,4,90,79,0.9503010484791861,0.8624336335013033
System_Failure,5,cycle_group,42,rf_smote,4543,808,0.17785604226282192,174,44,1081,169,0.15633672525439407,0.9306197964847364,0.851091262735072,0.9258883520717817,0.8852459016393442,0.6390532544378699,0.7422680412371134,898,14,61,108,0.9478712498702376,0.8580863015678172
System_Failure,10,cycle_group,42,rf_plain,3640,869,0.23873626373626375,172,43,896,252,0.28125,0.8616071428571429,0.7952815100347143,0.846261212125679,0.9776119402985075,0.5198412698412699,0.6787564766839378,641,3,121,131,0.941853371783496,0.8984315034756971
System_Failure,10,cycle_group,42,rf_smote,3640,869,0.23873626373626375,172,43,896,252,0.28125,0.8950892857142857,0.8592776753014142,0.8903355321196568,0.9114583333333334,0.6944444444444444,0.7882882882882883,627,17,77,175,0.9383164497683131,0.8935575722218851
System_Failure,20,cycle_group,42,rf_plain,2009,890,0.44300647088103534,167,42,402,185,0.4601990049751244,0.6691542288557214,0.6487006800486218,0.6554482425416857,0.7166666666666667,0.4648648648648649,0.5639344262295082,183,34,99,86,0.7673433802466061,0.6765046715680428
System_Failure,20,cycle_group,42,rf_smote,2009,890,0.44300647088103534,167,42,402,185,0.4601990049751244,0.654228855721393,0.6337766009739217,0.6406657815204384,0.6885245901639344,0.4540540540540541,0.5472312703583062,179,38,101,84,0.765998256320837,0.6770395586729248
ProtectiveStop,5,cycle_group,42,rf_plain,4543,454,0.099933964340744,174,44,1081,113,0.10453283996299723,0.9380203515263644,0.7725832634695755,0.9259983505504372,1.0,0.40707964601769914,0.5786163522012578,968,0,67,46,0.9635915673224603,0.857093949789594
ProtectiveStop,5,cycle_group,42,rf_smote,4543,454,0.099933964340744,174,44,1081,113,0.10453283996299723,0.9491211840888066,0.837441386758534,0.9440108362198991,0.9027777777777778,0.5752212389380531,0.7027027027027027,961,7,48,65,0.9643137936078402,0.8445041081743693
ProtectiveStop,10,cycle_group,42,rf_plain,3640,523,0.14368131868131867,172,43,896,152,0.16964285714285715,0.9397321428571429,0.876953125,0.9350237165178571,0.9711538461538461,0.6644736842105263,0.7890625,741,3,51,101,0.975947934352009,0.935220990005954
ProtectiveStop,10,cycle_group,42,rf_smote,3640,523,0.14368131868131867,172,43,896,152,0.16964285714285715,0.9631696428571429,0.9323062975198664,0.9625064635358459,0.9280575539568345,0.8486842105263158,0.8865979381443299,734,10,23,129,0.9777783672891907,0.939365578781297
ProtectiveStop,20,cycle_group,42,rf_plain,2009,643,0.320059731209557,167,42,402,138,0.34328358208955223,0.7338308457711443,0.668007069919653,0.7143411244296411,0.6823529411764706,0.42028985507246375,0.5201793721973094,237,27,80,58,0.8234930830039526,0.6570862463151901
ProtectiveStop,20,cycle_group,42,rf_smote,2009,643,0.320059731209557,167,42,402,138,0.34328358208955223,0.753731343283582,0.7023669745353924,0.741120929399296,0.7010309278350515,0.4927536231884058,0.5787234042553191,235,29,70,68,0.8172074000878349,0.6497602282492193
GripLost,5,cycle_group,42,rf_plain,4543,359,0.07902267224301122,174,44,1081,63,0.058279370952821465,0.9740980573543015,0.8503599114064231,0.9705734713049216,1.0,0.5555555555555556,0.7142857142857143,1018,0,28,35,0.9298032244987058,0.8188449129221952
GripLost,5,cycle_group,42,rf_smote,4543,359,0.07902267224301122,174,44,1081,63,0.058279370952821465,0.9759481961147086,0.8796172560307017,0.9747527759688883,0.8627450980392157,0.6984126984126984,0.7719298245614035,1011,7,19,44,0.9305126765834035,0.8147833117615214
GripLost,10,cycle_group,42,rf_plain,3640,358,0.09835164835164835,172,43,896,115,0.12834821428571427,0.8883928571428571,0.5910916392844103,0.8502573606112762,0.9411764705882353,0.1391304347826087,0.24242424242424243,780,1,99,16,0.8921282636530646,0.6982165308365715
GripLost,10,cycle_group,42,rf_smote,3640,358,0.09835164835164835,172,43,896,115,0.12834821428571427,0.9151785714285714,0.7331828725471756,0.8969790015404319,0.975609756097561,0.34782608695652173,0.5128205128205128,780,1,75,40,0.9007292768468519,0.7189389053406292
GripLost,20,cycle_group,42,rf_plain,2009,297,0.14783474365355898,167,42,402,72,0.1791044776119403,0.8532338308457711,0.6119119692383213,0.8083190364141005,1.0,0.18055555555555555,0.3058823529411765,330,0,59,13,0.7526515151515152,0.6094671529506115
GripLost,20,cycle_group,42,rf_smote,2009,297,0.14783474365355898,167,42,402,72,0.1791044776119403,0.8731343283582089,0.6899414727099497,0.8428986143191758,1.0,0.2916666666666667,0.45161290322580644,330,0,51,21,0.7719276094276094,0.6283917443855662
