target,window_size,prediction_horizon,split,split_seed,model,train_windows,train_positive_count,train_positive_rate,train_cycles,test_cycles,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
System_Failure,5,3,cycle_group,42,rf_plain,2213,59,0.02666064166290104,131,33,516,19,0.03682170542635659,0.9651162790697675,0.5411067193675889,0.949728835370898,1.0,0.05263157894736842,0.1,497,0,18,1,0.9036852695118077,0.37351112978416356
System_Failure,5,3,cycle_group,42,rf_smote,2213,59,0.02666064166290104,131,33,516,19,0.03682170542635659,0.9593023255813954,0.4896142433234421,0.9431716237664757,0.0,0.0,0.0,495,2,19,0,0.8971195594620355,0.18274959667526425
System_Failure,5,5,cycle_group,42,rf_plain,2213,87,0.039313149570718485,131,33,516,27,0.05232558139534884,0.9476744186046512,0.48656716417910445,0.9222145088510932,0.0,0.0,0.0,489,0,27,0,0.8676437173369689,0.33152901121887174
System_Failure,5,5,cycle_group,42,rf_smote,2213,87,0.039313149570718485,131,33,516,27,0.05232558139534884,0.9437984496124031,0.48554336989032904,0.9202740615363213,0.0,0.0,0.0,487,2,27,0,0.8465500265091267,0.2041024014608973
System_Failure,5,10,cycle_group,42,rf_plain,2213,154,0.06958879349299593,131,33,516,47,0.09108527131782945,0.9050387596899225,0.494633327337051,0.8670872896013774,0.25,0.02127659574468085,0.0392156862745098,466,3,46,1,0.8390645556412466,0.3568073244777745
System_Failure,5,10,cycle_group,42,rf_smote,2213,154,0.06958879349299593,131,33,516,47,0.09108527131782945,0.9011627906976745,0.5102633293012003,0.8680932050263892,0.25,0.0425531914893617,0.07272727272727272,463,6,45,2,0.8223472304132832,0.27995090171193476
System_Failure,10,3,cycle_group,42,rf_plain,1617,38,0.02350030921459493,111,28,380,15,0.039473684210526314,0.9605263157894737,0.4899328859060403,0.9411868597668669,0.0,0.0,0.0,365,0,15,0,0.818904109589041,0.24299206722468564
System_Failure,10,3,cycle_group,42,rf_smote,1617,38,0.02350030921459493,111,28,380,15,0.039473684210526314,0.9605263157894737,0.4899328859060403,0.9411868597668669,0.0,0.0,0.0,365,0,15,0,0.7088584474885845,0.1228385162780449
System_Failure,10,5,cycle_group,42,rf_plain,1617,62,0.0383426097711812,111,28,380,25,0.06578947368421052,0.9342105263157895,0.48299319727891155,0.9024346580737557,0.0,0.0,0.0,355,0,25,0,0.711718309859155,0.1414200394427097
System_Failure,10,5,cycle_group,42,rf_smote,1617,62,0.0383426097711812,111,28,380,25,0.06578947368421052,0.9289473684210526,0.4815825375170532,0.8997989516765994,0.0,0.0,0.0,353,2,25,0,0.5939718309859154,0.09584566933743874
System_Failure,10,10,cycle_group,42,rf_plain,1617,120,0.07421150278293136,111,28,380,42,0.11052631578947368,0.8894736842105263,0.47075208913649025,0.8374431901480721,0.0,0.0,0.0,338,0,42,0,0.6728303747534516,0.17496657101956448
System_Failure,10,10,cycle_group,42,rf_smote,1617,120,0.07421150278293136,111,28,380,42,0.11052631578947368,0.868421052631579,0.4647887323943662,0.8268346923647146,0.0,0.0,0.0,330,8,42,0,0.6255987602141448,0.15973794383831671
System_Failure,20,3,cycle_group,42,rf_plain,505,6,0.011881188118811881,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.9854014598540146,0.3333333333333333
System_Failure,20,3,cycle_group,42,rf_smote,505,6,0.011881188118811881,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.9708029197080292,0.2
System_Failure,20,5,cycle_group,42,rf_plain,505,8,0.015841584158415842,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,1.0,1.0
System_Failure,20,5,cycle_group,42,rf_smote,505,8,0.015841584158415842,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,1.0,1.0
System_Failure,20,10,cycle_group,42,rf_plain,505,11,0.02178217821782178,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.9927007299270073,0.5
System_Failure,20,10,cycle_group,42,rf_smote,505,11,0.02178217821782178,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,1.0,1.0
ProtectiveStop,5,3,cycle_group,42,rf_plain,2530,38,0.015019762845849802,142,36,607,6,0.009884678747940691,0.9901153212520593,0.49751655629139074,0.9851975299213371,0.0,0.0,0.0,601,0,6,0,0.9486966167498613,0.26483977978543194
ProtectiveStop,5,3,cycle_group,42,rf_smote,2530,38,0.015019762845849802,142,36,607,6,0.009884678747940691,0.9901153212520593,0.49751655629139074,0.9851975299213371,0.0,0.0,0.0,601,0,6,0,0.9412090959511924,0.16512538684236797
ProtectiveStop,5,5,cycle_group,42,rf_plain,2530,52,0.020553359683794466,142,36,607,6,0.009884678747940691,0.9901153212520593,0.49751655629139074,0.9851975299213371,0.0,0.0,0.0,601,0,6,0,0.9549362174154188,0.4009761373891808
ProtectiveStop,5,5,cycle_group,42,rf_smote,2530,52,0.020553359683794466,142,36,607,6,0.009884678747940691,0.9901153212520593,0.49751655629139074,0.9851975299213371,0.0,0.0,0.0,601,0,6,0,0.9758735440931781,0.384604627510806
ProtectiveStop,5,10,cycle_group,42,rf_plain,2530,87,0.03438735177865613,142,36,607,6,0.009884678747940691,0.9901153212520593,0.49751655629139074,0.9851975299213371,0.0,0.0,0.0,601,0,6,0,0.9237382140876317,0.09230635701517233
ProtectiveStop,5,10,cycle_group,42,rf_smote,2530,87,0.03438735177865613,142,36,607,6,0.009884678747940691,0.9901153212520593,0.49751655629139074,0.9851975299213371,0.0,0.0,0.0,601,0,6,0,0.9435662784248474,0.2970512899699781
