target,window_size,prediction_horizon,cycles_with_event,cycles_without_event,cycles_with_pre_event_window,skipped_short_cycle,skipped_post_trigger_windows,windows,cycles,positive_windows,positive_rate
System_Failure,5,3,94,124,40,2,2895,2729,164,78,0.028581898131183583
System_Failure,5,5,94,124,40,2,2895,2729,164,114,0.04177354342249908
System_Failure,5,10,94,124,40,2,2895,2729,164,201,0.07365335287651155
System_Failure,10,3,94,121,18,5,2539,1997,139,53,0.026539809714571858
System_Failure,10,5,94,121,18,5,2539,1997,139,87,0.04356534802203305
System_Failure,10,10,94,121,18,5,2539,1997,139,162,0.08112168252378568
System_Failure,20,3,92,117,5,11,1768,643,122,7,0.01088646967340591
System_Failure,20,5,92,117,5,11,1768,643,122,9,0.013996889580093312
System_Failure,20,10,92,117,5,11,1768,643,122,12,0.01866251944012442
ProtectiveStop,5,3,68,150,28,2,2487,3137,178,44,0.014026139623844438
ProtectiveStop,5,5,68,150,28,2,2487,3137,178,58,0.018489002231431302
ProtectiveStop,5,10,68,150,28,2,2487,3137,178,93,0.02964615875039847
ProtectiveStop,10,3,68,147,7,5,2205,2331,154,21,0.009009009009009009
ProtectiveStop,10,5,68,147,7,5,2205,2331,154,35,0.015015015015015015
ProtectiveStop,10,10,68,147,7,5,2205,2331,154,67,0.028743028743028743
ProtectiveStop,20,3,67,142,4,11,1596,815,146,6,0.007361963190184049
ProtectiveStop,20,5,67,142,4,11,1596,815,146,8,0.0098159509202454
ProtectiveStop,20,10,67,142,4,11,1596,815,146,11,0.013496932515337423
GripLost,5,3,42,176,28,2,658,4966,204,82,0.016512283527990335
GripLost,5,5,42,176,28,2,658,4966,204,136,0.02738622633910592
GripLost,5,10,42,176,28,2,658,4966,204,265,0.053362867498993154
GripLost,10,3,42,173,27,5,584,3952,200,79,0.019989878542510123
GripLost,10,5,42,173,27,5,584,3952,200,129,0.0326417004048583
GripLost,10,10,42,173,27,5,584,3952,200,243,0.06148785425101214
GripLost,20,3,41,168,14,11,410,2001,182,36,0.017991004497751123
GripLost,20,5,41,168,14,11,410,2001,182,57,0.02848575712143928
GripLost,20,10,41,168,14,11,410,2001,182,89,0.04447776111944028
