target,window_size,prediction_horizon,model,threshold,valid_splits,test_positive_count_mean,runs_with_tp_rate,positive_recall_mean,positive_recall_std,positive_recall_median,positive_precision_mean,positive_precision_std,positive_precision_median,positive_f1_mean,positive_f1_std,positive_f1_median,macro_f1_mean,macro_f1_std,macro_f1_median,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_median
System_Failure,5,10,rf_smote,0.05,30,40.03333333333333,1.0,0.9444427282482609,0.09917442741683406,0.9638709677419355,0.10844704466107172,0.04055707195733825,0.10642159589037,0.19193508314070315,0.0659138700908935,0.19213296938974458,0.36571397384454574,0.05275426800596946,0.36761690222195803,0.6265179853364278,0.051839681906143,0.6134634888438134
System_Failure,5,10,rf_smote,0.1,30,40.03333333333333,1.0,0.8058163137425803,0.12349505405479785,0.8248081841432224,0.13921008063190463,0.0561482009133796,0.14097666571164805,0.2324794394687656,0.08112252566022467,0.23978155990351113,0.4850669136541287,0.05734473755922373,0.4857495468750196,0.4031091768925725,0.06284368759683144,0.3915386947073616
System_Failure,5,10,rf_smote,0.15,30,40.03333333333333,1.0,0.6505133334434449,0.13683490860623487,0.6605458221024259,0.1596854543053206,0.06431507607504931,0.1550383097283492,0.2488717298913521,0.08276008583179828,0.2385461408304048,0.5358551525239527,0.054283492672412594,0.5291716694848407,0.27772362842585446,0.0608909208731006,0.27931462645192495
System_Failure,5,10,rf_smote,0.2,30,40.03333333333333,1.0,0.4777527791486457,0.179762193999527,0.460457647531112,0.1691822672195527,0.08149707906130547,0.15133897110641298,0.23803475891336076,0.09489617498674374,0.21009079416159063,0.5555554220582718,0.055481853176471196,0.5426889640697835,0.1892563960247142,0.05497068084995505,0.1956065057788237
System_Failure,5,10,rf_smote,0.3,30,40.03333333333333,1.0,0.26692714135770157,0.15821324461472394,0.23091787439613526,0.20512656093281792,0.12789036412354413,0.1966991341991342,0.20694939791304362,0.09788683259047537,0.21075828377230246,0.5652448190181105,0.05392211816800856,0.5612546255861606,0.08803119588737014,0.041403172852769746,0.08651800564731366
System_Failure,5,10,rf_smote,0.4,30,40.03333333333333,0.9,0.13474264169841027,0.11613150065118641,0.11324786324786325,0.22283390900650754,0.1629682265680658,0.18898809523809523,0.14512511394778402,0.09623010671651037,0.14724480578139115,0.5445712975963078,0.05243821820017568,0.545767374241303,0.04117759588142535,0.02906088878801056,0.03394287940643369
System_Failure,5,10,rf_smote,0.5,30,40.03333333333333,0.7333333333333333,0.07582483552015644,0.09616417132092525,0.046031746031746035,0.23226972101972101,0.21752343465061955,0.1846590909090909,0.0971504879600112,0.09331889952407972,0.07433831990794015,0.5254456683108224,0.04930512093804639,0.5109580272709465,0.0187357461276028,0.0165780719443299,0.01758488588828476
ProtectiveStop,10,3,rf_smote,0.05,30,5.0,0.7333333333333333,0.5296296296296296,0.3728803836637991,0.5277777777777778,0.08273264612035551,0.0665107833478891,0.07851522408484435,0.13533769557877984,0.0973241500847982,0.1447674418604651,0.5480029859681302,0.050347428902619194,0.5467269729103146,0.07068755409867497,0.03313639302280949,0.07286520818630911
ProtectiveStop,10,3,rf_smote,0.1,30,5.0,0.6666666666666666,0.4074074074074074,0.36496048980963003,0.41666666666666663,0.16180806900864136,0.181178122856704,0.1396103896103896,0.1958349692386614,0.1651482953166033,0.22,0.5883732196560667,0.08430126391526864,0.5976005388486072,0.031051271539422717,0.02285615085713049,0.027896995708154508
ProtectiveStop,10,3,rf_smote,0.15,30,5.0,0.6333333333333333,0.3481481481481481,0.32392059857905525,0.3333333333333333,0.2683392300409107,0.2948885228807443,0.1715686274509804,0.2596111950580322,0.23384530823717042,0.2153846153846154,0.6237741018235419,0.11874978180057702,0.5953164482576248,0.016812169638531493,0.020923179265425747,0.009783535430087155
